3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-50.946285,20210530-063741,20210530,063741,56.785564,0.0,0.0,0.0,1.0,48.0,318.1026,1.044992,3.0,8.389719,2.079334,2.079334,33.314793,1.0,0.0,0.481683,0.0,-99900.0,0.0,0.0,0.0,2.079334,1.372012,2.079334,25.583685,121.265106,-51.354786,56.54353,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,76.289734,1.0,3.0,0.0,0.0,267.019165,-99900.0,0.0,-99900.0,1.092629,1.092629,-99900.0
-44.875767,20210530-064343,20210530,064343,54.810036,0.0,24.0,0.0,1.0,39.0,320.691162,0.95049,3.0,29.798166,2.478884,2.478884,112.432198,1.0,0.0,0.601287,0.0,-99900.0,2.461898,0.0,0.0,2.478884,1.387054,2.478884,25.56592,121.325539,-45.923367,54.436203,39.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,70.837662,1.025641,3.0,0.0,0.0,288.026428,17.635048,0.0,0.016769,1.791843,1.791843,-0.005457
-39.022106,20210530-064944,20210530,064944,56.663456,1.0,3.0,0.0,1.0,33.0,325.446289,0.919411,3.0,32.545334,3.803122,3.803122,115.004105,1.0,0.0,0.863603,0.0,-99900.0,3.828726,0.0,0.0,3.803122,1.777945,2.4732,25.582588,121.383751,-40.304962,56.593487,39.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,68.800232,1.051282,3.0,0.0,0.0,270.595184,16.493662,0.0,0.016493,2.61721,2.61721,-0.000171
-32.920837,20210530-065544,20210530,065544,56.727932,0.0,3.0,0.0,1.0,28.0,329.872253,0.869448,3.0,54.578472,3.665131,3.665131,168.788849,1.0,0.0,0.758861,0.0,-99900.0,0.206807,0.0,0.0,3.665131,1.835756,1.782316,25.583166,121.44445,-34.67802,56.897808,41.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,65.588409,1.04878,3.0,0.0,0.024546,268.39917,16.607544,0.0,0.016601,3.454651,3.454651,0.000464
-27.580109,20210530-070145,20210530,070145,56.968204,0.0,15.0,0.0,1.0,32.0,334.166962,0.825557,3.0,76.650383,4.448842,4.448842,213.721237,1.0,0.0,1.093014,0.0,-99900.0,0.656304,0.0,0.0,4.448842,1.725939,2.834116,25.585327,121.497589,-29.527863,56.873249,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,63.293274,1.0,3.0,0.0,0.028313,267.775024,16.273708,0.0,0.016261,4.19227,4.19227,0.000632
-22.894213,20210530-070746,20210530,070746,56.554882,1.0,39.0,1.0,1.0,21.0,337.961243,0.787286,3.0,50.872551,4.318295,4.318295,137.301849,1.0,0.0,0.689767,0.0,-99900.0,1.346996,0.0,0.0,4.318295,1.432831,0.787286,25.58161,121.544212,-24.332384,56.825691,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,61.013111,1.0,3.0,0.0,0.0,268.445587,15.701243,0.0,0.015695,3.618709,3.618709,0.000426
-13.276114,20210530-071347,20210530,071347,57.087879,0.0,15.0,0.0,1.0,26.0,346.908264,0.736166,3.0,41.455223,4.226333,4.226333,143.302673,1.0,0.0,0.952848,0.0,-99900.0,3.970191,0.0,0.0,4.226333,2.064187,2.068859,25.586403,121.639908,-17.499472,56.058395,41.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,58.611271,1.02439,3.0,0.0,0.0,266.944214,16.791542,0.0,0.016768,2.952926,2.952926,0.000895
-9.788286,20210530-071948,20210530,071948,55.854057,0.0,3.0,0.0,1.0,31.0,350.060028,0.699874,3.0,77.115097,4.325491,4.325491,295.682343,1.0,0.0,0.989623,0.0,-99900.0,3.000817,0.0,0.0,4.325491,1.691991,1.533791,25.575308,121.674614,-12.286053,55.133575,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,56.705257,1.0,3.0,0.0,0.0,270.923492,16.612633,0.0,0.01661,2.909583,2.909583,-0.000268
2.602508,20210530-072550,20210530,072550,59.574474,1.0,6.0,0.0,1.0,55.0,2.501367,2.649107,3.0,19.076622,4.25781,4.25781,124.265755,1.0,0.0,0.385719,0.0,-99900.0,7.432932,0.0,0.0,4.25781,3.069348,3.695096,25.608767,121.797897,1.755347,58.016224,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,59.63129,1.0,3.0,0.0,0.0,267.279877,19.05829,0.0,0.019037,0.999755,0.999755,0.000904
13.167875,20210530-073151,20210530,073151,59.616711,0.0,0.0,0.0,1.0,66.0,12.455232,3.590621,3.0,10.760239,4.280857,4.280857,79.573288,1.0,0.0,0.257733,0.0,-99900.0,3.704,0.0,0.0,4.280857,3.736138,4.280857,25.609146,121.90303,13.098217,60.409985,34.0,0.0,35.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,61.053623,1.029412,3.0,0.0,0.0,265.75177,22.503683,0.0,0.022442,0.61249,0.61249,0.001667
