3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-68.462021,20210530-083804,20210530,083804,-67.703842,0.0,3.0,0.0,1.0,14.0,225.319336,3.62619,14.0,35.750202,4.627937,4.627937,53.472572,1.0,0.0,0.558541,0.0,-99900.0,0.0,0.254,0.254,4.627937,3.728913,3.62619,24.464128,121.093925,-68.481956,-67.69986,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,96.285294,1.0,14.0,0.0,0.230505,266.337708,-99900.0,0.0,-99900.0,1.548631,1.548631,-99900.0
-60.172222,20210530-084405,20210530,084405,-61.091068,0.0,9.0,0.0,2.0,47.0,224.566177,3.169064,14.0,22.536793,4.078129,4.078129,71.998497,1.0,0.0,0.396959,0.0,-99900.0,7.163667,0.0,0.0,4.078129,3.287974,3.169064,24.523598,121.175888,-60.133904,-61.087299,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,85.748558,1.0,14.0,1.0,0.0,231.420639,29.374542,0.0,0.022963,1.045763,1.045763,0.018318
-53.949993,20210530-085007,20210530,085007,-60.002243,0.0,15.0,0.0,3.0,37.0,221.960083,2.952308,14.0,32.969978,3.827177,3.827177,86.460693,1.0,0.0,0.375327,0.0,-99900.0,5.923421,0.0,0.0,3.827177,3.109251,3.827177,24.53339,121.237511,-53.960072,-59.848194,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,80.689972,1.0,14.0,2.0,0.062655,242.051193,22.720613,0.0,0.020071,1.285659,1.285659,0.010649
-48.238384,20210530-085608,20210530,085608,-60.961132,0.0,21.0,0.0,4.0,37.0,218.354797,2.843788,14.0,25.613533,3.604564,3.604564,56.841385,1.0,0.0,0.385508,0.0,-99900.0,5.042071,0.0,0.0,3.604564,3.016108,2.843788,24.524765,121.294113,-48.470005,-61.085712,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,77.738029,1.0,14.0,3.0,0.007211,252.325668,19.426161,0.0,0.018509,1.076713,1.076713,0.005898
-43.834232,20210530-090209,20210530,090209,-64.203384,0.0,27.0,0.0,5.0,41.0,214.323273,2.847049,14.0,48.7257,3.392629,3.392629,178.108765,1.0,0.0,0.237608,0.0,-99900.0,5.834352,0.0,0.0,3.392629,2.880082,3.392629,24.495607,121.337791,-44.019066,-64.462234,39.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,77.740044,1.051282,14.0,4.0,0.024043,263.350281,17.050917,0.0,0.016936,1.063659,1.063659,0.001974
-34.992519,20210530-090809,20210530,090809,-60.405746,0.0,30.0,0.0,6.0,57.0,210.083679,2.502975,14.0,25.826946,4.127742,4.127742,71.385536,1.0,0.0,0.749007,0.0,-99900.0,4.130585,0.0,0.0,4.127742,2.877029,4.127742,24.52976,121.425331,-35.537975,-59.918037,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.809242,1.0,14.0,5.0,0.0,263.271393,17.693405,0.0,0.017572,1.42658,1.42658,0.002073
-28.167362,20210530-091410,20210530,091410,-62.37495,0.0,3.0,0.0,1.0,46.0,204.303421,2.451796,14.0,43.792667,4.020283,4.020283,144.893951,1.0,0.0,0.519473,0.0,-99900.0,2.759971,0.0,0.0,4.020283,2.896813,4.020283,24.512051,121.492966,-28.878901,-62.000648,38.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,68.44001,1.052632,14.0,0.0,0.0,272.814331,17.539387,0.0,0.017518,1.4907,1.4907,-0.000861
-21.471714,20210530-092012,20210530,092012,-63.034679,0.0,9.0,0.0,2.0,44.0,198.810928,2.379787,14.0,54.558876,3.875089,3.875089,174.971817,1.0,0.0,0.448815,0.0,-99900.0,0.49643,0.0,0.0,3.875089,2.734016,3.875089,24.506117,121.559303,-22.187082,-62.799561,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,66.591331,1.0,14.0,1.0,0.0,273.859985,18.365095,0.0,0.018323,1.546943,1.546943,-0.001236
-14.212389,20210530-092611,20210530,092611,-64.431709,0.0,15.0,1.0,3.0,38.0,192.439545,2.355202,14.0,44.752842,3.856008,3.856008,152.387115,1.0,0.0,0.473939,0.0,-99900.0,1.171592,0.0,0.0,3.856008,2.769997,3.856008,24.493553,121.631218,-14.662565,-64.339615,38.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,65.980583,1.078947,14.0,2.0,0.062643,273.70929,19.370312,0.0,0.01933,1.460631,1.460631,-0.001253
-8.131988,20210530-093212,20210530,093212,-64.33712,0.0,21.0,59.0,4.0,47.0,187.204193,2.319885,14.0,17.112932,3.754838,3.754838,60.297482,1.0,0.0,0.691996,0.0,-99900.0,1.051154,0.0,0.0,3.754838,2.758996,3.754838,24.494402,121.691444,-8.922559,-64.490074,37.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,64.849014,1.081081,14.0,3.0,0.0,273.100922,19.639309,0.0,0.019611,1.254038,1.254038,-0.001062
