3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-65.022125,20210530-061938,20210530,061938,-47.549896,0.0,3.0,0.0,1.0,13.0,233.822739,1.127461,45.0,84.595535,4.655737,4.655737,148.61264,1.0,0.0,1.076114,0.0,-99900.0,0.0,0.254,0.254,4.655737,2.193307,1.127461,24.645376,121.127525,-65.969444,-46.556267,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,80.55352,1.0,45.0,0.0,0.144337,263.092773,-99900.0,0.0,-99900.0,4.253615,4.253615,-99900.0
-58.906548,20210530-062539,20210530,062539,-47.267101,0.0,9.0,0.0,2.0,6.0,231.256454,1.058141,45.0,143.392761,5.369669,5.369669,265.337128,1.0,0.0,0.943101,0.0,-99900.0,1.29053,0.508,0.508,5.369669,3.092159,3.523488,24.647919,121.188141,-61.778938,-46.107147,42.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,75.525894,1.071429,45.0,1.0,0.642403,267.352417,16.958818,0.0,0.016941,5.69693,5.69693,0.000783
-53.615002,20210530-063140,20210530,063140,-46.351952,0.0,15.0,0.0,3.0,5.0,229.155807,1.944177,45.0,118.78614,6.54038,6.54038,193.914139,1.0,0.0,1.757545,0.0,-99900.0,1.03872,0.508,0.508,6.54038,3.348815,2.617995,24.656149,121.24057,-57.358124,-42.185963,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,70.873634,1.045455,45.0,2.0,0.777277,264.004913,15.886242,0.0,0.015799,5.100737,5.100737,0.001659
-47.613632,20210530-063741,20210530,063741,-46.691692,0.0,21.0,0.0,4.0,1.0,225.560425,2.40323,45.0,338.212219,6.088662,6.088662,471.300293,1.0,0.0,0.706073,0.0,-99900.0,0.984819,1.27,1.27,6.088662,2.798582,3.05615,24.653093,121.300056,-48.074486,-46.937569,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,66.687119,1.0,45.0,3.0,2.566204,266.527924,15.961998,0.0,0.015933,5.848009,5.848009,0.000967
-42.788486,20210530-064343,20210530,064343,-45.072067,0.0,27.0,0.0,5.0,1.0,223.51149,2.215626,45.0,92.193321,7.205941,7.205941,141.532074,1.0,0.0,2.206147,0.0,-99900.0,1.58126,0.762,0.762,7.205941,3.181219,2.828068,24.66766,121.347862,-43.408184,-44.934814,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,62.147774,1.021277,45.0,4.0,1.224777,264.333893,15.513009,0.0,0.015437,5.559585,5.559585,0.001532
-37.925426,20210530-064944,20210530,064944,-44.150829,0.0,33.0,0.0,6.0,2.0,220.662796,2.056987,45.0,176.058426,5.458419,5.458419,326.148621,1.0,0.0,0.846109,0.0,-99900.0,0.799651,0.508,0.508,5.458419,2.740047,3.376945,24.675943,121.396049,-38.45673,-43.998009,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,58.203384,1.0,45.0,5.0,0.546285,263.019501,15.127277,0.0,0.015015,3.755442,3.755442,0.001838
-32.999855,20210530-065544,20210530,065544,-42.994267,0.0,39.0,1.0,7.0,16.0,217.508041,1.901585,45.0,158.236404,4.854507,4.854507,308.480103,1.0,0.0,0.633173,0.0,-99900.0,0.68923,0.254,0.254,4.854507,2.394486,2.467151,24.686344,121.444862,-33.614506,-42.801594,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,54.198685,1.023256,45.0,6.0,0.209297,260.737915,14.544265,0.0,0.014355,3.262497,3.262497,0.002341
-29.417767,20210530-070145,20210530,070145,-40.181934,0.0,45.0,0.0,8.0,18.0,216.208725,1.748409,45.0,61.284782,4.441745,4.441745,121.038132,1.0,0.0,1.288889,0.0,-99900.0,2.535729,0.254,0.254,4.441745,2.738237,2.807697,24.711637,121.480347,-29.385017,-40.965385,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,49.799526,1.047619,45.0,7.0,0.22177,255.825348,13.852262,0.0,0.013431,3.208038,3.208038,0.003392
-24.528709,20210530-070746,20210530,070746,-38.577934,0.0,51.0,0.0,9.0,26.0,212.449448,1.57536,45.0,65.776215,4.179733,4.179733,173.7733,1.0,0.0,0.707077,0.0,-99900.0,0.381614,0.0,0.0,4.179733,2.581348,2.61489,24.726061,121.528801,-23.82803,-39.135422,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,45.715584,1.0,45.0,8.0,0.0,250.635895,13.46568,0.0,0.012704,2.609093,2.609093,0.004465
-19.057735,20210530-071347,20210530,071347,-38.261379,0.0,57.0,1.0,10.0,19.0,206.477951,0.829697,45.0,70.194824,3.912439,3.912439,188.095016,1.0,0.0,0.541351,0.0,-99900.0,1.568636,0.0,0.0,3.912439,2.169308,1.449646,24.728909,121.583046,-18.164774,-40.740223,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,42.744946,1.047619,45.0,9.0,0.066482,251.742325,13.545333,0.0,0.012863,3.207055,3.207055,0.004244
