3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-22.935402,20210722-085455,20210722,085455,200.829651,0.0,0.0,0.0,8.0,34.0,353.484863,4.416799,99.0,51.795982,5.794439,5.794439,145.559662,1.0,0.0,0.49118,0.0,-99900.0,0.0,0.0,0.0,5.794439,4.551327,4.416799,26.879105,121.542564,-22.926105,200.9104,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,202.135056,1.0,99.0,7.0,0.0,21.6922,-99900.0,0.0,-99900.0,3.612569,3.612569,-99900.0
-31.796364,20210722-090102,20210722,090102,196.200378,0.0,3.0,3.0,1.0,34.0,350.794647,4.300393,99.0,149.203598,5.64913,5.64913,578.709961,1.0,0.0,0.246794,0.0,-99900.0,6.877324,0.0,0.0,5.64913,4.446759,4.300393,26.837473,121.453972,-31.837904,196.29837,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,198.760147,1.0,99.0,0.0,0.0,62.415863,27.240582,0.0,-0.024144,3.859807,3.859807,-0.012614
-36.294212,20210722-090708,20210722,090708,193.414551,0.0,6.0,3.0,2.0,37.0,349.37207,4.241475,99.0,97.801384,5.537891,5.537891,427.42572,1.0,0.0,0.30033,0.0,-99900.0,4.70937,0.0,0.0,5.537891,4.481812,4.241475,26.812418,121.409027,-36.703365,193.704758,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,196.79039,1.0,99.0,1.0,0.0,60.967438,20.847082,0.0,-0.018228,2.985739,2.985739,-0.010117
-39.220474,20210722-091314,20210722,091314,187.679123,0.0,3.0,3.0,1.0,19.0,348.196442,4.065669,99.0,140.311142,5.346905,5.346905,565.837585,1.0,0.0,0.243659,0.0,-99900.0,4.261012,0.254,0.254,5.346905,4.278671,4.065669,26.760839,121.379845,-39.125175,187.946121,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,191.733414,1.0,99.0,0.0,0.102733,51.637573,18.57902,0.0,-0.014568,4.267176,4.267176,-0.011531
-43.574245,20210722-091919,20210722,091919,184.959854,0.0,9.0,3.0,2.0,19.0,346.743591,4.003117,99.0,214.745468,5.254586,5.254586,743.418823,1.0,0.0,0.179557,0.0,-99900.0,1.773916,0.254,0.254,5.254586,4.059909,4.003117,26.736383,121.336357,-43.584995,185.044922,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,190.023315,1.0,99.0,1.0,0.094994,50.423798,17.266644,0.0,-0.013309,4.206676,4.206676,-0.011001
-46.58424,20210722-092525,20210722,092525,178.869995,0.0,15.0,2.0,3.0,29.0,345.402405,3.824943,99.0,259.84903,5.182769,5.182769,919.500366,1.0,0.0,0.175767,0.0,-99900.0,2.778833,0.0,0.0,5.182769,3.921247,3.824943,26.681616,121.306374,-46.7057,178.713196,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,184.836594,1.0,99.0,2.0,0.0,46.361816,16.887671,0.0,-0.012222,3.55158,3.55158,-0.011654
-53.505112,20210722-093131,20210722,093131,165.793884,0.0,21.0,2.0,4.0,7.0,342.114075,3.495704,99.0,92.00074,5.855151,5.855151,177.837051,1.0,0.0,0.847235,0.0,-99900.0,9.144346,0.254,0.254,5.855151,3.857508,3.495704,26.56402,121.237465,-53.483017,166.032013,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,174.213684,1.0,99.0,3.0,0.338223,35.929443,19.139933,0.0,-0.011231,5.3747,5.3747,-0.015498
-56.706833,20210722-093736,20210722,093736,160.991867,0.0,27.0,2.0,5.0,5.0,340.596039,3.386459,99.0,136.240875,5.684444,5.684444,174.127441,1.0,0.0,0.711057,0.0,-99900.0,1.239588,0.762,0.762,5.684444,3.654097,3.386459,26.520836,121.205582,-56.606167,161.278351,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,170.686981,1.0,99.0,4.0,1.120377,32.314423,21.624353,0.0,-0.01156,7.768576,7.768576,-0.018275
-60.877445,20210722-094342,20210722,094342,157.165695,0.0,33.0,3.0,6.0,8.0,338.826385,3.324337,99.0,175.826981,5.526753,5.526753,302.571259,1.0,0.0,0.507799,0.0,-99900.0,2.863228,0.254,0.254,5.526753,3.497883,3.324337,26.486425,121.164009,-61.111267,157.461868,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,168.544113,1.0,99.0,5.0,0.34461,33.05658,22.14876,0.0,-0.012081,5.671759,5.671759,-0.018564
-66.581917,20210722-094948,20210722,094948,154.646835,0.0,39.0,2.0,7.0,16.0,336.706146,3.357334,99.0,82.624367,5.301538,5.301538,241.061829,1.0,0.0,0.633194,0.0,-99900.0,4.463685,0.0,0.0,5.301538,3.745948,3.357334,26.463772,121.107101,-67.760597,155.889359,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,168.371002,1.0,99.0,6.0,0.035445,36.035095,21.395737,0.0,-0.012587,3.876534,3.876534,-0.017302
