3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-16.011299,20210722-102622,20210722,102622,65.530258,0.0,3.0,3.0,1.0,8.0,346.269714,0.900163,65.0,30.133953,3.816589,3.816589,64.606255,1.0,0.0,1.156337,0.0,-99900.0,0.0,0.0,0.0,3.816589,1.788034,1.814928,25.662329,121.612648,-15.291873,66.657951,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,67.457962,1.0,65.0,0.0,0.034043,18.56311,-99900.0,0.0,-99900.0,3.462997,3.462997,-99900.0
-20.036341,20210722-103228,20210722,103228,60.096088,0.0,9.0,2.0,2.0,7.0,341.561401,0.844029,65.0,50.959274,4.491923,4.491923,76.313538,1.0,0.0,1.498994,0.0,-99900.0,1.789668,0.508,0.508,4.491923,2.237957,2.866334,25.613457,121.572624,-19.438362,62.194424,45.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,63.348202,1.044444,65.0,1.0,0.57137,36.527008,18.476593,0.0,-0.010997,5.773296,5.773296,-0.014847
-23.782309,20210722-103834,20210722,103834,55.681171,0.0,15.0,3.0,3.0,4.0,336.871948,0.788902,65.0,57.109058,4.332709,4.332709,80.301956,1.0,0.0,1.301752,0.0,-99900.0,1.056723,0.508,0.508,4.332709,1.861109,1.611024,25.573753,121.535385,-23.257109,57.378315,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.547428,1.0,65.0,2.0,0.392397,38.273712,17.138893,0.0,-0.010616,5.826402,5.826402,-0.013455
-27.914059,20210722-104440,20210722,104440,50.554466,0.0,21.0,3.0,4.0,4.0,331.094421,0.738791,65.0,55.066345,4.132164,4.132164,74.552261,1.0,0.0,1.490483,0.0,-99900.0,0.318585,0.508,0.508,4.132164,2.219938,1.141645,25.527647,121.494331,-27.467556,52.088291,45.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,57.749016,1.044444,65.0,3.0,0.56537,38.645935,17.26141,0.0,-0.01078,6.056455,6.056455,-0.013482
-32.035721,20210722-105045,20210722,105045,45.457882,0.0,27.0,3.0,5.0,5.0,324.826416,0.714943,65.0,55.087009,4.997939,4.997939,98.50499,1.0,0.0,1.828123,0.0,-99900.0,0.256696,0.508,0.508,4.997939,2.498024,3.173492,25.481813,121.453392,-31.37796,48.089546,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,55.612106,1.022727,65.0,4.0,0.370174,38.784302,17.424931,0.0,-0.010915,5.204461,5.204461,-0.013583
-35.869297,20210722-105651,20210722,105651,41.167507,0.0,33.0,3.0,6.0,6.0,318.934418,0.688575,65.0,42.529922,4.801906,4.801906,84.351341,1.0,0.0,1.344405,0.0,-99900.0,0.699799,0.0,0.0,4.801906,2.231994,1.904757,25.44323,121.415321,-35.434071,43.079533,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,54.601925,1.0,65.0,5.0,0.072477,39.214783,17.225468,0.0,-0.01089,4.751081,4.751081,-0.013346
-39.528709,20210722-110257,20210722,110257,36.714954,0.0,39.0,3.0,7.0,8.0,312.886597,0.676453,65.0,32.552513,3.793602,3.793602,90.917953,1.0,0.0,1.08234,0.0,-99900.0,0.541556,0.0,0.0,3.793602,1.931163,1.888124,25.403187,121.378998,-38.91703,38.890675,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,53.949112,1.0,65.0,6.0,0.03368,39.783508,16.82826,0.0,-0.010768,3.537531,3.537531,-0.012932
-44.783604,20210722-110903,20210722,110903,33.437431,0.0,45.0,3.0,8.0,5.0,306.746765,0.679774,65.0,26.59749,3.206327,3.206327,85.085556,1.0,0.0,0.870019,0.0,-99900.0,1.960764,0.0,0.0,3.206327,1.785822,1.98094,25.373711,121.326805,-43.42292,34.125153,40.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,55.889469,1.15,65.0,7.0,0.019067,42.460022,16.625719,0.0,-0.011224,3.109852,3.109852,-0.012266
-49.638241,20210722-111508,20210722,111508,29.185585,0.0,51.0,3.0,9.0,10.0,300.454224,0.713381,65.0,13.925625,2.035963,2.035963,35.906639,1.0,0.0,0.673564,0.0,-99900.0,0.790731,0.0,0.0,2.035963,1.122473,1.529371,25.335474,121.278625,-49.107262,29.573158,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,57.582577,1.02381,65.0,8.0,0.0,45.608978,16.456598,0.0,-0.01176,2.007822,2.007822,-0.011512
-54.117989,20210722-112114,20210722,112114,24.511953,0.0,57.0,2.0,10.0,13.0,294.367615,0.745032,65.0,14.234225,2.705256,2.705256,49.220352,1.0,0.0,0.830408,0.0,-99900.0,0.492569,0.0,0.0,2.705256,1.293887,0.745032,25.293442,121.234192,-53.457321,25.592134,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,59.410374,1.0,65.0,9.0,0.0,47.47699,16.636744,0.0,-0.012261,1.659949,1.659949,-0.011245
