3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-2.986432,20210722-073542,20210722,073542,-27.290863,0.0,3.0,2.0,1.0,25.0,186.245422,0.247589,30.0,21.376228,3.477628,3.477628,59.351799,1.0,0.0,1.70238,0.0,-99900.0,0.0,0.0,0.0,3.477628,1.706562,2.678995,24.827568,121.742378,-1.899611,-23.991785,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,27.453779,1.047619,30.0,0.0,0.0,25.712097,-99900.0,0.0,-99900.0,2.963113,2.963113,-99900.0
-4.559405,20210722-074148,20210722,074148,-33.525433,0.0,9.0,4.0,2.0,14.0,187.745026,0.316346,30.0,41.035603,4.070992,4.070992,73.72876,1.0,0.0,1.415756,0.0,-99900.0,1.299227,0.254,0.254,4.070992,2.033315,1.116208,24.7715,121.726784,-3.148934,-29.528986,43.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,33.834049,1.069767,30.0,1.0,0.248162,14.160126,17.568174,0.0,-0.004298,4.603271,4.603271,-0.017034
-5.946816,20210722-074754,20210722,074754,-39.230034,0.0,15.0,3.0,3.0,10.0,188.620148,0.408204,30.0,57.731697,4.794186,4.794186,85.028488,1.0,0.0,1.719589,0.0,-99900.0,0.561531,0.508,0.508,4.794186,2.3139,0.408204,24.720196,121.713043,-4.940736,-36.409264,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,39.678207,1.0,30.0,2.0,0.619241,13.925934,16.804296,0.0,-0.004044,5.938469,5.938469,-0.01631
-7.191085,20210722-075400,20210722,075400,-44.531334,0.0,21.0,3.0,4.0,10.0,189.173538,0.48693,30.0,62.56913,4.421968,4.421968,94.231766,1.0,0.0,1.237512,0.0,-99900.0,0.708719,0.254,0.254,4.421968,1.986233,0.48693,24.67252,121.700714,-6.54351,-41.914902,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,45.108219,1.0,30.0,3.0,0.196469,13.702271,16.149805,0.0,-0.003826,4.995081,4.995081,-0.01569
-7.695793,20210722-080006,20210722,080006,-51.777195,0.0,27.0,3.0,5.0,18.0,188.454544,0.657281,30.0,101.64753,4.855667,4.855667,175.88913,1.0,0.0,0.900458,0.0,-99900.0,1.749733,0.0,0.0,4.855667,1.642679,0.657281,24.607357,121.695732,-6.91523,-53.357502,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,52.345997,1.0,30.0,4.0,0.064126,11.360168,16.715055,0.0,-0.003292,4.818359,4.818359,-0.016388
-8.244796,20210722-080612,20210722,080612,-57.178917,0.0,33.0,3.0,6.0,20.0,188.20549,0.710448,30.0,153.247879,4.182941,4.182941,242.13533,1.0,0.0,0.75666,0.0,-99900.0,0.886432,0.0,0.0,4.182941,1.441273,2.07424,24.558779,121.690308,-8.086518,-56.567768,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,57.770279,1.0,30.0,5.0,0.032997,10.001404,16.606525,0.0,-0.002884,4.83102,4.83102,-0.016354
-8.837842,20210722-081217,20210722,081217,-60.253922,0.0,39.0,4.0,7.0,16.0,188.344849,0.789068,30.0,117.400597,3.238249,3.238249,197.145142,1.0,0.0,0.485327,0.0,-99900.0,2.930536,0.0,0.0,3.238249,1.328084,0.789068,24.531124,121.684441,-8.576989,-61.325573,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.898624,1.0,30.0,6.0,0.0,8.410187,15.373639,0.0,-0.002249,4.105258,4.105258,-0.015208
-8.83403,20210722-081823,20210722,081823,-71.672295,0.0,45.0,3.0,8.0,24.0,187.027008,0.920366,30.0,60.516491,4.36648,4.36648,153.42186,1.0,0.0,1.212922,0.0,-99900.0,5.910241,0.0,0.0,4.36648,2.345368,0.920366,24.428436,121.684517,-7.859132,-69.087128,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,72.214668,1.0,30.0,7.0,0.0,5.300354,16.849522,0.0,-0.001557,3.189979,3.189979,-0.016777
-9.618918,20210722-082429,20210722,082429,-79.239265,0.0,51.0,3.0,9.0,10.0,186.921722,1.045091,30.0,50.118145,4.855374,4.855374,111.809486,1.0,0.0,1.625531,0.0,-99900.0,1.442558,0.254,0.254,4.855374,2.463248,1.045091,24.360384,121.676765,-9.040258,-75.852287,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,79.820953,1.0,30.0,8.0,0.169568,3.908936,18.503206,0.0,-0.001261,4.844657,4.844657,-0.01846
-10.462114,20210722-083034,20210722,083034,-85.560524,0.0,57.0,3.0,10.0,11.0,186.971771,1.196495,30.0,61.121655,5.314868,5.314868,123.555756,1.0,0.0,1.815751,0.0,-99900.0,0.565836,0.508,0.508,5.314868,2.684972,1.196495,24.303535,121.668442,-9.641237,-83.742722,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,86.197792,1.0,30.0,9.0,0.376308,4.164337,19.315264,0.0,-0.001403,5.487661,5.487661,-0.019264
-14.101434,20210722-083640,20210722,083640,-88.410164,1.0,0.0,0.0,11.0,43.0,189.062744,3.312211,30.0,44.416553,4.38129,4.38129,184.381805,1.0,0.0,0.324228,0.0,-99900.0,5.236476,0.0,0.0,4.38129,3.504749,3.312211,24.277908,121.632439,-14.120637,-87.941223,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,89.527695,1.0,30.0,10.0,0.0,8.295471,18.92511,0.0,-0.00273,0.906993,0.906993,-0.018727
