3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-60.038937,20210722-072937,20210722,072937,-20.65638,0.0,3.0,3.0,1.0,35.0,251.014496,0.819188,10.0,5.9645,1.24559,1.24559,17.628202,1.0,0.0,0.199293,0.0,-99900.0,0.0,0.0,0.0,1.24559,0.93852,1.24559,24.887236,121.176338,-60.251049,-20.698679,39.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,63.492992,1.051282,10.0,0.0,0.0,23.198425,-99900.0,0.0,-99900.0,0.939498,0.939498,-99900.0
-61.793243,20210722-073542,20210722,073542,-24.286297,0.0,6.0,0.0,2.0,43.0,248.544189,0.86024,10.0,5.793931,1.349071,1.349071,24.847342,1.0,0.0,0.215173,0.0,-99900.0,2.563128,0.0,0.0,1.349071,0.987847,0.86024,24.854591,121.159012,-61.587536,-24.008186,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,66.394501,1.0,10.0,1.0,0.0,25.794067,11.045454,0.0,-0.004806,0.845406,0.845406,-0.009945
-64.818466,20210722-074148,20210722,074148,-29.012508,0.0,3.0,3.0,1.0,30.0,245.887146,0.938575,10.0,8.286786,1.962192,1.962192,33.025742,1.0,0.0,0.49173,0.0,-99900.0,1.668307,0.0,0.0,1.962192,1.174702,0.938575,24.812086,121.129112,-64.518929,-28.553585,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,71.015205,1.0,10.0,0.0,0.0,29.770142,13.169853,0.0,-0.006539,1.442216,1.442216,-0.011432
-67.645882,20210722-074754,20210722,074754,-33.136559,0.0,6.0,0.0,2.0,43.0,243.902191,1.019015,10.0,11.247402,2.109257,2.109257,40.293701,1.0,0.0,0.467485,0.0,-99900.0,0.43822,0.0,0.0,2.109257,1.303996,1.019015,24.774998,121.101173,-67.494949,-32.663162,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,75.325935,1.0,10.0,1.0,0.0,31.507324,13.524613,0.0,-0.007068,1.321538,1.321538,-0.011531
-71.164963,20210722-075400,20210722,075400,-38.394493,0.0,3.0,3.0,1.0,25.0,241.652802,1.128357,10.0,20.033581,2.287039,2.287039,68.10379,1.0,0.0,0.352304,0.0,-99900.0,1.394896,0.0,0.0,2.287039,1.318689,1.128357,24.727713,121.066406,-71.193336,-38.190308,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,80.861542,1.0,10.0,0.0,0.0,32.377014,14.348585,0.0,-0.007683,1.482519,1.482519,-0.012118
-73.540382,20210722-080006,20210722,080006,-41.516167,0.0,9.0,3.0,2.0,23.0,240.554001,1.190824,10.0,20.612751,3.165838,3.165838,55.119614,1.0,0.0,0.963071,0.0,-99900.0,1.384218,0.0,0.0,3.165838,1.643795,1.190824,24.69964,121.042938,-73.483498,-40.710995,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,84.449867,1.0,10.0,1.0,0.0,33.148224,14.060951,0.0,-0.007689,2.503238,2.503238,-0.011773
-75.861809,20210722-080612,20210722,080612,-47.362137,0.0,15.0,4.0,3.0,23.0,238.022873,1.279729,10.0,39.904587,4.356262,4.356262,121.006767,1.0,0.0,1.462072,0.0,-99900.0,1.61418,0.0,0.0,4.356262,2.215616,1.279729,24.647066,121.020088,-75.79702,-45.629551,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,89.432579,1.0,10.0,2.0,0.0,32.31308,14.607849,0.0,-0.007809,3.481886,3.481886,-0.012346
-78.564301,20210722-081217,20210722,081217,-52.442871,0.0,21.0,3.0,4.0,38.0,236.276581,1.357737,10.0,43.090981,4.634504,4.634504,148.112946,1.0,0.0,0.852716,0.0,-99900.0,0.593225,0.0,0.0,4.634504,2.554771,2.069893,24.601374,120.993439,-78.73455,-48.141628,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,94.459534,1.0,10.0,3.0,0.0,30.439941,14.759771,0.0,-0.007478,2.853298,2.853298,-0.012725
-81.533363,20210722-081823,20210722,081823,-57.695881,0.0,27.0,2.0,5.0,35.0,234.715729,1.525401,10.0,63.66449,3.783167,3.783167,230.324448,1.0,0.0,0.812471,0.0,-99900.0,0.639211,0.0,0.0,3.783167,1.993711,2.886041,24.554132,120.964172,-82.123962,-57.392288,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,99.882454,1.0,10.0,4.0,0.0,28.817322,15.226099,0.0,-0.007339,2.655271,2.655271,-0.013341
-82.680305,20210722-082429,20210722,082429,-60.592674,0.0,30.0,2.0,6.0,35.0,233.764282,1.565748,10.0,15.806735,3.959314,3.959314,54.548187,1.0,0.0,1.291777,0.0,-99900.0,2.512524,0.0,0.0,3.959314,2.155144,2.301702,24.52808,120.952896,-82.478508,-60.075436,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,102.506119,1.0,10.0,5.0,0.0,27.106232,14.445644,0.0,-0.006582,2.214549,2.214549,-0.012859
