3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-54.569935,20210722-095553,20210722,095553,162.824554,0.0,0.0,0.0,1.0,31.0,341.47168,3.408666,29.0,41.721191,4.621676,4.621676,188.745544,1.0,0.0,0.413767,0.0,-99900.0,0.0,0.0,0.0,4.621676,3.672101,4.621676,26.537317,121.226883,-54.329174,162.816238,36.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,171.725693,1.055556,29.0,0.0,0.0,24.025635,-99900.0,0.0,-99900.0,2.185982,2.185982,-99900.0
-53.847855,20210722-100159,20210722,100159,154.456528,0.0,0.0,0.0,1.0,22.0,340.78006,3.152426,29.0,113.261063,4.34056,4.34056,453.063293,1.0,0.0,0.216402,0.0,-99900.0,3.594751,0.0,0.0,4.34056,3.470462,4.34056,26.462061,121.234268,-53.070049,154.356918,38.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,163.573868,1.026316,29.0,0.0,0.0,355.068146,22.948471,0.0,0.001973,2.569378,2.569378,-0.022864
-51.145893,20210722-100805,20210722,100805,137.490204,0.0,21.0,3.0,1.0,19.0,339.595032,2.689714,29.0,38.284313,4.689598,4.689598,149.928268,1.0,0.0,0.573742,0.0,-99900.0,8.823286,0.0,0.0,4.689598,3.561388,4.689598,26.309479,121.261581,-51.62513,137.842117,36.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,146.695129,1.083333,29.0,0.0,0.0,352.302856,34.924515,0.0,0.004678,2.447928,2.447928,-0.03461
-53.476902,20210722-101411,20210722,101411,133.451309,0.0,15.0,3.0,1.0,14.0,338.162964,2.59502,29.0,71.779449,4.526839,4.526839,268.486572,1.0,0.0,0.348751,0.0,-99900.0,9.528582,0.0,0.0,4.526839,3.396824,3.642775,26.273157,121.238396,-52.79063,133.717712,38.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,143.767288,1.078947,29.0,0.0,0.044514,356.742493,28.758476,0.0,0.001634,3.08917,3.08917,-0.028712
-55.594631,20210722-102016,20210722,102016,128.829803,0.0,15.0,3.0,1.0,14.0,336.658142,2.531506,29.0,80.786865,5.522394,5.522394,327.31366,1.0,0.0,0.63486,0.0,-99900.0,6.456581,0.0,0.0,5.522394,3.312164,4.358927,26.231594,121.217361,-56.071705,129.837952,37.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,140.313522,1.081081,29.0,0.0,0.0,1.077667,24.33551,0.0,-0.000458,2.915637,2.915637,-0.024331
-57.374161,20210722-102622,20210722,102622,122.923454,0.0,0.0,0.0,1.0,23.0,334.97937,2.393352,29.0,63.39978,5.243042,5.243042,289.683167,1.0,0.0,0.467854,0.0,-99900.0,3.404674,0.0,0.0,5.243042,3.601366,4.292853,26.178478,121.199738,-57.21698,123.666115,36.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,135.65387,1.055556,29.0,0.0,0.0,4.400696,21.971142,0.0,-0.001686,2.474389,2.474389,-0.021906
-59.531509,20210722-103228,20210722,103228,117.965286,2.0,50.0,0.0,1.0,24.0,333.222137,2.333833,29.0,107.184174,5.071706,5.071706,719.010986,1.0,0.0,0.503467,0.0,-99900.0,3.425422,0.0,0.0,5.071706,3.056759,4.02803,26.133888,121.178329,-59.634346,119.992447,35.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,132.135574,1.114286,29.0,0.0,0.0,12.038361,18.434265,0.0,-0.003845,2.290091,2.290091,-0.018029
-62.605865,20210722-103834,20210722,103834,110.819954,0.0,51.0,0.0,1.0,21.0,330.53653,2.201414,29.0,81.061279,4.793989,4.793989,595.514404,1.0,0.0,0.628381,0.0,-99900.0,1.754538,0.0,0.0,4.793989,2.830813,3.757633,26.069628,121.147842,-63.123482,112.336449,34.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,127.28141,1.147059,29.0,0.0,0.0,22.583313,15.711838,0.0,-0.006034,2.172079,2.172079,-0.014507
-62.503376,20210722-104440,20210722,104440,101.844254,0.0,6.0,0.0,1.0,30.0,328.462006,2.010336,29.0,51.470947,4.582382,4.582382,368.476257,1.0,0.0,0.407356,0.0,-99900.0,4.333632,0.0,0.0,4.582382,3.163604,4.582382,25.988909,121.149071,-64.006599,102.916512,34.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,119.494453,1.088235,29.0,0.0,0.0,17.474335,17.768871,0.0,-0.005336,1.813188,1.813188,-0.016949
-65.58548,20210722-105045,20210722,105045,95.729492,0.0,0.0,0.0,1.0,26.0,325.584534,1.908258,29.0,31.691698,4.405735,4.405735,254.477936,1.0,0.0,0.908257,0.0,-99900.0,1.13686,0.0,0.0,4.405735,2.801391,4.405735,25.933916,121.1185,-65.975746,96.59272,33.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,116.041336,1.121212,29.0,0.0,0.0,16.174286,19.180264,0.0,-0.005343,1.590138,1.590138,-0.018421
