3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
24.957151,20210722-072331,20210722,072331,166.952271,0.0,3.0,3.0,1.0,36.0,8.501984,3.327324,3.0,28.037237,4.477028,4.477028,102.83873,1.0,0.0,0.48416,0.0,-99900.0,0.0,0.0,0.0,4.477028,3.607512,3.327324,26.574438,122.021347,25.039875,167.136978,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,168.807343,1.0,3.0,0.0,0.0,23.695679,-99900.0,0.0,-99900.0,3.062819,3.062819,-99900.0
18.844275,20210722-072937,20210722,072937,161.380676,0.0,9.0,3.0,2.0,28.0,6.660199,3.132088,3.0,45.508533,5.369495,5.369495,110.233795,1.0,0.0,0.961344,0.0,-99900.0,3.496031,0.0,0.0,5.369495,3.410335,3.132088,26.524332,121.960236,18.565323,161.480331,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,162.477173,1.0,3.0,1.0,0.062001,47.652313,22.59849,0.0,-0.016702,3.962758,3.962758,-0.015223
15.059509,20210722-073542,20210722,073542,156.69014,0.0,15.0,2.0,3.0,16.0,5.48983,2.987593,3.0,66.900978,5.127296,5.127296,105.846153,1.0,0.0,0.863983,0.0,-99900.0,2.468271,0.254,0.254,5.127296,3.337207,2.987593,26.482149,121.922401,15.025231,156.927261,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,157.41217,1.0,3.0,2.0,0.151865,43.966125,19.505383,0.0,-0.013541,4.944168,4.944168,-0.014039
10.52351,20210722-074148,20210722,074148,152.617706,0.0,21.0,2.0,4.0,8.0,3.944486,2.861837,3.0,132.113678,4.938013,4.938013,169.335602,1.0,0.0,0.649016,0.0,-99900.0,1.145649,0.762,0.762,4.938013,3.256203,2.861837,26.445524,121.877083,10.644664,152.922577,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,152.980087,1.0,3.0,3.0,1.164535,44.633057,18.332088,0.0,-0.012879,7.364132,7.364132,-0.013045
6.528831,20210722-074754,20210722,074754,147.386292,0.0,27.0,3.0,5.0,6.0,2.536391,2.716617,3.0,86.359177,5.955598,5.955598,97.113861,1.0,0.0,1.603972,0.0,-99900.0,0.851987,0.762,0.762,5.955598,3.278525,3.703403,26.398478,121.837181,6.727029,148.00444,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,147.530823,1.0,3.0,4.0,1.193993,43.327698,18.003942,0.0,-0.012354,7.591143,7.591143,-0.013097
2.083735,20210722-075400,20210722,075400,143.136261,0.0,33.0,2.0,6.0,5.0,0.834034,2.586592,3.0,97.272469,4.527366,4.527366,145.91803,1.0,0.0,0.602614,0.0,-99900.0,0.548738,0.508,0.508,4.527366,2.988001,2.586592,26.360254,121.792801,2.273845,143.435074,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,143.151428,1.0,3.0,5.0,0.562824,43.342957,17.736708,0.0,-0.012174,6.04379,6.04379,-0.012899
-0.852653,20210722-080006,20210722,080006,138.430389,0.0,39.0,4.0,7.0,25.0,359.647095,2.467299,3.0,70.406631,5.47637,5.47637,148.439758,1.0,0.0,1.082443,0.0,-99900.0,1.51931,0.0,0.0,5.47637,3.03995,2.467299,26.317934,121.763496,-0.920423,139.039841,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,138.433014,1.0,3.0,6.0,0.037045,41.355621,16.71339,0.0,-0.011043,4.342698,4.342698,-0.012545
-6.596142,20210722-080612,20210722,080612,133.676514,0.0,45.0,3.0,8.0,12.0,357.175079,2.344216,3.0,93.423782,5.287009,5.287009,194.55127,1.0,0.0,1.135959,0.0,-99900.0,1.70945,0.254,0.254,5.287009,2.968313,2.344216,26.275181,121.706184,-7.097821,134.203903,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,133.839157,1.0,3.0,7.0,0.193798,42.213196,17.062056,0.0,-0.011464,5.699929,5.699929,-0.012637
-11.245456,20210722-081217,20210722,081217,129.140213,0.0,51.0,3.0,9.0,12.0,355.023285,2.229732,3.0,58.032566,3.985548,3.985548,97.732811,1.0,0.0,0.689573,0.0,-99900.0,0.471213,0.254,0.254,3.985548,2.701841,3.123099,26.234386,121.659813,-11.291441,129.475174,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,129.628922,1.0,3.0,8.0,0.139855,42.801331,17.372997,0.0,-0.011804,4.301458,4.301458,-0.012747
-15.811897,20210722-081823,20210722,081823,124.780037,0.0,57.0,4.0,10.0,26.0,352.778107,2.13049,3.0,89.32338,4.947726,4.947726,182.72467,1.0,0.0,0.84181,0.0,-99900.0,0.392021,0.0,0.0,4.947726,2.660121,2.13049,26.195173,121.614281,-16.008158,125.028252,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,125.77787,1.0,3.0,9.0,0.032982,44.577148,17.52103,0.0,-0.012297,4.277804,4.277804,-0.01248
