3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
128.891251,20210722-060820,20210722,060820,-29.512419,0.0,0.0,0.0,6.0,31.0,102.896538,2.288713,35.0,15.15429,4.132817,4.132817,72.157204,1.0,0.0,0.649066,0.0,-99900.0,0.0,0.0,0.0,4.132817,2.922249,3.210051,24.807592,123.050362,129.108109,-28.695103,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,132.226837,1.0,35.0,5.0,0.0,22.918762,-99900.0,0.0,-99900.0,1.957543,1.957543,-99900.0
125.611786,20210722-061425,20210722,061425,-37.002228,0.0,3.0,2.0,1.0,27.0,106.41346,2.254823,35.0,31.001303,3.169767,3.169767,80.793472,1.0,0.0,0.339282,0.0,-99900.0,2.30205,0.0,0.0,3.169767,2.440551,2.254823,24.740236,123.017494,125.704346,-36.673763,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,130.94841,1.0,35.0,0.0,0.0,23.646545,22.400852,0.0,-0.008985,2.66205,2.66205,-0.02052
121.647232,20210722-062031,20210722,062031,-45.818821,0.0,9.0,3.0,2.0,10.0,110.638786,2.224849,35.0,43.397999,4.075873,4.075873,63.690033,1.0,0.0,0.973325,0.0,-99900.0,1.470869,0.254,0.254,4.075873,2.644733,3.145246,24.660946,122.977798,121.584808,-45.374668,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,129.990051,1.0,35.0,1.0,0.252773,23.953003,24.409981,0.0,-0.00991,4.423759,4.423759,-0.022308
119.033852,20210722-062637,20210722,062637,-54.080128,0.0,15.0,3.0,3.0,9.0,114.43325,2.238338,35.0,69.029907,6.639943,6.639943,105.408081,1.0,0.0,2.106376,0.0,-99900.0,1.018332,0.508,0.508,6.639943,3.209693,3.16729,24.586651,122.951538,119.103203,-52.850945,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,130.74295,1.0,35.0,2.0,0.663893,22.116669,24.357525,0.0,-0.00917,6.545159,6.545159,-0.022565
116.317909,20210722-063243,20210722,063243,-62.232113,0.0,21.0,3.0,4.0,10.0,118.147285,2.267145,35.0,84.590523,5.304296,5.304296,137.706116,1.0,0.0,1.02189,0.0,-99900.0,0.649303,0.508,0.508,5.304296,3.123699,3.213439,24.513338,122.924286,116.184975,-61.426243,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,131.919266,1.0,35.0,3.0,0.451364,21.029175,24.167883,0.0,-0.008672,5.462677,5.462677,-0.022558
112.237854,20210722-064052,20210722,064052,-71.432922,0.0,29.0,3.0,5.0,9.0,122.474113,2.305792,35.0,147.297272,5.250332,5.250332,239.9935,1.0,0.0,0.765397,0.0,-99900.0,1.837219,0.508,0.508,5.250332,2.886408,3.247292,24.430593,122.883499,112.589462,-70.644295,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,133.041336,1.023256,35.0,4.0,0.53192,21.191956,23.418243,0.0,-0.008466,5.650563,5.650563,-0.021835
110.20945,20210722-064658,20210722,064658,-78.710396,0.0,35.0,4.0,6.0,3.0,125.533722,2.360929,35.0,242.497253,5.61737,5.61737,329.479614,1.0,0.0,0.698969,0.0,-99900.0,1.286327,0.762,0.762,5.61737,2.965417,2.360929,24.365145,122.863121,110.244057,-77.969093,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,135.430603,1.0,35.0,5.0,1.411379,20.210785,22.631609,0.0,-0.007819,7.615623,7.615623,-0.021238
109.084084,20210722-065303,20210722,065303,-86.639671,0.0,41.0,2.0,7.0,1.0,128.457932,2.457123,35.0,209.917862,5.804986,5.804986,274.974548,1.0,0.0,1.686866,0.0,-99900.0,1.737522,1.016,1.016,5.804986,2.823664,3.530346,24.293837,122.851677,108.647362,-86.156761,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,139.304596,1.0,35.0,6.0,1.899785,18.077209,21.693584,0.0,-0.006731,7.651395,7.651395,-0.020623
108.777702,20210722-065907,20210722,065907,-94.966782,0.0,47.0,3.0,8.0,7.0,131.121796,2.605526,35.0,162.056488,6.011281,6.011281,216.162903,1.0,0.0,1.014899,0.0,-99900.0,2.2955,0.762,0.762,6.011281,3.042764,3.634963,24.218948,122.84832,108.912308,-94.423416,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,144.399719,1.0,35.0,7.0,1.383924,14.920929,21.376238,0.0,-0.005504,7.574345,7.574345,-0.020655
104.681427,20210722-070513,20210722,070513,-101.687553,0.0,53.0,2.0,9.0,5.0,134.168533,2.642855,35.0,190.464539,4.790977,4.790977,273.34668,1.0,0.0,0.65824,0.0,-99900.0,2.244545,0.762,0.762,4.790977,2.933635,3.722083,24.158506,122.807541,104.327599,-101.421913,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,145.940262,1.022222,35.0,8.0,1.061874,14.301941,21.213799,0.0,-0.00524,6.428231,6.428231,-0.020556
104.014534,20210722-071119,20210722,071119,-108.268951,0.0,59.0,3.0,10.0,8.0,136.147812,2.762104,35.0,173.747498,5.008883,5.008883,255.746643,1.0,0.0,0.502744,0.0,-99900.0,1.566229,0.508,0.508,5.008883,3.002011,2.762104,24.099319,122.800697,103.917854,-107.864677,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,150.137238,1.0,35.0,9.0,0.768759,12.511841,20.947279,0.0,-0.004538,6.906732,6.906732,-0.02045
103.671059,20210722-071725,20210722,071725,-116.128723,1.0,6.0,3.0,11.0,10.0,138.243576,2.913251,35.0,153.547821,6.632758,6.632758,309.383423,1.0,0.0,0.972146,0.0,-99900.0,1.369822,0.254,0.254,6.632758,3.473784,2.913251,24.028635,122.797012,103.441879,-115.543449,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,155.671341,1.0,35.0,10.0,0.25669,11.36557,20.632204,0.0,-0.004066,5.573614,5.573614,-0.020228
103.036041,20210722-072331,20210722,072331,-123.346588,1.0,12.0,3.0,12.0,11.0,140.126404,3.06802,35.0,187.270508,5.410578,5.410578,318.102905,1.0,0.0,0.569271,0.0,-99900.0,0.873041,0.508,0.508,5.410578,3.41513,3.06802,23.963722,122.790474,103.00177,-122.938698,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,160.71965,1.0,35.0,11.0,0.568747,10.33017,20.13871,0.0,-0.003611,5.934684,5.934684,-0.019812
102.256187,20210722-072937,20210722,072937,-131.055725,1.0,18.0,3.0,13.0,10.0,142.036545,3.224485,35.0,107.074799,5.621827,5.621827,254.063354,1.0,0.0,0.439569,0.0,-99900.0,0.7094,0.508,0.508,5.621827,3.805458,4.431717,23.894392,122.782486,102.619949,-130.000214,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,166.228546,1.02381,35.0,12.0,0.544341,8.507507,19.992182,0.0,-0.002958,5.024734,5.024734,-0.019772
101.461311,20210722-073542,20210722,073542,-137.108917,1.0,24.0,2.0,14.0,31.0,143.498032,3.357904,35.0,50.608536,4.611895,4.611895,123.778229,1.0,0.0,0.526523,0.0,-99900.0,1.197977,0.0,0.0,4.611895,3.760347,3.357904,23.839954,122.774414,101.367943,-136.469131,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,170.567444,1.0,35.0,13.0,0.042372,4.978027,19.80825,0.0,-0.001719,3.790317,3.790317,-0.019734
99.170891,20210722-074148,20210722,074148,-145.565369,1.0,30.0,3.0,15.0,17.0,145.73381,3.539268,35.0,99.969009,4.834476,4.834476,315.274139,1.0,0.0,0.317737,0.0,-99900.0,2.069468,0.254,0.254,4.834476,3.773504,3.539268,23.763905,122.751488,99.034271,-145.274017,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,176.136719,1.0,35.0,14.0,0.137406,7.011749,20.236853,0.0,-0.00247,4.143897,4.143897,-0.020086
