3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-19.839872,20210722-072937,20210722,072937,36.068432,0.0,3.0,3.0,1.0,33.0,331.186554,1.008251,9.0,13.678404,2.527174,2.527174,44.220734,1.0,0.0,0.723206,0.0,-99900.0,0.0,0.0,0.0,2.527174,1.494535,1.008251,25.397371,121.574753,-18.787504,35.190647,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,41.16494,1.0,9.0,0.0,0.0,23.198425,-99900.0,0.0,-99900.0,1.102682,1.102682,-99900.0
-22.046516,20210722-073542,20210722,073542,31.333496,0.0,9.0,3.0,2.0,22.0,324.869537,0.43105,9.0,21.462242,3.540877,3.540877,69.035126,1.0,0.0,1.546347,0.0,-99900.0,1.372859,0.0,0.0,3.540877,1.588357,0.43105,25.35479,121.552856,-20.602095,32.432243,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,38.312359,1.0,9.0,1.0,0.0,24.987152,14.311919,0.0,-0.006046,2.676717,2.676717,-0.012972
-24.4828,20210722-074148,20210722,074148,26.336576,0.0,15.0,2.0,3.0,22.0,317.089203,0.424855,9.0,16.184717,3.170763,3.170763,49.282841,1.0,0.0,1.333705,0.0,-99900.0,0.334691,0.0,0.0,3.170763,1.599208,0.424855,25.309851,121.528679,-23.926531,29.482721,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,35.958626,1.0,9.0,2.0,0.0,25.505341,14.750741,0.0,-0.006352,2.856738,2.856738,-0.013313
-31.330282,20210722-074754,20210722,074754,21.029194,0.0,18.0,3.0,4.0,41.0,303.870026,0.421413,9.0,1.854826,0.686227,0.686227,8.658464,1.0,0.0,0.144325,0.0,-99900.0,4.543643,0.0,0.0,0.686227,0.483606,0.421413,25.262121,121.460693,-31.220482,21.163284,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,37.733456,1.0,9.0,3.0,0.0,36.373657,17.020031,0.0,-0.010094,0.412846,0.412846,-0.013704
-30.186031,20210722-075400,20210722,075400,16.736526,0.0,3.0,3.0,1.0,19.0,299.006165,0.379053,9.0,9.890792,1.170049,1.170049,23.897724,1.0,0.0,0.318816,0.0,-99900.0,4.892263,0.0,0.0,1.170049,0.618223,0.616207,25.223516,121.472107,-29.877708,17.369228,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,34.515327,1.02381,9.0,0.0,0.0,31.473633,15.695746,0.0,-0.008195,1.09644,1.09644,-0.013387
-33.443527,20210722-080006,20210722,080006,11.385467,0.0,9.0,3.0,2.0,21.0,288.80072,0.389402,9.0,17.280724,2.469657,2.469657,37.534492,1.0,0.0,0.832472,0.0,-99900.0,0.520162,0.0,0.0,2.469657,1.074589,0.389402,25.175392,121.439812,-33.02911,12.569621,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,35.328438,1.0,9.0,1.0,0.0,29.921173,15.544188,0.0,-0.007754,2.438854,2.438854,-0.013472
-36.478848,20210722-080612,20210722,080612,6.242737,0.0,15.0,3.0,3.0,18.0,279.711304,0.408853,9.0,35.347427,4.216799,4.216799,73.635849,1.0,0.0,1.447912,0.0,-99900.0,0.289643,0.0,0.0,4.216799,1.725842,0.668815,25.129143,121.409729,-35.890808,8.089295,43.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,37.009163,1.116279,9.0,2.0,0.0,29.279724,15.626341,0.0,-0.007642,4.356501,4.356501,-0.01363
-38.544502,20210722-081217,20210722,081217,1.802562,0.0,21.0,3.0,4.0,14.0,272.677734,0.431739,9.0,39.19252,4.347339,4.347339,84.613533,1.0,0.0,1.497289,0.0,-99900.0,0.899944,0.0,0.0,4.347339,1.828088,0.990162,25.089212,121.389275,-38.208687,4.501146,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,38.586628,1.0,9.0,3.0,0.005182,27.310547,15.150865,0.0,-0.006951,4.663914,4.663914,-0.013462
-40.877472,20210722-081823,20210722,081823,-2.416743,0.0,27.0,3.0,5.0,21.0,266.61673,0.463265,9.0,45.815914,4.614872,4.614872,122.737579,1.0,0.0,1.648958,0.0,-99900.0,0.738653,0.0,0.0,4.614872,1.843588,1.426512,25.051268,121.366173,-40.742916,0.554735,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,40.948849,1.0,9.0,4.0,0.053582,24.402802,14.339599,0.0,-0.005924,4.221457,4.221457,-0.013059
-44.685162,20210722-082429,20210722,082429,-3.467783,0.0,33.0,2.0,6.0,17.0,265.562683,0.518944,9.0,24.16695,1.558527,1.558527,57.258999,1.0,0.0,0.317398,0.0,-99900.0,4.072884,0.0,0.0,1.558527,0.831117,1.145221,25.041815,121.328392,-44.511578,-3.510271,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,44.819519,1.023256,9.0,5.0,0.0,33.406799,13.743767,0.0,-0.007567,1.790373,1.790373,-0.011473
