3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
181.397278,20210722-071119,20210722,071119,19.985884,0.0,3.0,3.0,1.0,26.0,83.712463,3.753041,65.0,99.960533,5.024789,5.024789,230.836151,1.0,0.0,0.380764,0.0,-99900.0,0.0,0.0,0.0,5.024789,3.990652,3.753041,25.252743,123.574387,181.38652,20.185308,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,182.494949,1.0,65.0,0.0,0.072937,23.329834,-99900.0,0.0,-99900.0,3.896307,3.896307,-99900.0
175.155289,20210722-071725,20210722,071725,14.09794,0.0,9.0,3.0,2.0,8.0,85.398087,3.527503,65.0,92.545601,5.958938,5.958938,208.040268,1.0,0.0,0.871214,0.0,-99900.0,3.461516,0.508,0.508,5.958938,3.973413,3.527503,25.199791,123.511993,174.840744,14.55645,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,175.721725,1.0,65.0,1.0,0.370877,46.671875,23.444775,0.0,-0.017055,5.489017,5.489017,-0.016087
170.278793,20210722-072331,20210722,072331,7.344529,0.0,15.0,3.0,3.0,9.0,87.530022,3.376483,65.0,158.096252,5.682936,5.682936,283.723022,1.0,0.0,0.558122,0.0,-99900.0,1.616661,0.762,0.762,5.682936,3.581675,3.376483,25.139057,123.463127,170.437256,7.467336,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,170.437103,1.0,65.0,2.0,0.910613,41.332703,22.998926,0.0,-0.015189,6.717721,6.717721,-0.01727
164.565704,20210722-072937,20210722,072937,0.758646,0.0,21.0,3.0,4.0,8.0,89.735664,3.187893,65.0,155.093109,5.45594,5.45594,260.000366,1.0,0.0,0.684707,0.0,-99900.0,0.306603,0.508,0.508,5.45594,3.601059,3.187893,25.079828,123.405991,164.404053,1.197168,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,164.567459,1.0,65.0,3.0,0.63077,40.673553,23.212574,0.0,-0.015129,5.941954,5.941954,-0.017605
159.494751,20210722-073542,20210722,073542,-6.483991,0.0,27.0,2.0,5.0,7.0,92.327766,3.048666,65.0,160.055161,5.248994,5.248994,227.321548,1.0,0.0,0.602585,0.0,-99900.0,0.933,0.508,0.508,5.248994,3.406927,3.048666,25.014694,123.355225,159.606232,-6.249479,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,159.626495,1.0,65.0,4.0,0.724626,39.376129,23.439447,0.0,-0.01487,6.668918,6.668918,-0.018119
154.572464,20210722-074148,20210722,074148,-14.026518,0.0,33.0,2.0,6.0,4.0,95.184822,2.917974,65.0,174.219742,5.079754,5.079754,238.105835,1.0,0.0,0.581464,0.0,-99900.0,1.049151,1.016,1.016,5.079754,3.393888,2.917974,24.946861,123.305939,154.658447,-13.493673,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,155.207565,1.0,65.0,5.0,2.035467,38.084778,23.658247,0.0,-0.014593,8.532179,8.532179,-0.018621
149.878403,20210722-074754,20210722,074754,-22.462717,0.0,39.0,2.0,7.0,4.0,98.523415,2.809017,65.0,119.845917,6.288235,6.288235,143.937988,1.0,0.0,1.432371,0.0,-99900.0,1.745138,1.016,1.016,6.288235,3.600745,3.875496,24.870993,123.258896,149.854019,-21.850794,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,151.552338,1.0,65.0,6.0,2.172266,35.092102,24.265415,0.0,-0.01395,8.211926,8.211926,-0.019855
146.607346,20210722-075400,20210722,075400,-29.972008,0.0,45.0,2.0,8.0,4.0,101.553947,2.765392,65.0,142.209991,6.150317,6.150317,216.198441,1.0,0.0,0.991241,0.0,-99900.0,1.850596,0.762,0.762,6.150317,3.167224,2.765392,24.803461,123.226044,146.93483,-29.645409,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,149.639679,1.0,65.0,7.0,0.813817,32.389313,24.401724,0.0,-0.013071,6.729213,6.729213,-0.020605
142.061493,20210722-080006,20210722,080006,-36.718933,0.0,51.0,2.0,9.0,4.0,104.491943,2.679965,65.0,217.020477,5.994723,5.994723,265.44809,1.0,0.0,0.890869,0.0,-99900.0,0.829623,1.016,1.016,5.994723,3.139328,3.691359,24.742785,123.180618,142.308167,-36.205868,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,146.730179,1.0,65.0,8.0,1.783514,30.342896,24.09646,0.0,-0.012173,8.090322,8.090322,-0.020796
138.105759,20210722-080612,20210722,080612,-44.165375,0.0,57.0,2.0,10.0,4.0,107.733711,2.629083,65.0,295.264587,5.980075,5.980075,347.801849,1.0,0.0,0.692979,0.0,-99900.0,0.52603,1.27,1.27,5.980075,3.144565,2.629083,24.675816,123.141022,138.299713,-43.574318,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,144.995804,1.0,65.0,9.0,2.764177,29.234375,23.616428,0.0,-0.011534,9.307673,9.307673,-0.020608
