3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-45.115475,20210722-065303,20210722,065303,40.452965,0.0,0.0,0.0,2.0,46.0,311.881226,0.766301,34.0,3.529478,1.192664,1.192664,18.743824,1.0,0.0,0.212299,0.0,-99900.0,0.0,0.0,0.0,1.192664,0.875856,0.766301,25.436804,121.323395,-44.981384,40.543747,36.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.595779,1.0,34.0,1.0,0.0,20.567139,-99900.0,0.0,-99900.0,0.529488,0.529488,-99900.0
-47.791916,20210722-065907,20210722,065907,34.392456,0.0,3.0,2.0,1.0,30.0,305.740021,0.745473,34.0,5.159338,1.52362,1.52362,19.859625,1.0,0.0,0.39208,0.0,-99900.0,0.407518,0.0,0.0,1.52362,1.001658,0.745473,25.382299,121.296883,-47.965977,34.858253,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,58.880455,1.0,34.0,0.0,0.0,23.827209,18.20101,0.0,-0.007353,1.020057,1.020057,-0.01665
-50.162212,20210722-070513,20210722,070513,30.230103,0.0,9.0,2.0,2.0,28.0,301.075287,0.735775,34.0,9.973033,2.052416,2.052416,29.821529,1.0,0.0,0.694466,0.0,-99900.0,1.957904,0.0,0.0,2.052416,1.127815,0.735775,25.344868,121.273399,-50.034222,30.700947,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,58.567112,1.0,34.0,1.0,0.0,26.276825,15.615087,0.0,-0.006913,1.43843,1.43843,-0.014002
-52.11261,20210722-071119,20210722,071119,25.491821,0.0,15.0,2.0,3.0,20.0,296.066559,0.728152,34.0,11.09588,1.519971,1.519971,25.33215,1.0,0.0,0.359135,0.0,-99900.0,0.696636,0.0,0.0,1.519971,0.925445,0.728152,25.302256,121.254105,-52.131233,25.954798,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,58.01342,1.0,34.0,2.0,0.0,25.470001,14.86593,0.0,-0.006393,1.744389,1.744389,-0.013421
-54.242283,20210722-071725,20210722,071725,19.921242,0.0,21.0,2.0,4.0,24.0,290.166626,0.720542,34.0,10.066628,1.12526,1.12526,16.527935,1.0,0.0,0.205967,0.0,-99900.0,0.691169,0.0,0.0,1.12526,0.845094,0.720542,25.252157,121.233047,-54.133049,20.16449,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,57.784786,1.0,34.0,3.0,0.0,24.313477,14.995801,0.0,-0.006174,1.257926,1.257926,-0.013666
-57.230221,20210722-072331,20210722,072331,14.306193,0.0,27.0,2.0,5.0,23.0,284.035126,0.734979,34.0,14.30313,2.104539,2.104539,29.789783,1.0,0.0,0.725752,0.0,-99900.0,0.952091,0.0,0.0,2.104539,1.159356,0.734979,25.20166,121.203476,-56.732498,14.888829,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,58.99123,1.0,34.0,4.0,0.0,24.593201,15.369508,0.0,-0.006396,2.146804,2.146804,-0.013975
-59.898094,20210722-072937,20210722,072937,9.023526,0.0,33.0,2.0,6.0,25.0,278.567261,0.758065,34.0,25.753208,3.564774,3.564774,57.723003,1.0,0.0,1.179054,0.0,-99900.0,0.367326,0.0,0.0,3.564774,1.656639,0.758065,25.154152,121.177086,-59.175053,10.266567,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.573971,1.0,34.0,5.0,0.0,24.95871,15.515049,0.0,-0.006547,3.122781,3.122781,-0.014066
-62.644608,20210722-073542,20210722,073542,3.205357,0.0,39.0,4.0,7.0,14.0,272.929321,0.791943,34.0,37.443916,4.695068,4.695068,68.237297,1.0,0.0,1.99934,0.0,-99900.0,0.771554,0.254,0.254,4.695068,2.242119,1.230607,25.101828,121.14994,-61.870461,5.262809,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,62.726559,1.022727,34.0,6.0,0.232744,25.022308,16.387108,0.0,-0.006931,4.910421,4.910421,-0.014849
-64.781006,20210722-074148,20210722,074148,-1.548497,0.0,45.0,2.0,8.0,15.0,268.63092,0.829115,34.0,30.724691,3.81275,3.81275,52.505318,1.0,0.0,1.50547,0.0,-99900.0,0.789928,0.254,0.254,3.81275,1.861704,0.829115,25.059076,121.128838,-64.290306,0.040221,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,64.799507,1.0,34.0,7.0,0.142309,25.570953,16.507679,0.0,-0.007125,4.348866,4.348866,-0.014891
-66.760094,20210722-074754,20210722,074754,-6.630088,0.0,51.0,3.0,9.0,24.0,264.328644,0.864969,34.0,22.904608,3.949259,3.949259,58.598145,1.0,0.0,1.261494,0.0,-99900.0,0.728728,0.0,0.0,3.949259,1.803658,1.347722,25.013376,121.109314,-66.163048,-5.296167,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,67.088509,1.0,34.0,8.0,0.0,25.30011,16.083601,0.0,-0.006873,3.092949,3.092949,-0.014541
-69.081825,20210722-075400,20210722,075400,-10.742463,0.0,57.0,2.0,10.0,29.0,261.161316,0.924227,34.0,7.222363,1.916237,1.916237,31.575542,1.0,0.0,0.479942,0.0,-99900.0,1.225043,0.0,0.0,1.916237,1.170129,0.924227,24.976393,121.086372,-68.966026,-10.429122,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.912079,1.0,34.0,9.0,0.0,24.857117,15.2337,0.0,-0.006404,1.157936,1.157936,-0.013822
-71.939445,20210722-080006,20210722,080006,-21.62215,1.0,0.0,3.0,11.0,33.0,253.271545,1.007924,34.0,9.69273,1.633076,1.633076,42.144329,1.0,0.0,0.222497,0.0,-99900.0,5.843319,0.0,0.0,1.633076,1.119755,1.007924,24.87855,121.058296,-71.29821,-21.190722,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,75.118584,1.0,34.0,10.0,0.0,22.154449,16.877132,0.0,-0.006364,0.903487,0.903487,-0.015631
-77.308739,20210722-080612,20210722,080612,-27.852774,0.0,3.0,3.0,1.0,35.0,250.187195,1.150454,34.0,9.964353,2.353458,2.353458,40.314865,1.0,0.0,0.595332,0.0,-99900.0,3.082333,0.0,0.0,2.353458,1.414972,1.150454,24.822517,121.005203,-77.183281,-27.499519,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,82.173096,1.0,34.0,0.0,0.0,23.855011,18.74618,0.0,-0.007581,1.445651,1.445651,-0.017145
-79.940468,20210722-081217,20210722,081217,-32.46682,0.0,9.0,3.0,2.0,27.0,247.896347,1.232938,34.0,12.843321,2.467008,2.467008,41.0275,1.0,0.0,0.563927,0.0,-99900.0,1.649354,0.0,0.0,2.467008,1.473186,1.232938,24.781023,120.979233,-79.878716,-32.236347,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,86.281937,1.0,34.0,1.0,0.0,25.703918,19.860012,0.0,-0.008614,1.911911,1.911911,-0.017895
-82.460785,20210722-081823,20210722,081823,-37.263077,0.0,15.0,3.0,3.0,25.0,245.682617,1.313077,34.0,24.424635,2.619176,2.619176,53.989044,1.0,0.0,0.583457,0.0,-99900.0,1.863774,0.0,0.0,2.619176,1.690784,1.313077,24.737888,120.954376,-82.255867,-36.802914,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,90.489326,1.0,34.0,2.0,0.0,27.407959,19.760374,0.0,-0.009096,2.921858,2.921858,-0.017542
-84.811821,20210722-082429,20210722,082429,-42.897949,0.0,21.0,3.0,4.0,22.0,243.169922,1.395358,34.0,43.672821,4.654848,4.654848,86.573715,1.0,0.0,1.576967,0.0,-99900.0,1.254581,0.0,0.0,4.654848,2.270311,2.781456,24.687214,120.931236,-84.233238,-41.932892,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,95.043564,1.0,34.0,3.0,0.030578,27.990204,18.783365,0.0,-0.008815,4.444195,4.444195,-0.016586
-86.788383,20210722-083034,20210722,083034,-47.610138,0.0,27.0,3.0,5.0,16.0,241.252106,1.486988,34.0,40.37447,3.81433,3.81433,60.600075,1.0,0.0,0.942743,0.0,-99900.0,1.82774,0.254,0.254,3.81433,2.207331,2.900453,24.644836,120.911789,-86.604774,-46.741577,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,98.989639,1.0,34.0,4.0,0.132362,28.895264,16.054659,0.0,-0.007758,4.444688,4.444688,-0.014056
-88.69577,20210722-083640,20210722,083640,-52.78949,0.0,33.0,3.0,6.0,24.0,239.240234,1.574432,34.0,38.040833,5.090151,5.090151,70.123306,1.0,0.0,1.892799,0.0,-99900.0,0.932614,0.0,0.0,5.090151,2.400762,2.318012,24.598257,120.893051,-88.294334,-51.92905,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,103.216614,1.0,34.0,5.0,0.0,24.428711,15.084036,0.0,-0.006238,3.669554,3.669554,-0.013734
-92.792603,20210722-084246,20210722,084246,-57.406517,0.0,39.0,0.0,7.0,31.0,238.257111,1.727263,34.0,67.702217,3.229691,3.229691,194.169739,1.0,0.0,0.297105,0.0,-99900.0,1.859313,0.0,0.0,3.229691,1.887824,1.727263,24.556736,120.852608,-93.040909,-57.240936,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,109.114502,1.0,34.0,6.0,0.0,25.764984,15.265819,0.0,-0.006636,2.961887,2.961887,-0.013748
-91.357315,20210722-084850,20210722,084850,-60.063568,0.0,42.0,3.0,8.0,34.0,236.677063,1.69145,34.0,39.102417,2.582742,2.582742,183.020325,1.0,0.0,0.24051,0.0,-99900.0,4.509724,0.0,0.0,2.582742,2.010014,1.69145,24.532839,120.866913,-90.014587,-59.073948,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,109.333397,1.0,34.0,7.0,0.0,23.379974,13.858101,0.0,-0.005499,1.511618,1.511618,-0.01272
-102.356834,20210722-085455,20210722,085455,-71.129158,0.0,0.0,0.0,11.0,44.0,235.204346,2.093003,34.0,14.503017,3.849424,3.849424,63.537285,1.0,0.0,0.94335,0.0,-99900.0,11.050443,0.0,0.0,3.849424,2.583881,2.96471,24.433325,120.758347,-102.692993,-70.472778,36.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,124.644615,1.0,34.0,10.0,0.0,29.95163,16.532585,0.0,-0.008254,1.671299,1.671299,-0.014325
-104.607346,20210722-090102,20210722,090102,-77.003922,0.0,0.0,0.0,1.0,55.0,233.642639,2.217415,34.0,8.889587,3.180417,3.180417,58.076279,1.0,0.0,0.426192,0.0,-99900.0,0.993963,0.0,0.0,3.180417,2.434837,3.180417,24.380491,120.736282,-104.189423,-76.881935,33.0,0.0,33.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,129.893417,1.0,34.0,0.0,0.0,32.154114,18.901035,0.0,-0.010059,0.948298,0.948298,-0.016002
