3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-4.087446,20210722-083640,20210722,083640,26.306211,0.0,3.0,3.0,1.0,26.0,351.16806,0.283971,35.0,2.621265,0.631005,0.631005,9.069386,1.0,0.0,0.187442,0.0,-99900.0,0.0,0.0,0.0,0.631005,0.393212,0.45482,25.309578,121.731384,-3.834216,26.81477,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,26.62187,1.0,35.0,0.0,0.0,23.880829,-99900.0,0.0,-99900.0,0.688137,0.688137,-99900.0
-6.734241,20210722-084246,20210722,084246,19.86058,0.0,9.0,3.0,2.0,23.0,341.269501,0.220975,35.0,3.550516,0.647455,0.647455,7.579478,1.0,0.0,0.229056,0.0,-99900.0,0.44358,0.0,0.0,0.647455,0.409921,0.647455,25.25161,121.705093,-6.396747,20.832464,41.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,20.971233,1.097561,35.0,1.0,0.0,22.324707,19.038212,0.0,-0.007232,0.798072,0.798072,-0.017611
-8.442577,20210722-084850,20210722,084850,11.702474,0.0,15.0,3.0,3.0,16.0,324.192078,0.26486,35.0,37.272835,1.906615,-1.906615,35.035736,-1.0,0.0,0.734215,0.0,-99900.0,1.976869,0.0,-0.0,1.906615,1.08961,2.538464,25.178244,121.688141,-7.996778,13.659091,46.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,1.0,-1.0,0.0,-0.0,14.430004,1.043478,35.0,2.0,0.0,16.610382,20.873985,0.0,-0.005967,6.180422,-6.180422,-0.020003
-12.189651,20210722-085455,20210722,085455,7.305371,0.0,21.0,3.0,4.0,6.0,300.934784,0.110441,35.0,69.962189,3.920389,3.920389,72.147171,1.0,0.0,1.644624,0.0,-99900.0,3.300766,0.508,0.508,3.920389,1.660359,1.359437,25.138699,121.65094,-8.728856,7.711631,48.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,14.211123,1.0625,35.0,3.0,0.466027,21.765228,19.227365,0.0,-0.00713,8.146767,8.146767,-0.017857
-14.908298,20210722-090102,20210722,090102,3.270936,0.0,27.0,2.0,5.0,10.0,282.375,0.144628,35.0,58.212303,4.196848,4.196848,72.44249,1.0,0.0,1.445277,0.0,-99900.0,2.52103,0.508,0.508,4.196848,1.640612,0.248364,25.102417,121.623962,-13.893535,5.4356,48.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,15.262909,1.020833,35.0,4.0,0.47017,24.810913,17.678192,0.0,-0.007418,6.780977,6.780977,-0.016046
-16.985628,20210722-090708,20210722,090708,-1.441875,0.0,33.0,3.0,6.0,4.0,265.148132,0.174693,35.0,58.034767,4.859231,4.859231,97.279991,1.0,0.0,2.538474,0.0,-99900.0,1.323914,1.016,1.016,4.859231,2.094903,3.508518,25.060034,121.603363,-17.411119,3.140817,46.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,17.046717,1.043478,35.0,5.0,1.468433,25.684204,16.730034,0.0,-0.007251,7.351061,7.351061,-0.015077
-19.299269,20210722-091314,20210722,091314,-6.579284,0.0,39.0,2.0,7.0,10.0,251.175568,0.189209,35.0,63.766094,4.863818,4.863818,102.103355,1.0,0.0,2.271978,0.0,-99900.0,0.510635,0.762,0.762,4.863818,2.069043,2.909169,25.013832,121.580429,-18.680899,-3.46274,45.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,20.389917,1.066667,35.0,6.0,0.994576,27.432678,15.459482,0.0,-0.007122,7.441907,7.441907,-0.013721
-21.898552,20210722-091919,20210722,091919,-11.287915,0.0,45.0,3.0,8.0,14.0,242.730804,0.225845,35.0,53.354477,4.235207,4.235207,82.907341,1.0,0.0,1.637573,0.0,-99900.0,0.299572,0.254,0.254,4.235207,1.794966,2.282179,24.971487,121.554665,-20.52659,-8.489498,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,24.636631,1.021277,35.0,7.0,0.303165,29.342621,14.448704,0.0,-0.00708,6.208182,6.208182,-0.012595
-23.6024,20210722-092525,20210722,092525,-16.604048,0.0,51.0,3.0,9.0,19.0,234.874298,0.958126,35.0,20.908918,1.274467,1.274467,25.935884,1.0,0.0,0.130359,0.0,-99900.0,1.134323,0.0,0.0,1.274467,1.022401,0.958126,24.923677,121.537804,-23.607447,-16.481487,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,28.857716,1.0,35.0,8.0,0.0,25.513,14.566075,0.0,-0.006274,0.829094,0.829094,-0.013146
-25.303652,20210722-093131,20210722,093131,-22.358135,0.0,57.0,2.0,10.0,9.0,228.536713,0.347862,35.0,35.863365,3.942391,3.942391,63.420952,1.0,0.0,1.750481,0.0,-99900.0,1.114806,0.254,0.254,3.942391,2.275912,1.101735,24.871929,121.520973,-26.58626,-18.113583,41.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,33.76627,1.195122,35.0,9.0,0.182691,22.651642,15.096327,0.0,-0.005814,4.582693,4.582693,-0.013932
