3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-63.799725,20210722-064052,20210722,064052,-15.343058,0.0,4.0,4.0,1.0,24.0,256.478088,0.850555,71.0,6.796655,1.313654,1.313654,20.603149,1.0,0.0,0.21162,0.0,-99900.0,0.0,0.0,0.0,1.313654,1.009472,1.313654,24.935019,121.138901,-63.782776,-15.077436,39.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,65.618706,1.051282,71.0,0.0,0.0,23.253479,-99900.0,0.0,-99900.0,0.976458,0.976458,-99900.0
-66.381714,20210722-064658,20210722,064658,-19.932795,0.0,10.0,3.0,2.0,22.0,253.28653,0.912769,71.0,11.378323,1.903413,1.903413,31.886242,1.0,0.0,0.425431,0.0,-99900.0,1.627713,0.0,0.0,1.903413,1.163332,0.912769,24.893744,121.113388,-66.244583,-19.672493,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.309799,1.0,71.0,1.0,0.0,29.360229,14.388423,0.0,-0.007055,1.565523,1.565523,-0.01254
-69.236031,20210722-065303,20210722,065303,-24.772829,0.0,13.0,0.0,3.0,34.0,250.312927,0.98894,71.0,10.370419,2.045666,2.045666,31.857618,1.0,0.0,0.441539,0.0,-99900.0,0.383573,0.0,0.0,2.045666,1.263064,1.506765,24.850216,121.08519,-69.076134,-24.653433,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,73.534485,1.0,71.0,2.0,0.0,29.963379,14.889731,0.0,-0.007437,1.225153,1.225153,-0.0129
-71.262642,20210722-065907,20210722,065907,-27.781473,0.0,3.0,2.0,1.0,28.0,248.702118,1.048288,71.0,17.167612,2.04082,2.04082,53.173294,1.0,0.0,0.340547,0.0,-99900.0,1.818851,0.0,0.0,2.04082,1.221102,1.048288,24.823158,121.06517,-71.33577,-27.79792,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,76.486435,1.0,71.0,0.0,0.0,30.912598,13.462914,0.0,-0.006916,1.376281,1.376281,-0.011551
-75.300323,20210722-070513,20210722,070513,-34.040939,0.0,9.0,2.0,2.0,27.0,245.674011,1.165567,71.0,21.180056,2.359688,2.359688,78.009109,1.0,0.0,0.440625,0.0,-99900.0,2.529407,0.0,0.0,2.359688,1.458274,1.165567,24.766865,121.025291,-75.427925,-33.946026,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,82.637306,1.0,71.0,1.0,0.0,31.643311,14.557375,0.0,-0.007637,1.662216,1.662216,-0.012393
-74.532097,20210722-071119,20210722,071119,-39.409866,0.0,15.0,2.0,3.0,24.0,242.132019,1.193662,71.0,15.740858,2.387742,2.387742,41.33139,1.0,0.0,0.552423,0.0,-99900.0,3.659529,0.0,0.0,2.387742,1.478091,1.193662,24.718582,121.033051,-74.504158,-39.123478,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,84.309975,1.0,71.0,2.0,0.0,26.454254,14.475438,0.0,-0.006449,1.975422,1.975422,-0.01296
-77.257263,20210722-071725,20210722,071725,-44.091045,0.0,21.0,2.0,4.0,17.0,240.286697,1.275595,71.0,20.738987,3.429208,3.429208,46.320896,1.0,0.0,1.160401,0.0,-99900.0,0.370232,0.0,0.0,3.429208,1.718883,1.275595,24.676483,121.006165,-76.761345,-43.574741,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,88.953384,1.0,71.0,3.0,0.0,23.486572,14.576438,0.0,-0.005809,3.014451,3.014451,-0.013369
-80.688164,20210722-072331,20210722,072331,-49.123428,0.0,27.0,3.0,5.0,22.0,238.666992,1.392833,71.0,49.826092,3.635311,3.635311,90.505234,1.0,0.0,0.750744,0.0,-99900.0,1.312151,0.0,0.0,3.635311,1.801639,1.392833,24.631226,120.972298,-80.425652,-48.606823,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,94.465294,1.0,71.0,4.0,0.0,22.928741,14.934629,0.0,-0.005818,3.47611,3.47611,-0.013755
-83.785713,20210722-072937,20210722,072937,-54.151947,0.0,33.0,2.0,6.0,20.0,237.125092,1.50655,71.0,61.251518,3.849591,3.849591,90.871811,1.0,0.0,0.842854,0.0,-99900.0,0.968057,0.0,0.0,3.849591,1.99254,1.50655,24.586004,120.94175,-83.660446,-53.531025,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,99.762115,1.0,71.0,5.0,0.012735,24.149719,15.55166,0.0,-0.006363,4.311691,4.311691,-0.014191
-86.186165,20210722-073542,20210722,073542,-58.50946,0.0,39.0,2.0,7.0,15.0,235.828766,1.597755,71.0,79.177589,5.160154,5.160154,149.667709,1.0,0.0,1.64907,0.0,-99900.0,0.825748,0.254,0.254,5.160154,2.239838,2.364206,24.546816,120.918098,-86.138496,-57.359959,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,104.170113,1.0,71.0,6.0,0.226385,26.516174,14.976656,0.0,-0.006686,4.720397,4.720397,-0.013401
