3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
105.287872,20210722-075400,20210722,075400,-92.907661,0.0,3.0,3.0,1.0,23.0,131.425369,2.494164,1.0,30.008204,4.519747,4.519747,76.519096,1.0,0.0,0.937663,0.0,-99900.0,0.0,0.0,0.0,4.519747,2.9252,2.494164,24.237467,122.813866,105.30265,-92.324127,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,140.418564,1.0,1.0,0.0,0.0,24.874817,-99900.0,0.0,-99900.0,3.649063,3.649063,-99900.0
104.229591,20210722-080006,20210722,080006,-101.622993,0.0,9.0,3.0,2.0,13.0,134.274231,2.633246,1.0,45.756996,4.724183,4.724183,93.357712,1.0,0.0,1.037572,0.0,-99900.0,3.670243,0.254,0.254,4.724183,3.15066,3.68004,24.159088,122.80307,104.308403,-100.941299,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,145.571426,1.0,1.0,1.0,0.247565,6.923401,23.98723,0.0,-0.002891,4.468499,4.468499,-0.023812
102.537224,20210722-080612,20210722,080612,-111.631035,0.0,15.0,3.0,3.0,15.0,137.431061,3.869371,1.0,49.262688,4.953612,4.953612,107.719109,1.0,0.0,0.417841,0.0,-99900.0,1.439869,0.254,0.254,4.953612,3.950642,3.869371,24.069082,122.785965,102.528961,-111.574905,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,151.576294,1.0,1.0,2.0,0.181739,8.357544,25.852921,0.0,-0.003758,1.449479,1.449479,-0.025578
102.783791,20210722-081217,20210722,081217,-115.181786,0.0,21.0,3.0,4.0,11.0,138.255173,2.869698,1.0,83.975937,5.075906,5.075906,153.445145,1.0,0.0,0.517617,0.0,-99900.0,6.007386,0.508,0.508,5.075906,3.508888,4.01022,24.037151,122.788277,103.210716,-113.712021,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,154.374069,1.023256,1.0,3.0,0.581293,6.832733,21.161936,0.0,-0.002518,5.287024,5.287024,-0.021012
102.003258,20210722-081823,20210722,081823,-123.46563,0.0,27.0,3.0,5.0,8.0,140.437271,3.061558,1.0,133.819885,5.297263,5.297263,212.851456,1.0,0.0,0.837735,0.0,-99900.0,0.610083,0.762,0.762,5.297263,3.320379,4.175025,23.962652,122.780258,102.09243,-123.410896,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,160.15126,1.0,1.0,4.0,0.899487,6.126831,20.538242,0.0,-0.002192,6.280579,6.280579,-0.020421
101.864632,20210722-082429,20210722,082429,-131.241119,0.0,33.0,2.0,6.0,5.0,142.182343,3.232907,1.0,113.472076,5.612492,5.612492,141.472763,1.0,0.0,0.825966,0.0,-99900.0,0.728902,1.016,1.016,5.612492,3.662905,3.232907,23.892725,122.77861,102.044861,-130.805618,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,166.134384,1.0,1.0,5.0,1.487245,5.160736,20.45282,0.0,-0.00184,7.331746,7.331746,-0.02037
101.307678,20210722-083034,20210722,083034,-139.346207,0.0,39.0,3.0,7.0,7.0,143.981705,3.421811,1.0,148.542297,5.909888,5.909888,210.508911,1.0,0.0,0.706092,0.0,-99900.0,0.679795,0.762,0.762,5.909888,3.680688,3.421811,23.819836,122.77282,101.468269,-138.962708,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,172.280624,1.0,1.0,6.0,1.050217,3.894379,20.030294,0.0,-0.00136,6.962141,6.962141,-0.019984
100.844322,20210722-083640,20210722,083640,-146.63533,0.0,45.0,3.0,8.0,8.0,145.482513,3.601766,1.0,184.118301,6.155551,6.155551,272.306976,1.0,0.0,0.686489,0.0,-99900.0,0.042672,0.762,0.762,6.155551,3.889956,3.601766,23.754282,122.767982,100.760674,-146.484177,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,177.964874,1.0,1.0,7.0,1.054414,2.922272,19.975611,0.0,-0.001018,6.401204,6.401204,-0.01995
101.896088,20210722-084246,20210722,084246,-153.678482,0.0,51.0,3.0,9.0,4.0,146.4534,3.810345,1.0,118.607117,6.452517,6.452517,171.076202,1.0,0.0,0.922686,0.0,-99900.0,1.44774,1.016,1.016,6.452517,4.125491,3.810345,23.690941,122.778114,101.999786,-153.463165,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,184.390594,1.0,1.0,8.0,1.561799,1.796387,21.11005,0.0,-0.000662,7.554614,7.554614,-0.0211
101.325119,20210722-084850,20210722,084850,-162.187988,0.0,57.0,3.0,10.0,5.0,148.005035,4.032023,1.0,168.933807,6.801952,6.801952,232.053482,1.0,0.0,0.850109,0.0,-99900.0,0.89251,1.016,1.016,6.801952,4.352204,4.032023,23.614414,122.772179,101.311691,-161.884506,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,191.23735,1.0,1.0,9.0,1.923847,0.802795,20.968977,0.0,-0.000294,8.027397,8.027397,-0.020967
102.268707,20210722-085455,20210722,085455,-170.362823,1.0,3.0,2.0,11.0,4.0,149.023285,4.284549,1.0,143.863312,7.187602,7.187602,258.348328,1.0,0.0,0.920844,0.0,-99900.0,1.173298,0.762,0.762,7.187602,4.629474,4.284549,23.540895,122.781197,102.275139,-170.011826,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,198.701736,1.0,1.0,10.0,0.96432,359.339966,21.213093,0.0,0.000244,6.998081,6.998081,-0.021212
