3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-13.89775,20210722-070513,20210722,070513,231.598816,0.0,0.0,0.0,1.0,47.0,356.565918,5.517599,61.0,37.620327,7.111565,7.111565,179.174377,1.0,0.0,0.573186,0.0,-99900.0,0.0,-25374.6,-25374.6,7.111565,5.620048,5.517599,27.155817,121.632805,-13.876046,231.636581,35.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,232.015427,1.0,61.0,0.0,0.0,23.766418,-99900.0,-99900.0,-99900.0,2.811582,2.811582,-99900.0
-20.778597,20210722-071119,20210722,071119,224.838791,0.0,25.0,0.0,1.0,42.0,354.720001,5.283067,61.0,54.860413,6.793597,6.793597,238.129868,1.0,0.0,0.47635,0.0,-99900.0,4.452146,0.0,0.0,6.793597,5.438038,5.283067,27.095024,121.56395,-20.735788,224.995911,38.0,0.0,38.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,225.796875,1.0,61.0,0.0,0.0,45.507446,26.355059,-99900.0,-0.0188,3.463262,3.463262,-0.01847
-22.237701,20210722-071725,20210722,071725,220.595154,0.0,0.0,0.0,1.0,38.0,354.243591,5.128054,61.0,56.007938,6.630509,6.630509,234.398071,1.0,0.0,0.478318,0.0,-99900.0,5.977268,0.0,0.0,6.630509,5.31749,5.128054,27.05686,121.54937,-21.99468,220.752319,38.0,0.0,38.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,221.713196,1.0,61.0,0.0,0.0,37.159393,18.862116,-99900.0,-0.011393,3.543874,3.543874,-0.015032
-28.432379,20210722-072331,20210722,072331,216.475464,0.0,3.0,3.0,1.0,18.0,352.517487,4.996896,61.0,88.791962,6.526546,6.526546,288.01416,1.0,0.0,0.418912,0.0,-99900.0,2.451479,0.254,0.254,6.526546,5.122104,4.996896,27.01981,121.487404,-28.1241,216.507767,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,218.334656,1.0,61.0,0.0,0.23582,42.248138,18.312519,0.0,-0.012312,4.888003,4.888003,-0.013556
-33.526554,20210722-072937,20210722,072937,212.754852,1.0,12.0,3.0,1.0,11.0,351.04483,4.896469,61.0,127.475426,6.306285,6.306285,363.505859,1.0,0.0,0.332553,0.0,-99900.0,1.372977,0.508,0.508,6.306285,5.039847,4.896469,26.986351,121.436455,-33.677464,212.956589,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,215.380264,1.0,61.0,0.0,0.5182,45.53009,17.961029,0.0,-0.012817,5.642595,5.642595,-0.012582
-34.581123,20210722-073542,20210722,073542,207.05304,0.0,9.0,3.0,1.0,5.0,350.51825,4.691654,61.0,180.454926,7.548505,7.548505,255.373352,1.0,0.0,0.8364,0.0,-99900.0,3.789734,1.016,1.016,7.548505,4.859354,4.691654,26.935072,121.42598,-34.546986,207.103638,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,209.920975,1.0,61.0,0.0,1.544934,42.195068,17.192343,0.0,-0.011547,7.641897,7.641897,-0.012737
-37.518063,20210722-074148,20210722,074148,202.401306,0.0,27.0,3.0,1.0,10.0,349.498596,4.5437,61.0,148.6539,6.01115,6.01115,256.080048,1.0,0.0,0.413864,0.0,-99900.0,1.28943,0.508,0.508,6.01115,4.602468,4.5437,26.893238,121.39666,-37.508869,202.373566,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,205.849197,1.0,61.0,0.0,0.747247,38.794434,15.687784,0.0,-0.009829,5.568283,5.568283,-0.012227
-40.360077,20210722-074754,20210722,074754,197.194916,0.0,9.0,3.0,1.0,7.0,348.432983,4.38615,61.0,119.376953,5.772482,5.772482,186.724564,1.0,0.0,0.463256,0.0,-99900.0,1.051346,0.762,0.762,5.772482,4.547403,4.38615,26.846416,121.368301,-40.341759,197.253036,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,201.282822,1.0,61.0,0.0,1.030895,35.796204,15.884097,0.0,-0.009291,6.653253,6.653253,-0.012884
-49.243336,20210722-075400,20210722,075400,199.893829,0.0,39.0,3.0,1.0,9.0,346.160919,4.548482,61.0,165.492462,5.945941,5.945941,431.881744,1.0,0.0,0.292274,0.0,-99900.0,9.221394,0.508,0.508,5.945941,4.67304,4.548482,26.870689,121.279404,-49.122833,200.01123,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,205.86998,1.0,61.0,0.0,0.401024,43.527954,14.461297,0.0,-0.00996,5.192684,5.192684,-0.010485
-50.813389,20210722-080006,20210722,080006,198.170242,0.0,27.0,3.0,1.0,6.0,345.6185,4.504005,61.0,234.200272,7.362382,7.362382,462.202271,1.0,0.0,0.650079,0.0,-99900.0,2.962261,0.508,0.508,7.362382,4.690389,4.504005,26.855188,121.263725,-50.80415,198.292648,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,204.581146,1.0,61.0,0.0,0.681695,53.230194,12.992938,0.0,-0.010408,6.182534,6.182534,-0.007778
