3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
196.615707,20210722-064052,20210722,064052,22.828201,0.0,4.0,4.0,1.0,31.0,83.37709,4.270918,75.0,82.382278,5.634529,5.634529,280.299805,1.0,0.0,0.37548,0.0,-99900.0,0.0,0.0,0.0,5.634529,4.484408,4.270918,25.278305,123.725807,196.650116,23.152712,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,197.936508,1.0,75.0,0.0,0.0,23.253479,-99900.0,0.0,-99900.0,4.099263,4.099263,-99900.0
191.281021,20210722-064658,20210722,064658,14.62046,0.0,10.0,3.0,2.0,15.0,85.628922,4.065204,75.0,97.823753,5.377439,5.377439,259.98468,1.0,0.0,0.366781,0.0,-99900.0,3.771442,0.254,0.254,5.377439,4.299122,4.065204,25.204491,123.672218,191.388824,14.816921,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,191.838959,1.0,75.0,1.0,0.104271,33.022156,26.746151,0.0,-0.014576,4.365365,4.365365,-0.022426
186.370071,20210722-065303,20210722,065303,6.73317,0.0,16.0,2.0,3.0,2.0,87.930717,3.867714,75.0,161.62384,6.409445,6.409445,294.152832,1.0,0.0,0.790483,0.0,-99900.0,0.506219,1.016,1.016,6.409445,4.33946,3.867714,25.133558,123.622894,185.873657,7.393536,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,186.491669,1.0,75.0,2.0,1.649653,32.479919,26.100651,0.0,-0.014016,7.737451,7.737451,-0.022018
181.186005,20210722-065907,20210722,065907,-1.742979,0.0,22.0,2.0,4.0,2.0,90.550949,3.703593,75.0,170.04303,6.346297,6.346297,232.61441,1.0,0.0,0.996478,0.0,-99900.0,0.468863,1.27,1.27,6.346297,4.198014,3.703593,25.057331,123.570854,180.971313,-1.212757,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,181.194382,1.0,75.0,3.0,3.159103,32.106445,26.392527,0.0,-0.014027,9.585213,9.585213,-0.022356
181.664597,20210722-070513,20210722,070513,-9.756002,0.0,28.0,2.0,5.0,1.0,93.073807,3.783057,75.0,208.320114,6.032368,6.032368,250.601318,1.0,0.0,0.909478,0.0,-99900.0,5.615193,1.27,1.27,6.032368,4.373072,3.783057,24.985268,123.575073,183.166138,-9.851315,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,181.926376,1.0,75.0,4.0,2.499421,26.129761,24.873291,0.0,-0.010954,9.506919,9.506919,-0.022331
176.692444,20210722-071119,20210722,071119,-16.510822,0.0,34.0,2.0,6.0,2.0,95.338211,3.59913,75.0,577.632812,5.937865,5.937865,491.174133,1.0,0.0,0.480404,0.0,-99900.0,1.714342,1.524,1.524,5.937865,3.900104,3.59913,24.92452,123.525291,176.950134,-16.416138,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,177.462189,1.0,75.0,5.0,3.752522,25.650757,24.14893,0.0,-0.010454,10.748252,10.748252,-0.021769
171.499405,20210722-071725,20210722,071725,-23.469378,0.0,40.0,3.0,7.0,2.0,97.792183,3.466602,75.0,479.682678,7.235425,7.235425,368.890778,1.0,0.0,1.070034,0.0,-99900.0,1.698989,1.778,1.778,7.235425,3.781607,4.607975,24.86194,123.473328,171.856705,-23.84894,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,173.097824,1.0,75.0,6.0,5.349438,25.4198,23.217571,0.0,-0.009966,11.686749,11.686749,-0.02097
167.143982,20210722-072331,20210722,072331,-30.533533,0.0,46.0,2.0,8.0,2.0,100.352295,3.366474,75.0,875.614014,7.09161,7.09161,637.775574,1.0,0.0,0.647809,0.0,-99900.0,0.934938,2.286,2.286,7.09161,3.664081,3.366474,24.79841,123.429695,167.456604,-30.858578,51.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,169.910004,1.0,75.0,7.0,7.803144,26.74881,22.594286,0.0,-0.010169,15.525428,15.525428,-0.020176
162.759613,20210722-072937,20210722,072937,-37.795406,0.0,52.0,3.0,9.0,1.0,103.073059,3.277966,75.0,911.396973,6.973592,6.973592,697.738647,1.0,0.0,0.571193,0.0,-99900.0,0.673698,1.524,1.524,6.973592,3.470633,3.277966,24.733105,123.38578,163.023438,-37.967632,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,167.090347,1.0,75.0,8.0,4.151378,29.447144,22.371311,0.0,-0.010998,12.28251,12.28251,-0.019481
157.410034,20210722-073542,20210722,073542,-43.032776,0.0,58.0,3.0,10.0,1.0,105.28968,3.152491,75.0,507.81665,6.829686,6.829686,419.023041,1.0,0.0,0.716654,0.0,-99900.0,2.300416,1.27,1.27,6.829686,3.349342,3.152491,24.686003,123.332443,157.502686,-42.849697,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,163.186203,1.0,75.0,9.0,2.987993,35.20401,22.680437,0.0,-0.013075,10.589678,10.589678,-0.018532
