3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-48.8008,20210722-082429,20210722,082429,89.236221,0.0,3.0,3.0,1.0,34.0,331.327057,2.982739,92.0,55.084034,3.827193,3.827193,175.374115,1.0,0.0,0.224314,0.0,-99900.0,0.0,0.0,0.0,3.827193,3.084843,2.982739,25.875521,121.285866,-48.728344,89.412193,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,101.708511,1.0,92.0,0.0,0.0,21.924011,-99900.0,0.0,-99900.0,1.026184,1.026184,-99900.0
-52.524605,20210722-083034,20210722,083034,86.065468,0.0,9.0,3.0,2.0,28.0,328.604919,1.546416,92.0,49.88364,2.903933,2.903933,144.554993,1.0,0.0,0.440953,0.0,-99900.0,3.003412,0.0,0.0,2.903933,1.884909,2.903933,25.847006,121.248833,-52.455616,86.491905,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,100.827072,1.025,92.0,1.0,0.007565,49.586182,13.399581,0.0,-0.010202,2.32151,2.32151,-0.008687
-56.229023,20210722-083640,20210722,083640,81.526016,0.0,15.0,2.0,3.0,35.0,325.405792,1.537453,92.0,55.63707,4.435802,4.435802,192.496887,1.0,0.0,0.652547,0.0,-99900.0,1.360338,0.0,0.0,4.435802,2.057287,1.537453,25.806181,121.212029,-56.829617,83.186012,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,99.036331,1.0,92.0,2.0,0.0,43.930511,14.646701,0.0,-0.010162,2.986016,2.986016,-0.010548
-58.961079,20210722-084246,20210722,084246,76.927666,0.0,18.0,0.0,4.0,43.0,322.531799,1.478069,92.0,38.460667,3.665168,3.665168,137.411789,1.0,0.0,0.963751,0.0,-99900.0,1.2323,0.0,0.0,3.665168,1.867848,2.652242,25.764828,121.184921,-59.397564,77.945366,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,96.924065,1.0,92.0,3.0,0.0,39.500854,14.695402,0.0,-0.009348,2.191648,2.191648,-0.011339
-61.885715,20210722-084850,20210722,084850,72.756615,0.0,0.0,0.0,1.0,41.0,319.616089,1.477747,92.0,20.202448,3.380574,3.380574,117.640381,1.0,0.0,0.584602,0.0,-99900.0,0.479874,0.0,0.0,3.380574,2.1413,2.08604,25.727318,121.155899,-62.563499,75.408348,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,95.516319,1.0,92.0,0.0,0.0,37.759827,14.572703,0.0,-0.008924,1.596763,1.596763,-0.011521
-69.379463,20210722-085455,20210722,085455,71.853439,0.0,0.0,0.0,1.0,42.0,316.003662,1.529278,92.0,23.099293,2.789126,2.789126,166.415985,1.0,0.0,0.43044,0.0,-99900.0,5.371401,0.0,0.0,2.789126,1.773399,2.789126,25.719194,121.081314,-69.630341,72.288391,36.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,99.882057,1.0,92.0,0.0,0.0,45.486511,14.666364,0.0,-0.010458,1.244539,1.244539,-0.010282
-75.086815,20210722-090102,20210722,090102,68.792252,0.0,0.0,0.0,1.0,51.0,312.495087,1.566321,92.0,23.442057,2.237553,2.237553,163.392624,1.0,0.0,0.141125,0.0,-99900.0,2.000284,0.0,0.0,2.237553,1.673819,1.566321,25.691666,121.024582,-75.230278,68.974609,36.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,101.835182,1.0,92.0,0.0,0.0,52.390137,15.318116,0.0,-0.012135,0.966384,0.966384,-0.009348
-78.721924,20210722-090708,20210722,090708,64.443291,0.0,0.0,0.0,1.0,43.0,309.304535,1.566527,92.0,11.11939,2.225112,2.225112,66.931877,1.0,0.0,0.218186,0.0,-99900.0,1.228891,0.0,0.0,2.225112,1.685501,1.566527,25.652554,120.988525,-78.970932,64.672958,36.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,101.735336,1.0,92.0,0.0,0.0,56.666504,15.750273,0.0,-0.013159,0.995241,0.995241,-0.008655
-82.350967,20210722-091314,20210722,091314,58.744179,0.0,33.0,0.0,1.0,36.0,305.501892,1.5619,92.0,14.612341,3.801888,3.801888,96.566444,1.0,0.0,1.001753,0.0,-99900.0,2.795967,0.0,0.0,3.801888,2.35187,3.801888,25.601301,120.952583,-82.571136,59.6492,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,101.15612,1.0,92.0,0.0,0.0,55.518341,16.41057,0.0,-0.013527,1.958775,1.958775,-0.009291
-85.299194,20210722-091919,20210722,091919,54.077518,0.0,6.0,3.0,1.0,37.0,302.373779,1.547433,92.0,12.535501,2.931046,2.931046,69.839043,1.0,0.0,0.584973,0.0,-99900.0,2.363084,0.0,0.0,2.931046,1.908257,2.243557,25.559332,120.923393,-85.180588,54.645496,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,100.996681,1.0,92.0,0.0,0.0,49.346619,16.427065,0.0,-0.012463,1.475436,1.475436,-0.010702
