3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
52.911407,20210722-060820,20210722,060820,97.35054,0.0,0.0,0.0,1.0,35.0,28.524645,1.772725,37.0,8.385112,3.257166,3.257166,58.755104,1.0,0.0,0.668333,0.0,-99900.0,0.0,0.0,0.0,3.257166,2.18032,1.772725,25.948496,122.299248,53.109047,97.713058,35.0,0.0,35.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,110.800476,1.0,37.0,0.0,0.0,22.918762,-99900.0,0.0,-99900.0,1.175862,1.175862,-99900.0
49.615772,20210722-061425,20210722,061425,92.114433,0.0,3.0,3.0,1.0,26.0,28.308256,1.628079,37.0,14.875448,2.326361,2.326361,32.887878,1.0,0.0,0.346031,0.0,-99900.0,0.90119,0.0,0.0,2.326361,1.764948,1.628079,25.901405,122.266312,49.765015,92.290451,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,104.626923,1.0,37.0,0.0,0.0,32.186523,16.95047,0.0,-0.009029,1.991725,1.991725,-0.014345
45.05088,20210722-062031,20210722,062031,86.69075,0.0,3.0,2.0,1.0,27.0,27.459637,1.482442,37.0,16.387238,2.770332,2.770332,49.238243,1.0,0.0,0.554791,0.0,-99900.0,1.272078,0.0,0.0,2.770332,1.802369,2.144496,25.852629,122.220741,45.328499,87.114128,38.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,97.697838,1.026316,37.0,0.0,0.0,36.40683,18.118973,0.0,-0.010754,1.712286,1.712286,-0.014583
40.546532,20210722-062637,20210722,062637,81.780563,0.0,51.0,3.0,1.0,22.0,26.372,1.361261,37.0,38.232441,4.318061,4.318061,74.033951,1.0,0.0,1.079671,0.0,-99900.0,0.710962,0.0,0.0,4.318061,2.404137,3.353163,25.80847,122.175804,41.244602,82.746986,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,91.280235,1.0,37.0,0.0,0.080485,38.629517,18.248569,0.0,-0.011392,3.35287,3.35287,-0.014256
36.808228,20210722-063243,20210722,063243,75.086853,0.0,3.0,3.0,1.0,11.0,26.114435,1.210974,37.0,76.473808,4.963965,4.963965,138.5634,1.0,0.0,1.376016,0.0,-99900.0,1.537814,0.254,0.254,4.963965,2.476128,2.363961,25.748272,122.138481,37.598888,76.266075,45.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,83.623451,1.044444,37.0,0.0,0.333293,36.956757,18.768579,0.0,-0.011284,6.166114,6.166114,-0.014998
32.620937,20210722-064052,20210722,064052,66.589432,0.0,45.0,2.0,1.0,12.0,26.099323,1.026678,37.0,95.151047,4.231524,4.231524,130.406418,1.0,0.0,0.959298,0.0,-99900.0,1.767509,0.254,0.254,4.231524,1.892335,2.038705,25.671854,122.096687,33.525414,67.534035,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,74.150375,1.0,37.0,0.0,0.224701,34.39566,18.990868,0.0,-0.010728,6.265909,6.265909,-0.01567
29.185101,20210722-064658,20210722,064658,60.510201,0.0,21.0,3.0,1.0,4.0,25.748745,0.911254,37.0,104.019913,4.794137,4.794137,130.76239,1.0,0.0,1.268708,0.0,-99900.0,0.59912,0.762,0.762,4.794137,2.090175,1.351981,25.617182,122.062424,30.134592,62.092113,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,67.180756,1.022222,37.0,0.0,0.982604,32.339844,19.339714,0.0,-0.010346,6.579167,6.579167,-0.01634
26.023312,20210722-065303,20210722,065303,54.866146,0.0,21.0,3.0,1.0,4.0,25.375181,0.803096,37.0,133.875946,5.348819,5.348819,160.413895,1.0,0.0,1.686302,0.0,-99900.0,0.692705,0.762,0.762,5.348819,1.884168,2.706357,25.566423,122.030907,26.848137,56.723785,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.724846,1.0,37.0,0.0,1.119687,29.908356,19.208536,0.0,-0.009578,7.851521,7.851521,-0.01665
21.100681,20210722-065907,20210722,065907,49.772461,0.0,3.0,2.0,1.0,5.0,22.974117,0.682016,37.0,103.121078,4.854466,4.854466,129.844482,1.0,0.0,2.310513,0.0,-99900.0,1.731579,0.762,0.762,4.854466,2.222333,1.393888,25.520615,121.981895,23.016142,50.358028,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,54.06049,1.021277,37.0,0.0,1.08234,30.300964,19.096724,0.0,-0.009635,7.557502,7.557502,-0.016488
17.031639,20210722-070513,20210722,070513,46.90963,0.0,16.0,3.0,1.0,9.0,19.954567,0.61973,37.0,116.918388,4.392576,4.392576,149.825378,1.0,0.0,0.904182,0.0,-99900.0,3.217803,0.508,0.508,4.392576,1.687268,0.937336,25.494869,121.941399,18.432972,47.96912,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,49.905811,1.0,37.0,0.0,0.545321,34.549255,17.917519,0.0,-0.010161,6.673063,6.673063,-0.014758
