3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-36.470581,20210722-102622,20210722,102622,183.921631,0.0,0.0,0.0,4.0,20.0,348.784119,3.916948,71.0,20.414993,5.223533,5.223533,76.927643,1.0,0.0,0.640093,0.0,-99900.0,0.0,0.0,0.0,5.223533,4.105783,3.916948,26.727047,121.407394,-36.917561,183.844589,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,187.502716,1.0,71.0,3.0,0.0,18.56311,-99900.0,0.0,-99900.0,3.112455,3.112455,-99900.0
-40.356846,20210722-103228,20210722,103228,178.563995,0.0,3.0,3.0,1.0,18.0,347.264709,3.774093,71.0,43.709175,5.032704,5.032704,120.422501,1.0,0.0,0.509829,0.0,-99900.0,1.680734,0.0,0.0,5.032704,3.991485,3.774093,26.678865,121.368622,-40.307835,178.664673,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,183.067673,1.0,71.0,0.0,0.0,35.955994,18.083773,0.0,-0.010618,3.502357,3.502357,-0.014638
-44.496372,20210722-103834,20210722,103834,173.32251,0.0,6.0,3.0,2.0,22.0,345.601685,3.648015,71.0,31.36842,4.848677,4.848677,88.816956,1.0,0.0,0.538149,0.0,-99900.0,0.278631,0.0,0.0,4.848677,3.925012,3.648015,26.631727,121.327339,-44.422691,173.651505,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,178.943069,1.0,71.0,1.0,0.0,37.133453,18.162487,0.0,-0.010964,3.123058,3.123058,-0.01448
-48.353333,20210722-104440,20210722,104440,168.08638,0.0,3.0,3.0,1.0,18.0,343.951111,3.514871,71.0,37.321968,4.710926,4.710926,131.605927,1.0,0.0,0.458479,0.0,-99900.0,0.168357,0.0,0.0,4.710926,3.764859,3.514871,26.584637,121.288887,-48.306004,168.246735,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,174.903046,1.0,71.0,0.0,0.0,37.027618,18.052113,0.0,-0.010871,3.285488,3.285488,-0.014412
-52.044518,20210722-105045,20210722,105045,163.587219,0.0,6.0,0.0,2.0,31.0,342.351807,3.416167,71.0,16.850391,4.568991,4.568991,80.441788,1.0,0.0,0.527719,0.0,-99900.0,0.809896,0.0,0.0,4.568991,3.617625,3.416167,26.544176,121.252098,-52.091698,163.799713,36.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,171.666565,1.0,71.0,1.0,0.0,37.428009,17.607386,0.0,-0.010701,1.891068,1.891068,-0.013982
-55.433567,20210722-105651,20210722,105651,150.579132,0.0,3.0,3.0,1.0,13.0,339.789581,3.071323,71.0,32.888809,4.182523,4.182523,76.494446,1.0,0.0,0.480414,0.0,-99900.0,7.908166,0.0,0.0,4.182523,3.23882,3.071323,26.427191,121.218513,-55.359512,150.646912,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,160.458572,1.0,71.0,0.0,0.022183,31.659821,19.902815,0.0,-0.010446,3.322633,3.322633,-0.016941
-62.186928,20210722-110257,20210722,110257,142.083572,0.0,9.0,3.0,2.0,7.0,336.362091,2.916207,71.0,39.736626,5.075965,5.075965,79.138336,1.0,0.0,1.040185,0.0,-99900.0,3.721903,0.0,0.0,5.075965,3.168282,2.916207,26.350788,121.151283,-62.067875,142.231781,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,155.096603,1.0,71.0,1.0,0.063898,29.721771,22.950274,0.0,-0.011378,4.447393,4.447393,-0.019931
-65.679108,20210722-110903,20210722,110903,137.67189,0.0,15.0,3.0,3.0,8.0,334.495667,2.846437,71.0,42.996014,4.899509,4.899509,74.5653,1.0,0.0,0.996538,0.0,-99900.0,2.960432,0.0,0.0,4.899509,3.099744,2.846437,26.311113,121.116539,-65.544884,137.976669,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,152.536209,1.0,71.0,2.0,0.050813,29.250885,24.107927,0.0,-0.01178,4.3066,4.3066,-0.021034
-69.888519,20210722-111508,20210722,111508,132.203293,0.0,18.0,3.0,4.0,15.0,332.137146,2.765498,71.0,37.063934,4.759252,4.759252,143.903946,1.0,0.0,0.728556,0.0,-99900.0,2.210615,0.0,0.0,4.759252,3.122145,2.765498,26.261934,121.074669,-69.91095,132.59819,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,149.539688,1.0,71.0,3.0,0.0,30.31488,24.04286,0.0,-0.012136,2.845095,2.845095,-0.020755
-73.214691,20210722-112114,20210722,112114,128.375031,0.0,0.0,0.0,1.0,24.0,330.303131,2.727875,71.0,36.860012,4.658549,4.658549,182.237061,1.0,0.0,0.477881,0.0,-99900.0,3.929836,0.0,0.0,4.658549,3.146016,3.700173,26.227505,121.041588,-73.346252,129.19101,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,147.785446,1.0,71.0,0.0,0.0,32.948761,21.932127,0.0,-0.011929,2.359077,2.359077,-0.018405
