3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-37.167217,20210722-074754,20210722,074754,-10.474712,0.0,3.0,3.0,1.0,32.0,254.260986,0.433314,72.0,7.855447,0.96398,0.96398,31.496189,1.0,0.0,0.2346,0.0,-99900.0,0.0,0.0,0.0,0.96398,0.582343,0.96398,24.9788,121.403114,-37.09893,-10.614799,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,38.615044,1.0,72.0,0.0,0.0,23.845825,-99900.0,0.0,-99900.0,0.757474,0.757474,-99900.0
-39.127125,20210722-075400,20210722,075400,-13.170325,0.0,9.0,3.0,2.0,22.0,251.396851,0.460104,72.0,12.642844,1.87762,1.87762,35.43264,1.0,0.0,0.665355,0.0,-99900.0,3.109107,0.0,0.0,1.87762,0.94121,0.748295,24.954557,121.383705,-38.650768,-12.16791,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,41.284252,1.0,72.0,1.0,0.0,36.019897,9.105991,0.0,-0.005355,1.530759,1.530759,-0.007365
-41.632397,20210722-080006,20210722,080006,-17.143892,0.0,15.0,2.0,3.0,15.0,247.618774,0.514863,72.0,35.653969,3.343953,3.343953,77.621338,1.0,0.0,1.045107,0.0,-99900.0,1.389464,0.0,0.0,3.343953,1.445306,1.558739,24.918823,121.358902,-41.314987,-16.174685,42.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,45.024101,1.119048,72.0,2.0,0.02927,33.803284,10.964375,0.0,-0.0061,3.516995,3.516995,-0.009111
-43.921471,20210722-080612,20210722,080612,-21.745726,0.0,21.0,3.0,4.0,6.0,243.660049,0.558481,72.0,60.156616,4.647656,4.647656,81.395699,1.0,0.0,1.772512,0.0,-99900.0,1.26851,0.508,0.508,4.647656,1.988759,0.906662,24.877438,121.336258,-43.433773,-18.831957,46.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,49.009918,1.043478,72.0,3.0,0.482895,31.07074,12.053505,0.0,-0.006221,6.10086,6.10086,-0.010324
-46.254078,20210722-081217,20210722,081217,-27.77519,0.0,27.0,2.0,5.0,3.0,239.015808,0.643068,72.0,105.909874,5.162473,5.162473,105.895683,1.0,0.0,1.293607,0.0,-99900.0,2.261984,1.27,1.27,5.162473,2.327289,1.881992,24.823214,121.313217,-46.002419,-26.109388,47.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,53.952766,1.042553,72.0,4.0,2.498914,28.012665,13.368674,0.0,-0.006279,8.493815,8.493815,-0.011802
-48.153141,20210722-081823,20210722,081823,-35.027115,0.0,33.0,3.0,6.0,2.0,233.967743,0.747084,72.0,112.017067,7.034234,7.034234,139.312378,1.0,0.0,2.233728,0.0,-99900.0,2.959249,2.032,2.032,7.034234,3.674325,4.384579,24.757996,121.29451,-48.151325,-34.769554,42.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,59.545143,1.142857,72.0,5.0,6.591558,24.664032,14.712847,0.0,-0.00614,10.355831,10.355831,-0.013371
-50.001511,20210722-082429,20210722,082429,-38.125885,0.0,39.0,3.0,7.0,2.0,232.674973,0.782645,72.0,155.864258,7.625735,7.625735,198.321854,1.0,0.0,3.312897,0.0,-99900.0,1.838625,1.524,1.524,7.625735,3.192473,3.712744,24.730127,121.276237,-49.876385,-36.046402,47.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,62.878727,1.042553,72.0,6.0,3.9089,22.463806,15.59241,0.0,-0.005958,10.688153,10.688153,-0.014409
-51.68034,20210722-083034,20210722,083034,-43.593437,0.0,45.0,2.0,8.0,3.0,229.851974,2.459344,72.0,111.567902,7.800744,7.800744,176.79808,1.0,0.0,2.947797,0.0,-99900.0,0.537718,1.27,1.27,7.800744,3.589874,3.829533,24.680958,121.259689,-51.744045,-45.014278,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,67.610985,1.0,72.0,7.0,3.131427,20.459961,15.733391,0.0,-0.0055,6.566674,6.566674,-0.014741
-53.648239,20210722-083640,20210722,083640,-47.5186,0.0,51.0,2.0,9.0,3.0,228.46759,2.5772,72.0,141.843811,6.688915,6.688915,193.441299,1.0,0.0,1.9664,0.0,-99900.0,1.470685,1.524,1.524,6.688915,3.540371,2.5772,24.645658,121.240257,-53.840748,-47.038029,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,50.0,50.0,0.0,0.0,71.666946,1.0,72.0,8.0,4.08489,20.410248,14.959274,0.0,-0.005217,6.005181,6.005181,-0.01402
-55.825676,20210722-084246,20210722,084246,-53.37923,0.0,57.0,3.0,10.0,11.0,226.283661,2.819155,72.0,173.930908,7.169144,7.169144,339.743164,1.0,0.0,0.986203,0.0,-99900.0,0.776966,0.508,0.508,7.169144,3.22046,2.819155,24.592953,121.218796,-55.998215,-53.411205,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,77.238907,1.0,72.0,9.0,0.507209,21.115601,14.316763,0.0,-0.005158,3.524558,3.524558,-0.013355
