3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-12.450309,20210722-072937,20210722,072937,135.706116,0.0,3.0,3.0,1.0,38.0,354.758118,2.407065,12.0,20.961233,4.242871,4.242871,66.764999,1.0,0.0,0.941749,0.0,-99900.0,0.0,0.0,0.0,4.242871,2.895744,2.407065,26.293434,121.647758,-13.169461,136.144379,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,136.276047,1.0,12.0,0.0,0.0,23.198425,-99900.0,0.0,-99900.0,2.874711,2.874711,-99900.0
-13.413847,20210722-073542,20210722,073542,129.302231,0.0,9.0,0.0,2.0,41.0,354.077332,3.14692,12.0,37.897839,5.141861,5.141861,116.034668,1.0,0.0,0.829547,0.0,-99900.0,1.953002,0.0,0.0,5.141861,3.479121,3.14692,26.235844,121.638176,-13.556479,129.564026,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,129.99614,1.0,12.0,1.0,0.0,8.55661,17.742285,0.0,-0.00264,1.6235,1.6235,-0.017545
-20.179083,20210722-074148,20210722,074148,125.713417,0.0,15.0,3.0,3.0,40.0,350.88089,3.074654,12.0,46.363811,4.957112,4.957112,136.570786,1.0,0.0,0.600989,0.0,-99900.0,6.453886,0.0,0.0,4.957112,3.400545,3.881755,26.203568,121.570709,-20.553688,126.38472,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,127.322655,1.0,12.0,2.0,0.0,37.73288,17.282337,0.0,-0.010576,1.723317,1.723317,-0.013668
-23.870163,20210722-074754,20210722,074754,121.815491,0.0,21.0,2.0,4.0,25.0,348.913208,2.106417,12.0,58.258507,4.786542,4.786542,118.162476,1.0,0.0,0.969706,0.0,-99900.0,1.119161,0.0,0.0,4.786542,2.782088,2.106417,26.168512,121.533928,-23.969244,122.7686,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,124.132179,1.0,12.0,3.0,0.060533,42.196472,16.704254,0.0,-0.01122,4.258348,4.258348,-0.012375
-28.508213,20210722-075400,20210722,075400,117.499191,0.0,27.0,2.0,5.0,12.0,346.362183,2.021893,12.0,65.918594,5.90825,5.90825,143.283829,1.0,0.0,1.579304,0.0,-99900.0,0.572697,0.254,0.254,5.90825,2.767849,2.857668,26.129696,121.487709,-29.070158,118.144974,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,120.908134,1.02381,12.0,4.0,0.142527,44.12381,16.717676,0.0,-0.011639,4.872569,4.872569,-0.012001
-32.310776,20210722-080006,20210722,080006,113.329132,0.0,33.0,3.0,6.0,12.0,344.086884,1.972268,12.0,104.192101,5.697679,5.697679,234.2202,1.0,0.0,1.078182,0.0,-99900.0,0.508424,0.254,0.254,5.697679,2.862226,1.972268,26.092194,121.449844,-33.217354,114.9291,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,117.845146,1.0,12.0,5.0,0.09552,44.44458,16.537828,0.0,-0.01158,4.751026,4.751026,-0.011807
-34.798153,20210722-080612,20210722,080612,108.238808,0.0,39.0,3.0,7.0,9.0,342.177734,1.852509,12.0,133.611176,5.441167,5.441167,274.389801,1.0,0.0,0.886306,0.0,-99900.0,1.912381,0.508,0.508,5.441167,2.509256,2.612203,26.046415,121.42511,-35.132427,109.109947,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,113.694992,1.023256,12.0,6.0,0.364231,45.227112,16.269707,0.0,-0.01155,5.236956,5.236956,-0.011459
-37.138691,20210722-081217,20210722,081217,102.438713,0.0,45.0,3.0,8.0,26.0,340.072174,1.738336,12.0,88.722954,5.250077,5.250077,225.654114,1.0,0.0,1.208871,0.0,-99900.0,2.47652,0.0,0.0,5.250077,2.805453,2.472745,25.994253,121.401855,-36.482578,103.478996,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,108.963165,1.0,12.0,7.0,0.026907,36.969452,15.763312,0.0,-0.00948,4.197079,4.197079,-0.012594
-45.237812,20210722-081823,20210722,081823,93.61657,0.0,48.0,0.0,9.0,40.0,334.209106,3.973469,12.0,24.401724,4.974093,4.974093,73.076469,1.0,0.0,0.497214,0.0,-99900.0,6.259288,0.0,0.0,4.974093,4.062237,3.973469,25.914915,121.321281,-45.256378,93.766327,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,103.973663,1.0,12.0,8.0,0.0,35.259888,18.296532,0.0,-0.010562,0.933965,0.933965,-0.01494
-40.549049,20210722-082429,20210722,082429,85.826263,0.0,3.0,3.0,1.0,24.0,334.711426,1.349665,12.0,69.134628,3.381939,3.381939,181.138474,1.0,0.0,0.788741,0.0,-99900.0,8.864193,0.0,0.0,3.381939,2.010478,1.349665,25.844854,121.368118,-38.271385,83.54718,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,94.922981,1.0,12.0,0.0,0.0,24.405884,19.155952,0.0,-0.007915,3.227278,3.227278,-0.017444
