3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
139.479218,20210722-060214,20210722,060214,-127.194305,0.0,3.0,3.0,1.0,4.0,132.362091,3.949971,4.0,137.480988,6.684351,6.684351,215.91098,1.0,0.0,0.844966,0.0,-99900.0,1.419971,1.016,1.016,6.684351,4.227375,3.949971,23.929121,123.150505,139.405869,-126.8965,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,188.766632,1.0,4.0,0.0,1.458843,5.249512,24.610865,0.0,-0.002252,7.570823,7.570823,-0.024508
138.138947,20210722-060820,20210722,060820,-136.474808,0.0,9.0,2.0,2.0,4.0,134.652481,4.135384,4.0,180.640732,6.926833,6.926833,164.799896,1.0,0.0,1.097715,0.0,-99900.0,0.602444,1.524,1.524,6.926833,4.488368,4.135384,23.845659,123.13681,138.312607,-136.092621,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,194.184814,1.0,4.0,1.0,3.883538,6.385529,24.737961,0.0,-0.002751,10.245265,10.245265,-0.024584
136.661514,20210722-061425,20210722,061425,-147.581589,0.0,15.0,3.0,3.0,3.0,137.199799,4.35057,4.0,267.521942,7.362759,7.362759,346.638916,1.0,0.0,1.009688,0.0,-99900.0,2.185287,1.524,1.524,7.362759,4.882503,4.35057,23.745773,123.121674,136.729126,-146.391418,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,201.138504,1.0,4.0,2.0,3.790351,6.881958,25.953598,0.0,-0.00311,9.4631,9.4631,-0.025767
136.064926,20210722-062031,20210722,062031,-159.145477,0.0,21.0,2.0,4.0,1.0,139.470154,4.663646,4.0,310.341888,7.676685,7.676685,370.361481,1.0,0.0,0.883602,0.0,-99900.0,2.200999,1.778,1.778,7.676685,5.023301,4.663646,23.641777,123.115234,136.005325,-158.937317,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,209.382294,1.0,4.0,3.0,5.670947,6.356201,27.104858,0.0,-0.003001,11.389611,11.389611,-0.026938
135.96347,20210722-062637,20210722,062637,-167.968338,0.0,27.0,2.0,5.0,1.0,141.010925,4.902746,4.0,429.695862,8.063787,8.063787,698.108154,1.0,0.0,0.577339,0.0,-99900.0,1.438074,1.524,1.524,8.063787,5.144905,4.902746,23.562431,123.113808,135.912659,-167.589371,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,216.10051,1.0,4.0,4.0,3.45581,5.64093,27.66432,0.0,-0.002719,9.34817,9.34817,-0.02753
136.005463,20210722-063243,20210722,063243,-176.867538,0.0,33.0,2.0,6.0,1.0,142.440536,5.167175,4.0,346.04425,8.430758,8.430758,637.948853,1.0,0.0,0.691102,0.0,-99900.0,1.568747,4.064,4.064,8.430758,5.434035,5.167175,23.482399,123.1138,135.889008,-176.670883,45.0,0.0,45.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,223.113449,1.0,4.0,5.0,2.876171,3.952606,27.74963,-99900.0,-0.001913,8.958693,8.958693,-0.027684
135.282135,20210722-064052,20210722,064052,-181.334595,0.0,41.0,2.0,7.0,1.0,143.275391,5.289079,4.0,112.666786,6.912875,6.912875,189.586578,1.0,0.0,0.591395,0.0,-99900.0,9.072715,2.794,2.794,6.912875,5.499357,5.289079,23.442226,123.106453,135.262665,-181.186569,43.0,0.0,43.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,226.237686,1.0,4.0,6.0,1.249868,2.923431,23.73045,-99900.0,-0.00121,6.801084,6.801084,-0.0237
132.759628,20210722-064658,20210722,064658,-192.12677,0.0,47.0,4.0,8.0,24.0,145.355179,5.56347,4.0,96.373077,7.278699,7.278699,187.013245,1.0,0.0,0.673921,0.0,-99900.0,2.968332,-25374.6,-25374.6,7.278699,5.839156,5.56347,23.345169,123.081078,132.294403,-192.080322,39.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,233.533325,1.0,4.0,7.0,0.0,4.249634,21.522947,-99900.0,-0.001595,6.246233,6.246233,-0.021464
133.623428,20210722-065303,20210722,065303,-201.330734,0.0,53.0,3.0,9.0,20.0,146.427383,5.88981,4.0,161.283005,9.367831,9.367831,252.021698,1.0,0.0,1.225841,0.0,-99900.0,1.99168,-25374.6,-25374.6,9.367831,6.114187,5.88981,23.262396,123.089165,133.539215,-201.207062,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,241.638763,1.0,4.0,8.0,0.0,4.528503,20.645891,-99900.0,-0.00163,8.717463,8.717463,-0.020581
134.928619,20210722-065907,20210722,065907,-210.474152,0.0,59.0,3.0,10.0,22.0,147.336945,6.23256,4.0,106.396713,8.021776,8.021776,194.526306,1.0,0.0,0.679232,0.0,-99900.0,2.516514,-25374.6,-25374.6,8.021776,6.385516,6.23256,23.180168,123.101608,134.892944,-210.403214,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,250.010208,1.0,4.0,9.0,0.0,2.970337,21.421656,-99900.0,-0.00111,6.82735,6.82735,-0.021393
136.395782,20210722-070513,20210722,070513,-222.924728,1.0,6.0,2.0,11.0,31.0,148.539413,6.707451,4.0,560.598328,8.577175,8.577175,1675.510498,1.0,0.0,0.248561,0.0,-99900.0,4.986128,-25374.6,-25374.6,8.577175,6.852535,6.707451,23.068197,123.115479,136.440857,-222.813324,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,261.341248,1.0,4.0,10.0,0.0,359.840637,24.196098,-99900.0,6.7e-05,6.40265,6.40265,-0.024196
137.252701,20210722-071119,20210722,071119,-233.846054,1.0,12.0,2.0,12.0,21.0,149.589447,7.131656,4.0,368.258911,9.077014,9.077014,1177.191406,1.0,0.0,0.311507,0.0,-99900.0,2.226957,-25374.6,-25374.6,9.077014,7.268485,7.131656,22.969978,123.123398,137.301224,-233.73288,41.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,271.149933,1.0,4.0,11.0,0.0,356.532501,28.533634,-99900.0,0.001726,9.932645,9.932645,-0.028481
138.426788,20210722-071725,20210722,071725,-241.838516,1.0,15.0,3.0,13.0,33.0,150.213104,7.455594,4.0,200.176727,9.552009,9.552009,814.356567,1.0,0.0,0.421774,0.0,-99900.0,2.4915,-25374.6,-25374.6,9.552009,7.651582,7.455594,22.898102,123.134583,138.409912,-241.531342,40.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,278.653625,1.0,4.0,12.0,0.0,353.525665,28.216619,-99900.0,0.003182,5.500061,5.500061,-0.028037
141.422699,20210722-072331,20210722,072331,-251.342422,0.0,0.0,0.0,1.0,45.0,150.634521,7.910781,4.0,125.900368,9.932953,9.932953,585.780762,1.0,0.0,0.481636,0.0,-99900.0,1.981898,-25374.6,-25374.6,9.932953,8.058331,7.910781,22.812632,123.163605,141.474701,-251.299042,35.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,288.39798,1.0,4.0,0.0,0.0,351.929077,28.01734,-99900.0,0.003934,3.966471,3.966471,-0.02774
