3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-39.158855,20210722-060214,20210722,060214,7.466674,0.0,3.0,2.0,1.0,8.0,280.795563,0.441295,31.0,31.459785,3.638522,3.638522,51.961388,1.0,0.0,1.329488,0.0,-99900.0,0.530246,0.254,0.254,3.638522,1.738767,1.363111,25.14015,121.383095,-38.067928,9.21452,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,39.864361,1.022222,31.0,0.0,0.095497,28.449005,15.406017,0.0,-0.007339,4.320565,4.320565,-0.013546
-41.426609,20210722-060820,20210722,060820,2.420635,0.0,9.0,3.0,1.0,13.0,273.344299,0.469144,31.0,41.605194,3.812443,3.812443,65.34082,1.0,0.0,1.387565,0.0,-99900.0,0.42757,0.0,0.0,3.812443,1.702117,1.419544,25.09477,121.360649,-40.92675,4.426429,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,41.497269,1.0,31.0,0.0,0.032087,28.389648,15.21594,0.0,-0.007235,4.419055,4.419055,-0.013386
-43.567863,20210722-061425,20210722,061425,-2.824062,0.0,9.0,2.0,1.0,14.0,266.291504,0.499284,31.0,52.006943,4.028841,4.028841,94.890884,1.0,0.0,1.49151,0.0,-99900.0,0.614931,0.0,0.0,4.028841,1.78502,1.107318,25.047604,121.33947,-43.28009,-0.793582,43.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,43.659294,1.069767,31.0,0.0,0.080577,27.664398,15.294112,0.0,-0.007101,4.601423,4.601423,-0.013546
-45.260468,20210722-062031,20210722,062031,-8.266829,0.0,3.0,2.0,1.0,7.0,259.649261,0.52476,31.0,64.868141,4.222981,4.222981,90.513603,1.0,0.0,1.673534,0.0,-99900.0,1.027961,0.254,0.254,4.222981,1.982818,2.625549,24.998657,121.322754,-44.611118,-6.27058,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,46.009243,1.021739,31.0,0.0,0.336168,24.709808,15.424166,0.0,-0.006448,6.241442,6.241442,-0.014012
-47.037224,20210722-062637,20210722,062637,-13.573097,0.0,3.0,2.0,1.0,4.0,253.904175,0.559499,31.0,66.666313,4.544068,4.544068,91.060844,1.0,0.0,1.542574,0.0,-99900.0,0.609625,0.762,0.762,4.544068,2.17591,1.722606,24.950935,121.305214,-46.002918,-11.461058,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,48.956406,1.0,31.0,0.0,1.162677,21.7789,15.652291,0.0,-0.005807,7.016535,7.016535,-0.014535
-48.338104,20210722-063243,20210722,063243,-18.529337,0.0,3.0,2.0,1.0,2.0,249.027039,0.606478,31.0,104.804871,4.856569,4.856569,127.048615,1.0,0.0,2.211178,0.0,-99900.0,0.901231,0.762,0.762,4.856569,1.990054,1.32944,24.906364,121.292389,-47.706139,-16.639429,48.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,51.767834,1.020833,31.0,0.0,0.881205,19.353363,15.18421,0.0,-0.005032,7.851975,7.851975,-0.014326
-50.060558,20210722-064052,20210722,064052,-25.516228,0.0,21.0,3.0,1.0,4.0,242.992004,0.67095,31.0,124.637001,5.427405,5.427405,162.392975,1.0,0.0,1.975011,0.0,-99900.0,0.738401,0.762,0.762,5.427405,2.270967,0.67095,24.843529,121.275421,-49.08625,-24.071762,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,56.188412,1.0,31.0,0.0,1.248188,17.081238,14.970751,0.0,-0.004397,7.895183,7.895183,-0.01431
-51.28754,20210722-064658,20210722,064658,-30.250341,0.0,33.0,2.0,1.0,2.0,239.467377,0.712333,31.0,118.00235,5.308237,5.308237,157.391129,1.0,0.0,2.347376,0.0,-99900.0,0.632263,0.762,0.762,5.308237,2.641106,0.712333,24.800955,121.263344,-50.389164,-27.195478,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,59.54406,1.0,31.0,0.0,1.308326,15.612152,14.585961,0.0,-0.003925,8.220166,8.220166,-0.014048
-54.492359,20210722-065303,20210722,065303,-35.609089,0.0,35.0,4.0,1.0,3.0,236.836899,0.850389,31.0,132.109985,5.670754,5.670754,175.725952,1.0,0.0,1.165498,0.0,-99900.0,1.787068,0.762,0.762,5.670754,2.640156,2.334984,24.752762,121.231659,-55.683445,-34.549496,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,65.095505,1.0,31.0,0.0,1.433116,17.314606,14.586621,0.0,-0.004341,8.424441,8.424441,-0.013926
-56.496819,20210722-065907,20210722,065907,-40.194233,0.0,3.0,2.0,1.0,6.0,234.570633,0.886605,31.0,173.69426,6.745531,6.745531,286.509308,1.0,0.0,1.101781,0.0,-99900.0,0.643451,0.762,0.762,6.745531,2.600071,1.418353,24.711527,121.211876,-55.488354,-38.640411,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.335899,1.021739,31.0,0.0,1.003347,19.377869,14.555739,0.0,-0.00483,7.649651,7.649651,-0.013731
-59.37915,20210722-070513,20210722,070513,-44.524216,0.0,9.0,4.0,1.0,8.0,233.136658,0.992279,31.0,127.28006,4.295595,4.295595,205.771652,1.0,0.0,0.927745,0.0,-99900.0,1.313958,0.508,0.508,4.295595,2.107863,3.473224,24.672586,121.183395,-59.63221,-43.013592,45.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,74.21785,1.044444,31.0,0.0,0.761272,23.248535,14.584476,0.0,-0.005757,5.94516,5.94516,-0.0134
-58.198124,20210722-071119,20210722,071119,-50.744881,0.0,47.0,2.0,1.0,27.0,228.914047,3.625558,31.0,64.337067,4.48362,4.48362,199.688034,1.0,0.0,0.231871,0.0,-99900.0,3.541656,0.0,0.0,4.48362,3.692871,3.625558,24.616644,121.195229,-58.28035,-50.809864,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,77.214409,1.0,31.0,0.0,0.047056,21.096466,14.551045,0.0,-0.005237,1.285472,1.285472,-0.013576
