3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-30.109413,20210722-081217,20210722,081217,24.21014,0.0,3.0,2.0,1.0,35.0,308.80191,0.7039,45.0,7.546488,1.707335,1.707335,24.005857,1.0,0.0,0.497248,0.0,-99900.0,0.0,0.0,0.0,1.707335,0.991873,0.7039,25.290728,121.472786,-29.599535,24.847754,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,38.635574,1.0,45.0,0.0,0.0,25.72998,-99900.0,0.0,-99900.0,0.849008,0.849008,-99900.0
-32.754707,20210722-081823,20210722,081823,19.857719,0.0,9.0,3.0,2.0,30.0,301.226685,0.698751,45.0,10.365175,1.694909,1.694909,28.946102,1.0,0.0,0.450786,0.0,-99900.0,1.706878,0.0,0.0,1.694909,1.001271,0.698751,25.251585,121.446548,-32.427353,20.563314,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,38.304043,1.0,45.0,1.0,0.0,31.290192,13.916,0.0,-0.007228,1.032336,1.032336,-0.011892
-35.247849,20210722-082429,20210722,082429,16.412733,0.0,15.0,3.0,3.0,25.0,294.968628,0.711902,45.0,12.796012,1.307391,1.307391,37.172958,1.0,0.0,0.230248,0.0,-99900.0,0.920112,0.0,0.0,1.307391,0.835683,0.971464,25.220604,121.421822,-35.290562,16.675827,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,38.881725,1.0,45.0,2.0,0.0,33.384583,12.757211,0.0,-0.00702,0.778077,0.778077,-0.010652
-37.868771,20210722-083034,20210722,083034,10.038555,0.0,21.0,3.0,4.0,24.0,284.847107,0.443338,45.0,24.107861,3.487396,3.487396,58.299061,1.0,0.0,1.382236,0.0,-99900.0,2.486812,0.0,0.0,3.487396,1.540822,0.720481,25.16328,121.395874,-37.455139,11.949484,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,39.176731,1.047619,45.0,3.0,0.005103,29.282837,14.407648,0.0,-0.007047,3.184193,3.184193,-0.012567
-40.417328,20210722-083640,20210722,083640,5.395094,0.0,27.0,3.0,5.0,25.0,277.603363,0.459414,45.0,30.652372,3.6369,3.6369,75.751144,1.0,0.0,1.067765,0.0,-99900.0,0.053715,0.0,0.0,3.6369,1.798994,2.327788,25.121521,121.370628,-39.799793,7.343028,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,40.775822,1.0,45.0,4.0,0.0,28.470215,14.759296,0.0,-0.007036,3.413392,3.413392,-0.012974
-43.942055,20210722-084246,20210722,084246,0.240055,0.0,33.0,3.0,6.0,25.0,270.313232,1.143501,45.0,48.261143,3.868559,3.868559,125.659348,1.0,0.0,0.699859,0.0,-99900.0,1.032943,0.0,0.0,3.868559,1.782327,1.143501,25.075161,121.335709,-44.690117,0.449527,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,43.942711,1.0,45.0,5.0,0.064337,29.19519,15.177839,0.0,-0.007404,2.823316,2.823316,-0.01325
-49.93446,20210722-084850,20210722,084850,-1.931242,0.0,39.0,3.0,7.0,22.0,267.78537,0.661448,45.0,50.812084,4.090845,4.090845,134.736557,1.0,0.0,0.589342,0.0,-99900.0,4.231376,0.0,0.0,4.090845,1.55306,0.971163,25.055634,121.276245,-53.898907,4.282619,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,49.97179,1.0,45.0,6.0,0.0,35.237122,15.516118,0.0,-0.008952,3.756577,3.756577,-0.012673
-53.503269,20210722-085455,20210722,085455,-9.299759,0.0,45.0,2.0,8.0,14.0,260.139771,0.665311,45.0,72.59742,3.965517,3.965517,130.680115,1.0,0.0,1.191894,0.0,-99900.0,2.759322,0.254,0.254,3.965517,1.811922,1.448121,24.989367,121.240959,-53.781292,-7.588055,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,54.305481,1.021739,45.0,7.0,0.100765,37.674316,16.764511,0.0,-0.010246,5.341722,5.341722,-0.013269
-57.266544,20210722-090102,20210722,090102,-13.757655,0.0,51.0,3.0,9.0,5.0,256.491577,0.724439,45.0,97.264961,5.517142,5.517142,102.481049,1.0,0.0,2.669948,0.0,-99900.0,0.411863,0.762,0.762,5.517142,2.475714,0.724439,24.949276,121.203697,-56.828804,-11.630614,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,58.895924,1.0,45.0,8.0,1.398791,40.719055,17.047659,0.0,-0.011121,8.565911,8.565911,-0.012921
-59.684006,20210722-090708,20210722,090708,-18.527388,0.0,57.0,2.0,10.0,3.0,252.754623,0.786164,45.0,129.673477,7.436148,7.436148,154.614868,1.0,0.0,2.258164,0.0,-99900.0,1.653346,1.524,1.524,7.436148,2.897991,3.633527,24.906382,121.17981,-59.506817,-16.488821,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,62.493557,1.021277,45.0,9.0,3.309225,39.612854,17.146244,0.0,-0.010932,10.341972,10.341972,-0.013209
