3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-49.41721,20210722-094342,20210722,094342,-3.636651,0.0,3.0,3.0,1.0,22.0,265.791382,1.280001,2.0,29.993965,4.519595,4.519595,110.203064,1.0,0.0,1.18381,0.0,-99900.0,0.0,0.0,0.0,4.519595,2.230179,1.729106,25.040297,121.28141,-49.367218,-2.553859,39.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,49.550842,1.051282,2.0,0.0,0.0,26.724121,-99900.0,0.0,-99900.0,2.095956,2.095956,-99900.0
-52.765392,20210722-094948,20210722,094948,-7.107626,0.0,9.0,3.0,2.0,20.0,262.328522,0.681804,2.0,31.681622,3.746206,3.746206,111.360031,1.0,0.0,1.539704,0.0,-99900.0,2.235775,0.0,0.0,3.746206,1.524471,2.306633,25.009081,121.248238,-55.121754,-5.078559,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,53.241947,1.0,2.0,1.0,0.0,43.968384,13.176557,0.0,-0.009148,2.387021,2.387021,-0.009483
-58.617798,20210722-095553,20210722,095553,-12.960896,0.0,15.0,3.0,3.0,19.0,257.532257,1.612503,2.0,18.569668,3.305899,3.305899,65.796234,1.0,0.0,0.665628,0.0,-99900.0,3.469563,0.0,0.0,3.305899,2.126763,2.151583,24.956442,121.190277,-59.353127,-12.142467,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.033581,1.025,2.0,2.0,0.0,44.61731,17.917496,0.0,-0.012585,1.681364,1.681364,-0.012754
-63.502285,20210722-100159,20210722,100159,-14.81546,0.0,21.0,2.0,4.0,20.0,256.867706,0.879,2.0,28.019608,2.90155,2.90155,128.691162,1.0,0.0,0.804032,0.0,-99900.0,2.82712,0.0,0.0,2.90155,1.790481,1.806095,24.939764,121.141846,-66.163498,-11.651249,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,65.207657,1.0,2.0,3.0,0.0,50.691345,17.005606,0.0,-0.013158,2.127531,2.127531,-0.010773
-68.402359,20210722-100805,20210722,100805,-18.848549,0.0,27.0,3.0,5.0,18.0,254.594482,0.94064,2.0,33.417953,4.185246,4.185246,145.464859,1.0,0.0,1.128487,0.0,-99900.0,0.123403,0.0,0.0,4.185246,2.226365,0.94064,24.903494,121.093315,-68.539352,-17.22402,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,70.951744,1.0,2.0,4.0,0.0,51.94458,16.914423,0.0,-0.013319,2.555734,2.555734,-0.010426
-71.494247,20210722-101411,20210722,101411,-23.08642,0.0,33.0,3.0,6.0,19.0,252.104309,1.0125,2.0,38.316063,4.450974,4.450974,140.936188,1.0,0.0,1.027695,0.0,-99900.0,1.831963,0.0,0.0,4.450974,2.169687,1.0125,24.865381,121.062752,-71.309174,-22.012821,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,75.129288,1.0,2.0,5.0,0.0,50.366882,16.448944,0.0,-0.012668,3.049261,3.049261,-0.010492
-74.085289,20210722-102016,20210722,102016,-28.183111,0.0,39.0,3.0,7.0,5.0,249.172729,1.095351,2.0,44.606239,4.702125,4.702125,131.430725,1.0,0.0,1.500509,0.0,-99900.0,2.395333,0.254,0.254,4.702125,2.448119,3.742088,24.819546,121.037178,-74.44458,-26.621002,40.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,79.264854,1.075,2.0,6.0,0.227099,47.044342,16.025658,0.0,-0.011729,4.009613,4.009613,-0.01092
-76.557571,20210722-102622,20210722,102622,-33.425625,0.0,45.0,2.0,8.0,13.0,246.413818,1.175748,2.0,46.314175,5.002144,5.002144,142.868622,1.0,0.0,1.446242,0.0,-99900.0,2.205859,0.0,0.0,5.002144,2.485059,3.9587,24.7724,121.012802,-76.958405,-31.714277,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,83.536423,1.0,2.0,7.0,0.081006,40.338684,15.029448,0.0,-0.009729,3.660948,3.660948,-0.011456
-79.10891,20210722-103228,20210722,103228,-39.906162,0.0,51.0,0.0,9.0,21.0,243.231796,2.518703,2.0,59.595654,5.330942,5.330942,195.730667,1.0,0.0,0.836591,0.0,-99900.0,2.500446,0.0,0.0,5.330942,3.043391,4.211513,24.714119,120.987686,-79.194923,-39.690426,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,88.604301,1.0,2.0,8.0,0.0,31.089935,15.898329,0.0,-0.00821,1.919106,1.919106,-0.013615
-81.106911,20210722-103834,20210722,103834,-45.05125,0.0,57.0,3.0,10.0,11.0,240.950073,1.343484,2.0,51.40601,4.467997,4.467997,159.71698,1.0,0.0,0.822905,0.0,-99900.0,1.019692,0.0,0.0,4.467997,2.767158,2.007547,24.667849,120.968033,-80.388702,-43.903309,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,92.779022,1.0,2.0,9.0,0.0,25.444519,16.151712,0.0,-0.006939,3.709856,3.709856,-0.014585
