3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
0.417403,20210722-074148,20210722,074148,-17.481546,0.0,3.0,3.0,1.0,41.0,178.631805,0.747318,51.0,6.248296,1.269394,1.269394,30.432873,1.0,0.0,0.199152,0.0,-99900.0,0.0,0.0,0.0,1.269394,0.854111,0.972727,24.915785,121.776146,0.468813,-17.371904,39.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,17.486528,1.025641,51.0,0.0,0.0,25.815613,-99900.0,0.0,-99900.0,0.419435,0.419435,-99900.0
-1.221046,20210722-074754,20210722,074754,-22.152058,0.0,9.0,3.0,2.0,37.0,183.155426,0.528457,51.0,6.592821,1.239804,1.239804,30.061888,1.0,0.0,0.2613,0.0,-99900.0,1.535742,0.0,0.0,1.239804,0.776032,0.74671,24.873781,121.759888,-1.095274,-21.892117,39.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,22.185684,1.025641,51.0,1.0,0.0,19.331238,13.52343,0.0,-0.004477,0.574259,0.574259,-0.012761
-2.014959,20210722-075400,20210722,075400,-27.397385,0.0,15.0,3.0,3.0,27.0,184.206696,0.268332,51.0,6.379576,1.31716,1.31716,27.709431,1.0,0.0,0.460434,0.0,-99900.0,1.021592,0.0,0.0,1.31716,0.655951,0.268332,24.826609,121.752014,-2.093928,-25.716036,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,27.47138,1.0,51.0,2.0,0.0,13.782532,13.947825,0.0,-0.003323,0.769849,0.769849,-0.013546
-3.251577,20210722-080006,20210722,080006,-34.667545,0.0,21.0,3.0,4.0,26.0,185.358688,0.353464,51.0,11.846412,2.642114,2.642114,43.907585,1.0,0.0,0.979851,0.0,-99900.0,2.312335,0.0,0.0,2.642114,1.315179,1.182404,24.761227,121.739754,-2.590178,-32.500618,40.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,34.819698,1.05,51.0,3.0,0.0,11.736206,15.851399,0.0,-0.003224,1.797825,1.797825,-0.01552
-4.830628,20210722-080612,20210722,080612,-40.72488,0.0,27.0,3.0,5.0,25.0,186.764999,0.433617,51.0,21.105923,3.121264,3.121264,51.068836,1.0,0.0,1.334587,0.0,-99900.0,0.548919,0.0,0.0,3.121264,1.661175,1.39606,24.706753,121.724106,-3.969884,-38.405087,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,41.010376,1.02381,51.0,4.0,0.015629,11.986328,16.480106,0.0,-0.003423,2.754299,2.754299,-0.016121
-6.094081,20210722-081217,20210722,081217,-46.365768,0.0,33.0,3.0,6.0,19.0,187.488144,0.514545,51.0,27.898403,3.580576,3.580576,65.06144,1.0,0.0,1.529832,0.0,-99900.0,0.243617,0.0,0.0,3.580576,1.876144,0.845082,24.656023,121.711594,-5.423171,-44.013542,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,46.764542,1.0,51.0,5.0,0.013633,12.141632,16.568127,0.0,-0.003485,3.061632,3.061632,-0.016198
-7.942047,20210722-081823,20210722,081823,-54.239914,0.0,39.0,2.0,7.0,19.0,188.330704,0.666184,51.0,75.088257,4.057107,4.057107,134.109818,1.0,0.0,0.980693,0.0,-99900.0,2.028342,0.0,0.0,4.057107,1.614056,1.452034,24.585209,121.693298,-7.941087,-53.786228,43.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,54.818287,1.046512,51.0,6.0,0.023364,11.984009,17.839375,0.0,-0.003704,4.269569,4.269569,-0.017451
-8.489582,20210722-082429,20210722,082429,-59.606415,0.0,45.0,3.0,8.0,9.0,188.106369,0.744642,51.0,89.386322,4.617439,4.617439,146.786301,1.0,0.0,1.615849,0.0,-99900.0,1.301689,0.254,0.254,4.617439,1.817726,2.810374,24.536947,121.687889,-8.105247,-58.686741,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.207954,1.022727,51.0,7.0,0.278866,11.950439,17.998451,0.0,-0.003727,5.136848,5.136848,-0.017608
-8.808978,20210722-083034,20210722,083034,-63.893627,0.0,51.0,3.0,9.0,18.0,187.85025,0.780703,51.0,59.494148,5.131668,5.131668,103.735329,1.0,0.0,1.255144,0.0,-99900.0,2.379584,0.254,0.254,5.131668,1.806832,0.780703,24.498392,121.684738,-8.025748,-60.895721,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,64.498016,1.0,51.0,8.0,0.093053,10.912537,16.764284,0.0,-0.003174,4.262998,4.262998,-0.016461
-11.060508,20210722-083640,20210722,083640,-74.796371,0.0,57.0,3.0,10.0,29.0,188.412048,2.741611,51.0,41.01033,4.465071,4.465071,119.4412,1.0,0.0,0.567694,0.0,-99900.0,4.998261,0.0,0.0,4.465071,2.941565,2.741611,24.400341,121.662476,-11.129026,-74.684822,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,75.609734,1.0,51.0,9.0,0.005586,9.898987,18.110773,0.0,-0.003113,1.54257,1.54257,-0.017841
-12.135266,20210722-084246,20210722,084246,-82.069336,1.0,0.0,0.0,11.0,47.0,188.41156,3.054337,51.0,19.760065,3.898655,3.898655,69.087326,1.0,0.0,0.358573,0.0,-99900.0,0.74592,0.0,0.0,3.898655,3.142696,3.054337,24.334934,121.651871,-12.117723,-82.121033,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,82.961685,1.0,51.0,10.0,0.0,9.265198,19.351038,0.0,-0.003116,0.775353,0.775353,-0.019099
