3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
201.666504,20210722-060820,20210722,060820,27.571781,0.0,0.0,0.0,8.0,32.0,82.214615,4.465238,36.0,81.805656,5.864167,5.864167,343.269104,1.0,0.0,0.328819,0.0,-99900.0,0.0,0.0,0.0,5.864167,4.6056,4.465238,25.320965,123.776344,201.698807,27.731915,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,203.542587,1.0,36.0,7.0,0.0,22.918762,-99900.0,0.0,-99900.0,2.804544,2.804544,-99900.0
195.18129,20210722-061425,20210722,061425,22.324041,0.0,3.0,2.0,1.0,11.0,83.474899,4.224348,36.0,82.811356,5.542656,5.542656,224.979874,1.0,0.0,0.380123,0.0,-99900.0,4.083635,0.254,0.254,5.542656,4.421253,4.224348,25.273771,123.711517,195.372101,22.396292,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,196.453812,1.0,36.0,0.0,0.121586,51.020721,22.856071,0.0,-0.017768,4.416898,4.416898,-0.014377
191.481949,20210722-062031,20210722,062031,13.689274,0.0,9.0,2.0,2.0,13.0,85.910614,4.094747,36.0,29.660652,5.347996,5.347996,180.75737,1.0,0.0,0.405424,0.0,-99900.0,4.385789,0.254,0.254,5.347996,4.569768,5.347996,25.196117,123.674149,192.354782,13.650927,33.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,191.970657,1.242424,36.0,1.0,0.228258,36.25824,23.554249,0.0,-0.013931,2.268816,2.268816,-0.018993
183.807678,20210722-062637,20210722,062637,9.166511,0.0,15.0,3.0,3.0,7.0,87.144814,3.807554,36.0,136.681274,5.049791,5.049791,282.151306,1.0,0.0,0.297566,0.0,-99900.0,3.540179,0.762,0.762,5.049791,3.973157,3.807554,25.155441,123.59761,183.948776,9.285731,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,184.036102,1.0,36.0,2.0,1.194326,41.892456,23.455276,0.0,-0.015662,6.263822,6.263822,-0.01746
177.911407,20210722-063243,20210722,063243,2.101946,0.0,21.0,3.0,4.0,9.0,89.322891,3.625163,36.0,87.516365,6.033201,6.033201,193.190918,1.0,0.0,0.627473,0.0,-99900.0,0.693833,0.508,0.508,6.033201,4.120556,4.799992,25.091909,123.538589,178.511993,2.376055,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,177.923828,1.0,36.0,3.0,0.45591,42.572449,23.794277,0.0,-0.016097,5.215068,5.215068,-0.017523
170.982254,20210722-064052,20210722,064052,-7.383529,0.0,29.0,3.0,5.0,8.0,92.47245,3.411707,36.0,110.730377,5.661799,5.661799,210.446091,1.0,0.0,0.767523,0.0,-99900.0,1.314894,0.508,0.508,5.661799,3.82842,3.411707,25.006603,123.469193,171.576996,-7.471096,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,171.141602,1.0,36.0,4.0,0.556538,41.522827,23.911324,0.0,-0.015851,6.212161,6.212161,-0.017902
164.215042,20210722-064658,20210722,064658,-13.215674,0.0,35.0,3.0,6.0,7.0,94.600906,3.210534,36.0,85.658623,5.438601,5.438601,177.993851,1.0,0.0,0.774931,0.0,-99900.0,1.204563,0.508,0.508,5.438601,3.646161,3.210534,24.954155,123.401672,164.660187,-12.846004,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,164.745972,1.0,36.0,5.0,0.429419,41.83017,24.140545,0.0,-0.0161,5.993513,5.993513,-0.017988
158.277039,20210722-065303,20210722,065303,-21.006466,0.0,41.0,2.0,7.0,11.0,97.559868,3.046674,36.0,83.19722,5.274716,5.274716,164.215637,1.0,0.0,0.836497,0.0,-99900.0,1.226817,0.254,0.254,5.274716,3.50106,3.046674,24.88409,123.3423,158.342377,-20.476337,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,159.664932,1.0,36.0,6.0,0.294433,42.741943,24.501015,0.0,-0.016629,5.077529,5.077529,-0.017994
154.974747,20210722-065907,20210722,065907,-29.047228,0.0,47.0,2.0,8.0,20.0,100.615654,2.991874,36.0,103.596031,5.164604,5.164604,251.74527,1.0,0.0,0.562981,0.0,-99900.0,3.128679,0.0,0.0,5.164604,3.344552,2.991874,24.811777,123.30909,155.168396,-28.652332,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,157.673447,1.0,36.0,7.0,0.043894,38.289612,24.599394,0.0,-0.015243,4.276003,4.276003,-0.019308
151.65271,20210722-070513,20210722,070513,-37.632572,0.0,50.0,0.0,9.0,35.0,103.93618,2.948896,36.0,46.223034,4.023067,4.023067,140.405365,1.0,0.0,0.332731,0.0,-99900.0,2.720207,0.0,0.0,4.023067,3.089351,2.948896,24.734568,123.275665,151.75206,-37.491138,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,156.252213,1.0,36.0,8.0,0.0,34.443115,24.51755,0.0,-0.013867,2.522044,2.522044,-0.020219
