3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
190.494293,20210722-072937,20210722,072937,42.988556,0.0,0.0,0.0,1.0,52.0,77.28299,4.18191,27.0,27.215057,5.514106,5.514106,156.595901,1.0,0.0,0.483062,0.0,-99900.0,0.0,0.0,0.0,5.514106,4.394815,4.18191,25.45961,123.666389,190.5923,43.119568,35.0,0.0,35.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,195.284637,1.0,27.0,0.0,0.0,23.198425,-99900.0,0.0,-99900.0,1.949611,1.949611,-99900.0
184.830032,20210722-073542,20210722,073542,36.533405,0.0,27.0,3.0,1.0,18.0,78.818886,3.948261,27.0,74.157059,5.249479,5.249479,200.467072,1.0,0.0,0.383523,0.0,-99900.0,2.8498,0.254,0.254,5.249479,4.142951,3.948261,25.401558,123.609619,184.841019,36.757114,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,188.406036,1.0,27.0,0.0,0.092079,41.266266,23.5285,0.0,-0.015518,4.254597,4.254597,-0.017685
179.835678,20210722-074148,20210722,074148,29.092947,0.0,27.0,3.0,1.0,9.0,80.810387,3.750541,27.0,111.660332,6.174913,6.174913,193.047577,1.0,0.0,0.803426,0.0,-99900.0,1.1858,0.762,0.762,6.174913,4.041404,3.750541,25.334644,123.559471,180.068054,29.254883,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,182.173737,1.0,27.0,0.0,0.847363,37.488281,23.957338,0.0,-0.01458,6.401386,6.401386,-0.01901
174.975525,20210722-074754,20210722,074754,20.821386,0.0,39.0,2.0,1.0,12.0,83.213745,3.560148,27.0,120.422386,4.735837,4.735837,198.162231,1.0,0.0,0.357843,0.0,-99900.0,1.397696,0.508,0.508,4.735837,3.777066,3.560148,25.260256,123.510635,175.217484,21.073862,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,176.209991,1.0,27.0,0.0,0.383864,34.881775,24.64847,0.0,-0.014096,5.507065,5.507065,-0.02022
169.314453,20210722-075400,20210722,075400,12.503526,0.0,27.0,3.0,1.0,6.0,85.776291,3.360761,27.0,91.005173,5.595197,5.595197,165.613724,1.0,0.0,0.727076,0.0,-99900.0,1.045678,0.508,0.508,5.595197,3.657459,3.360761,25.185452,123.453873,169.596512,12.956555,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,169.775513,1.0,27.0,0.0,0.528352,34.250702,25.361506,0.0,-0.014274,6.136642,6.136642,-0.020963
164.517822,20210722-080006,20210722,080006,4.290739,0.0,27.0,2.0,1.0,14.0,88.505821,3.201405,27.0,56.871368,5.444852,5.444852,129.136627,1.0,0.0,0.957093,0.0,-99900.0,0.688945,0.254,0.254,5.444852,3.643878,3.201405,25.111593,123.405731,164.788696,4.763992,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,164.573761,1.0,27.0,0.0,0.16319,33.503937,25.648066,0.0,-0.014158,4.57407,4.57407,-0.021387
159.10318,20210722-080612,20210722,080612,-2.664912,0.0,9.0,3.0,1.0,31.0,90.959373,3.059438,27.0,74.564659,4.992618,4.992618,222.164383,1.0,0.0,0.483127,0.0,-99900.0,0.902429,0.0,0.0,4.992618,3.248528,3.059438,25.04904,123.351555,160.063583,-3.121817,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,159.125504,1.0,27.0,0.0,0.016721,32.891205,25.911173,0.0,-0.014071,3.904773,3.904773,-0.021758
152.286484,20210722-081217,20210722,081217,-8.585854,0.0,33.0,3.0,1.0,31.0,93.226677,2.857543,27.0,84.080254,4.852877,4.852877,294.830597,1.0,0.0,0.40867,0.0,-99900.0,2.628304,0.0,0.0,4.852877,3.106864,2.857543,24.99579,123.283554,152.88884,-8.809668,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,152.52832,1.0,27.0,0.0,0.010372,35.450806,25.603395,0.0,-0.01485,3.949453,3.949453,-0.020857
145.252563,20210722-081823,20210722,081823,-14.294563,0.0,51.0,3.0,1.0,12.0,95.620262,2.659109,27.0,103.821999,5.999685,5.999685,335.641296,1.0,0.0,0.7954,0.0,-99900.0,2.502285,0.254,0.254,5.999685,3.078976,3.637126,24.94445,123.213432,145.437119,-13.790428,41.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,145.954239,1.02439,27.0,0.0,0.129731,39.842285,25.007334,0.0,-0.016022,4.368895,4.368895,-0.019201
140.244064,20210722-082429,20210722,082429,-20.845375,1.0,10.0,3.0,1.0,27.0,98.454109,2.539524,27.0,136.870285,4.536277,4.536277,411.012146,1.0,0.0,0.360833,0.0,-99900.0,0.979277,0.0,0.0,4.536277,2.889046,2.539524,24.885538,123.163399,140.27124,-20.241098,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,141.78479,1.0,27.0,0.0,0.0,42.58844,24.237171,0.0,-0.016402,3.607421,3.607421,-0.017844
