3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-53.129101,20210722-084246,20210722,084246,29.404968,0.0,3.0,3.0,1.0,26.0,298.963043,0.768825,61.0,9.852201,1.194221,1.194221,16.295811,1.0,0.0,0.231461,0.0,-99900.0,0.0,0.0,0.0,1.194221,0.862115,0.768825,25.337446,121.243919,-53.075825,29.470718,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.723583,1.0,61.0,0.0,0.0,22.34613,-99900.0,0.0,-99900.0,1.333424,1.333424,-99900.0
-55.921799,20210722-084850,20210722,084850,24.85574,0.0,9.0,3.0,2.0,19.0,293.96402,1.204913,61.0,22.614302,2.784161,2.784161,39.612888,1.0,0.0,0.85787,0.0,-99900.0,1.338254,0.0,0.0,2.784161,1.573587,2.166182,25.296534,121.216255,-55.685432,25.459612,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,61.196857,1.0,61.0,1.0,0.0,31.545074,14.664755,0.0,-0.007672,2.771472,2.771472,-0.012498
-60.387474,20210722-085455,20210722,085455,19.270737,0.0,15.0,3.0,3.0,16.0,287.699005,0.81726,61.0,52.601597,3.559237,3.559237,84.480186,1.0,0.0,0.829464,0.0,-99900.0,1.954628,0.0,0.0,3.559237,1.38568,1.261955,25.246307,121.172005,-60.477108,19.664497,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,63.38776,1.0,61.0,2.0,0.0,35.612701,17.10043,0.0,-0.009958,3.921741,3.921741,-0.013902
-63.13612,20210722-090102,20210722,090102,14.892744,0.0,21.0,3.0,4.0,14.0,283.272675,0.842986,61.0,51.081169,3.661499,3.661499,70.322464,1.0,0.0,1.075591,0.0,-99900.0,1.159657,0.0,0.0,3.661499,1.495694,0.842986,25.206936,121.144791,-63.20874,15.580106,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,64.86882,1.0,61.0,3.0,0.0,35.071289,16.429489,0.0,-0.00944,4.689331,4.689331,-0.013447
-65.69632,20210722-090708,20210722,090708,10.328382,0.0,27.0,3.0,5.0,16.0,278.934753,0.870497,61.0,102.651321,4.868614,4.868614,168.973389,1.0,0.0,1.198836,0.0,-99900.0,0.96355,0.0,0.0,4.868614,1.911928,1.338577,25.165888,121.119469,-65.630394,11.858517,48.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,66.503242,1.020833,61.0,4.0,0.063185,33.912079,15.857949,0.0,-0.008847,6.577894,6.577894,-0.01316
-69.094368,20210722-091314,20210722,091314,4.707522,0.0,33.0,2.0,6.0,17.0,273.897827,0.90748,61.0,140.688766,4.939888,4.939888,175.262482,1.0,0.0,0.817455,0.0,-99900.0,0.819881,0.254,0.254,4.939888,2.032842,1.411444,25.115337,121.085861,-68.299622,8.321105,50.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.254547,1.0,61.0,5.0,0.237897,33.130249,15.993144,0.0,-0.008741,8.066575,8.066575,-0.013393
-72.673889,20210722-091919,20210722,091919,-0.029707,0.0,39.0,3.0,7.0,12.0,269.976776,0.976817,61.0,209.121475,5.251144,5.251144,199.033173,1.0,0.0,1.272161,0.0,-99900.0,0.41744,0.508,0.508,5.251144,2.088489,0.976817,25.072735,121.050438,-72.627953,2.684417,52.0,0.0,52.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,72.673897,1.0,61.0,6.0,0.573579,33.069458,16.088224,0.0,-0.008779,9.843863,9.843863,-0.013482
-75.267075,20210722-092525,20210722,092525,-7.213706,0.0,45.0,2.0,8.0,5.0,264.525635,1.04337,61.0,122.720673,5.621593,5.621593,141.720657,1.0,0.0,2.491044,0.0,-99900.0,2.333374,1.016,1.016,5.621593,2.908194,2.759714,25.008129,121.024887,-76.142174,-4.853452,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,75.611969,1.0,61.0,7.0,1.710819,30.202637,16.515747,0.0,-0.008308,8.609038,8.609038,-0.014274
-77.481094,20210722-093131,20210722,093131,-9.806785,0.0,51.0,2.0,9.0,5.0,262.786652,1.087986,61.0,282.609833,5.708653,5.708653,389.770752,1.0,0.0,0.910969,0.0,-99900.0,2.757985,0.762,0.762,5.708653,2.264244,1.627011,24.984808,121.002983,-78.204514,-8.570114,46.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,78.099251,1.065217,61.0,8.0,1.131516,29.903687,16.298491,0.0,-0.008126,8.181993,8.181993,-0.014129
-79.865807,20210722-093736,20210722,093736,-16.224894,0.0,57.0,2.0,10.0,6.0,258.516754,1.118342,61.0,169.259354,4.791519,4.791519,236.252289,1.0,0.0,0.731956,0.0,-99900.0,1.388612,0.508,0.508,4.791519,2.822208,3.011159,24.92709,120.9795,-78.782219,-15.369534,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,81.4972,1.0,61.0,9.0,0.68287,28.251526,16.277704,0.0,-0.007705,6.780668,6.780668,-0.014339
