3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-73.822609,20210722-094342,20210722,094342,-7.070079,0.0,3.0,3.0,1.0,12.0,264.529633,1.004459,1.0,59.219883,5.553372,5.553372,98.296669,1.0,0.0,1.669708,0.0,-99900.0,0.0,0.0,0.0,5.553372,2.094961,1.004459,25.00942,121.039223,-73.980652,-5.595821,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,74.160393,1.0,1.0,0.0,0.037779,26.724121,-99900.0,0.0,-99900.0,5.223517,5.223517,-99900.0
-74.076965,20210722-094948,20210722,094948,-12.00213,0.0,9.0,3.0,2.0,10.0,260.796997,0.993221,1.0,173.104752,4.664064,4.664064,257.034332,1.0,0.0,0.715794,0.0,-99900.0,2.687523,0.254,0.254,4.664064,1.670134,1.539313,24.965065,121.036827,-72.748383,-11.019475,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,75.042976,1.0,1.0,1.0,0.173725,2.95224,13.493358,0.0,-0.000695,6.086363,6.086363,-0.013475
-79.021729,20210722-095553,20210722,095553,-18.04191,0.0,15.0,3.0,3.0,6.0,257.13916,1.124991,1.0,126.3097,4.884988,4.884988,169.825562,1.0,0.0,1.776873,0.0,-99900.0,4.823236,0.508,0.508,4.884988,2.660892,1.124991,24.910748,120.98793,-78.871735,-16.67135,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,81.055191,1.0,1.0,2.0,0.759571,25.346313,16.607252,0.0,-0.007109,7.07074,7.07074,-0.015009
-81.960266,20210722-100159,20210722,100159,-23.623199,0.0,21.0,2.0,4.0,3.0,253.921814,1.208681,1.0,168.824677,6.426217,6.426217,188.120132,1.0,0.0,1.620923,0.0,-99900.0,0.347863,1.016,1.016,6.426217,2.544723,1.208681,24.860556,120.958939,-82.133797,-21.552193,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,85.296783,1.0,1.0,3.0,1.74489,27.79007,17.220966,0.0,-0.008029,8.733459,8.733459,-0.015235
-84.196045,20210722-100805,20210722,100805,-29.691305,0.0,27.0,3.0,5.0,2.0,250.575317,1.285563,1.0,169.920029,6.775019,6.775019,204.295258,1.0,0.0,2.248359,0.0,-99900.0,0.85804,1.016,1.016,6.775019,2.95868,3.324819,24.805983,120.936943,-84.375153,-27.553785,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,89.277924,1.0,1.0,4.0,2.067529,26.723145,17.408606,0.0,-0.007828,8.794853,8.794853,-0.015549
-85.195747,20210722-101411,20210722,101411,-35.203918,0.0,33.0,2.0,6.0,1.0,247.549255,1.343661,1.0,171.316925,7.100847,7.100847,198.644592,1.0,0.0,1.516567,0.0,-99900.0,1.873966,1.016,1.016,7.100847,2.764744,3.468566,24.756407,120.9272,-85.167847,-33.732143,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,92.182594,1.021277,1.0,5.0,2.196899,24.338013,17.087854,0.0,-0.007042,9.627665,9.627665,-0.015569
-91.345299,20210722-102016,20210722,102016,-39.2216,0.0,39.0,2.0,7.0,1.0,246.762665,1.430503,1.0,209.425217,5.082164,5.082164,215.432388,1.0,0.0,1.108886,0.0,-99900.0,3.947504,1.27,1.27,5.082164,2.506245,3.93571,24.720276,120.866348,-87.579781,-38.736507,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,99.409744,1.0,1.0,6.0,3.183195,28.942139,17.288389,0.0,-0.008366,8.306262,8.306262,-0.015129
-96.415764,20210722-102622,20210722,102622,-44.393063,0.0,45.0,3.0,8.0,2.0,245.277344,1.623424,1.0,143.904037,6.675422,6.675422,149.989212,1.0,0.0,2.460246,0.0,-99900.0,2.041438,1.27,1.27,6.675422,2.624142,4.170444,24.673767,120.816261,-95.380333,-43.046127,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,106.14492,1.0,1.0,7.0,2.610456,32.244873,16.999859,0.0,-0.00907,9.297106,9.297106,-0.014378
-98.545135,20210722-103228,20210722,103228,-49.613838,0.0,51.0,3.0,9.0,5.0,243.276703,1.729932,1.0,220.733902,8.819354,8.819354,364.501007,1.0,0.0,1.405754,0.0,-99900.0,1.191004,0.508,0.508,8.819354,2.661104,1.729932,24.626816,120.795334,-98.038261,-48.446949,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,110.329857,1.0,1.0,8.0,0.660998,35.222534,17.029022,0.0,-0.009822,7.823694,7.823694,-0.013911
-103.195671,20210722-103834,20210722,103834,-55.61039,0.0,57.0,3.0,10.0,5.0,241.680801,1.904283,1.0,136.89946,5.83864,5.83864,246.633636,1.0,0.0,1.182082,0.0,-99900.0,1.390632,0.254,0.254,5.83864,2.63928,2.737994,24.572887,120.749466,-103.050728,-54.996368,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,117.225693,1.0,1.0,9.0,0.238995,38.207825,17.694799,0.0,-0.010945,5.595177,5.595177,-0.013904
