3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
115.961517,20210722-090102,20210722,090102,-146.645874,0.0,3.0,3.0,1.0,6.0,141.664169,3.896673,8.0,84.346222,5.209903,5.209903,149.376831,1.0,0.0,0.525994,0.0,-99900.0,0.0,0.508,0.508,5.209903,4.234099,3.896673,23.754189,122.917282,116.137688,-146.437103,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,186.954773,1.0,8.0,0.0,0.782233,19.563843,-99900.0,0.0,-99900.0,5.613092,5.613092,-99900.0
115.810005,20210722-090708,20210722,090708,-157.881546,0.0,6.0,0.0,2.0,38.0,143.738693,5.557996,8.0,52.777931,6.996196,6.996196,174.842026,1.0,0.0,0.521309,0.0,-99900.0,5.788567,0.0,0.0,6.996196,5.655208,5.557996,23.653143,122.915329,115.702995,-157.834518,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,195.802292,1.0,8.0,1.0,0.0,0.772583,30.701412,0.0,-0.000414,1.165007,1.165007,-0.030699
113.479652,20210722-091314,20210722,091314,-167.21698,0.0,3.0,3.0,1.0,12.0,145.837387,4.407268,8.0,153.265915,5.860169,5.860169,265.998474,1.0,0.0,0.413617,0.0,-99900.0,2.891084,0.508,0.508,5.860169,4.612749,4.407268,23.569187,122.891953,113.452522,-167.059494,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,202.086975,1.0,8.0,0.0,0.666547,6.879364,28.306454,0.0,-0.003391,5.980455,5.980455,-0.028103
113.708092,20210722-091919,20210722,091919,-175.733414,0.0,9.0,2.0,2.0,5.0,147.094818,4.662706,8.0,196.600906,6.172119,6.172119,298.391327,1.0,0.0,0.40421,0.0,-99900.0,2.276034,1.27,1.27,6.172119,4.864528,4.662706,23.492598,122.893867,113.740028,-175.529938,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,209.312592,1.0,8.0,1.0,2.546487,5.377014,26.532276,0.0,-0.002486,8.184896,8.184896,-0.026416
113.574532,20210722-092525,20210722,092525,-184.917648,0.0,15.0,3.0,3.0,2.0,148.441833,4.940735,8.0,182.595932,8.135468,8.135468,176.308136,1.0,0.0,1.301836,0.0,-99900.0,0.914846,1.778,1.778,8.135468,5.191479,4.940735,23.410002,122.892189,113.509499,-184.718155,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,50.0,50.0,0.0,0.0,217.010849,1.0,8.0,2.0,5.36036,4.166595,25.881104,0.0,-0.00188,11.180134,11.180134,-0.025813
114.553719,20210722-093131,20210722,093131,-193.729767,0.0,21.0,2.0,4.0,1.0,149.403534,5.236194,8.0,179.598145,8.588782,8.588782,287.312073,1.0,0.0,1.134102,0.0,-99900.0,1.784365,3.556,3.556,8.588782,5.568413,5.236194,23.330753,122.901497,114.348885,-193.444916,44.0,0.0,44.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,225.063934,1.0,8.0,3.0,1.977114,2.381287,25.414255,-99900.0,-0.001056,8.294054,8.294054,-0.025392
114.34967,20210722-093736,20210722,093736,-203.427475,0.0,27.0,3.0,5.0,23.0,150.658646,5.560817,8.0,314.770355,9.010637,9.010637,975.971985,1.0,0.0,0.594414,0.0,-99900.0,0.466244,-25374.6,-25374.6,9.010637,5.815897,5.560817,23.24354,122.899101,114.146873,-203.311096,42.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,233.363632,1.0,8.0,4.0,0.0,0.762817,24.730782,-99900.0,-0.000329,5.893812,5.893812,-0.024729
114.434738,20210722-094342,20210722,094342,-211.727798,0.0,33.0,3.0,6.0,16.0,151.609283,5.849942,8.0,278.688599,7.592117,7.592117,983.468628,1.0,0.0,0.301703,0.0,-99900.0,0.777987,-25374.6,-25374.6,7.592117,6.084974,5.849942,23.168892,122.899605,114.27433,-211.607773,44.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,240.673996,1.0,8.0,5.0,0.0,358.600891,24.579346,-99900.0,0.0006,6.443521,6.443521,-0.024572
115.927216,20210722-094948,20210722,094948,-214.187057,0.0,36.0,2.0,7.0,30.0,151.575485,5.968205,8.0,63.490547,7.715575,7.715575,219.203308,1.0,0.0,0.613333,0.0,-99900.0,6.656919,-25374.6,-25374.6,7.715575,6.152501,5.968205,23.146776,122.914215,115.89698,-214.081894,39.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,243.54715,1.0,8.0,6.0,0.0,357.26828,22.085102,-99900.0,0.001053,3.99571,3.99571,-0.02206
114.877434,20210722-095553,20210722,095553,-226.988724,0.0,0.0,0.0,2.0,28.0,153.155975,6.421462,8.0,172.603409,8.110733,8.110733,674.173706,1.0,0.0,0.32557,0.0,-99900.0,4.961511,-25374.6,-25374.6,8.110733,6.502575,6.421462,23.031649,122.903366,114.817078,-227.116409,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,254.402634,1.0,8.0,1.0,0.0,357.806885,21.897404,-99900.0,0.000838,4.78898,4.78898,-0.021881
