3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-64.776634,20210722-062637,20210722,062637,79.911629,0.0,0.0,0.0,1.0,31.0,320.971741,1.583961,55.0,10.550428,3.020156,3.020156,51.502975,1.0,0.0,0.601849,0.0,-99900.0,0.0,0.0,0.0,3.020156,1.877866,1.583961,25.791664,121.126945,-64.505692,80.126663,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,102.868271,1.0,55.0,0.0,0.0,22.196442,-99900.0,0.0,-99900.0,1.62714,1.62714,-99900.0
-67.396614,20210722-063243,20210722,063243,75.014221,0.0,57.0,3.0,1.0,27.0,318.061951,1.540699,55.0,12.314514,2.949437,2.949437,34.878708,1.0,0.0,0.768403,0.0,-99900.0,1.061399,0.0,0.0,2.949437,1.854902,1.540699,25.74762,121.100975,-67.114738,75.333534,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,100.843628,1.0,55.0,0.0,0.0,28.145569,15.175382,0.0,-0.007158,1.888773,1.888773,-0.013381
-70.390274,20210722-064052,20210722,064052,69.173355,0.0,57.0,3.0,1.0,27.0,314.500519,1.494558,55.0,25.154089,2.865727,2.865727,65.839912,1.0,0.0,0.513988,0.0,-99900.0,0.866162,0.0,0.0,2.865727,1.722004,1.494558,25.695091,121.07132,-70.240234,69.432274,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,98.69014,1.0,55.0,0.0,0.0,27.575256,14.131152,0.0,-0.006541,2.01747,2.01747,-0.012526
-73.229301,20210722-064658,20210722,064658,63.157467,0.0,17.0,0.0,1.0,20.0,310.776611,1.467009,55.0,27.450863,4.599293,4.599293,73.32032,1.0,0.0,1.737479,0.0,-99900.0,1.498937,0.0,0.0,4.599293,2.456203,1.467009,25.640989,121.043228,-72.371925,65.305855,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,96.702621,1.0,55.0,0.0,0.050556,26.816345,15.099936,0.0,-0.006812,3.601075,3.601075,-0.013476
-75.781197,20210722-065303,20210722,065303,59.85788,0.0,4.0,4.0,1.0,28.0,308.304535,1.462783,55.0,15.404198,2.764462,2.764462,40.088982,1.0,0.0,0.722041,0.0,-99900.0,1.620491,0.0,0.0,2.764462,1.800028,1.462783,25.611317,121.017921,-75.211945,61.702354,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,96.569954,1.0,55.0,0.0,0.0,28.139587,14.635027,0.0,-0.006902,2.067917,2.067917,-0.012905
-77.934669,20210722-065907,20210722,065907,52.374615,0.0,29.0,3.0,1.0,23.0,303.902496,1.393267,55.0,20.807203,2.712821,2.712821,38.965309,1.0,0.0,0.692269,0.0,-99900.0,2.808805,0.0,0.0,2.712821,1.729161,2.032506,25.544018,120.996704,-77.905373,52.5886,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,93.898422,1.0,55.0,0.0,0.0,26.403351,15.301268,0.0,-0.006804,2.482102,2.482102,-0.013705
-80.362503,20210722-070513,20210722,070513,46.807457,0.0,22.0,2.0,1.0,22.0,300.218964,1.365012,55.0,34.433376,3.477373,3.477373,91.477127,1.0,0.0,0.850634,0.0,-99900.0,0.554619,0.0,0.0,3.477373,1.903574,1.365012,25.493952,120.972717,-80.06778,46.592094,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,93.000381,1.0,55.0,0.0,0.0,24.862671,15.97261,0.0,-0.006716,2.564921,2.564921,-0.014492
-84.086365,20210722-071119,20210722,071119,41.804493,0.0,0.0,0.0,1.0,39.0,296.434937,1.378301,55.0,14.240043,2.690087,2.690087,68.331413,1.0,0.0,0.68872,0.0,-99900.0,1.30129,0.0,0.0,2.690087,1.835806,1.378301,25.448959,120.935837,-83.795609,40.973606,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,93.904907,1.0,55.0,0.0,0.0,25.452576,16.75218,0.0,-0.007199,1.505222,1.505222,-0.015126
-86.510544,20210722-071725,20210722,071725,36.674335,0.0,0.0,0.0,1.0,46.0,292.973663,1.392274,55.0,8.366109,2.049837,2.049837,62.389671,1.0,0.0,0.227408,0.0,-99900.0,0.457516,0.0,0.0,2.049837,1.580672,2.049837,25.402822,120.911896,-86.386368,36.922737,34.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,93.963188,1.058824,55.0,0.0,0.0,26.010559,16.716829,0.0,-0.007331,0.776426,0.776426,-0.015024
-82.070656,20210722-072331,20210722,072331,25.163504,0.0,21.0,2.0,1.0,19.0,287.046112,1.222887,55.0,22.986244,2.430035,2.430035,28.618458,1.0,0.0,0.661182,0.0,-99900.0,9.321142,0.0,0.0,2.430035,1.545051,1.222887,25.299303,120.956383,-81.764595,25.444973,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,85.841682,1.0,55.0,0.0,0.0,15.105408,18.25383,0.0,-0.004757,3.388533,3.388533,-0.017623
