3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
107.696922,20210722-091919,20210722,091919,-117.820442,0.0,3.0,2.0,1.0,6.0,137.569977,4.147344,39.0,197.98941,6.791254,6.791254,287.767426,1.0,0.0,0.937044,0.0,-99900.0,0.0,1.27,1.27,6.791254,4.616364,4.147344,24.01342,122.836754,107.442993,-117.583969,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,159.625443,1.0,39.0,0.0,2.385194,23.013611,-99900.0,0.0,-99900.0,3.560877,3.560877,-99900.0
106.382332,20210722-092525,20210722,092525,-125.987366,0.0,9.0,3.0,2.0,3.0,139.822296,3.177796,39.0,253.628357,7.027945,7.027945,277.03537,1.0,0.0,0.785726,0.0,-99900.0,2.897744,1.524,1.524,7.027945,3.901017,4.392537,23.939974,122.823448,106.439217,-124.86145,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,164.893951,1.0,39.0,1.0,3.341604,9.144196,22.601061,0.0,-0.003592,9.274062,9.274062,-0.022314
106.370628,20210722-093131,20210722,093131,-136.152542,0.0,15.0,3.0,3.0,4.0,142.000565,3.401159,39.0,245.640427,7.541015,7.541015,394.662079,1.0,0.0,1.499493,0.0,-99900.0,2.385524,1.524,1.524,7.541015,4.342834,3.401159,23.848557,122.822952,106.558884,-134.249237,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,172.777969,1.0,39.0,2.0,3.253203,4.138062,25.109354,0.0,-0.001812,10.152261,10.152261,-0.025044
103.997742,20210722-093736,20210722,093736,-146.280533,0.0,21.0,3.0,4.0,4.0,144.588837,3.639374,39.0,557.366089,7.989694,7.989694,911.345276,1.0,0.0,0.600496,0.0,-99900.0,1.975729,1.016,1.016,7.989694,3.912811,3.639374,23.757473,122.799141,103.68502,-145.879379,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,179.481262,1.0,39.0,3.0,1.775141,6.630798,26.302063,0.0,-0.003037,8.868067,8.868067,-0.026126
106.014259,20210722-094342,20210722,094342,-159.573013,0.0,27.0,3.0,5.0,4.0,146.401108,4.038314,39.0,151.048904,8.508492,8.508492,202.094131,1.0,0.0,1.939689,0.0,-99900.0,4.868295,1.27,1.27,8.508492,4.708051,4.038314,23.637932,122.818558,105.744522,-159.249771,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,191.579147,1.0,39.0,4.0,2.923064,3.170013,28.426695,0.0,-0.001572,9.72576,9.72576,-0.028383
106.741333,20210722-094948,20210722,094948,-168.532776,0.0,33.0,2.0,6.0,3.0,147.651276,4.309585,39.0,142.711121,7.214447,7.214447,153.96904,1.0,0.0,1.234901,0.0,-99900.0,1.933092,1.27,1.27,7.214447,4.711735,4.309585,23.557354,122.825401,106.638763,-168.168915,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,199.491867,1.0,39.0,5.0,3.060921,1.296906,28.477322,0.0,-0.000645,9.509461,9.509461,-0.02847
106.00602,20210722-095553,20210722,095553,-179.640884,0.0,39.0,3.0,7.0,1.0,149.454819,4.645954,39.0,831.67865,7.482598,7.482598,1420.521973,1.0,0.0,0.362371,0.0,-99900.0,0.873786,1.778,1.778,7.482598,4.865219,4.645954,23.457457,122.817734,106.073318,-179.723755,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,208.586014,1.0,39.0,6.0,4.504286,359.810455,29.593163,0.0,9.8e-05,10.861137,10.861137,-0.029593
108.887001,20210722-100159,20210722,100159,-194.560593,0.0,45.0,3.0,8.0,1.0,150.765823,5.162042,39.0,237.168243,8.391434,8.391434,340.522949,1.0,0.0,0.916675,0.0,-99900.0,4.981172,6.35,6.35,8.391434,5.427732,5.162042,23.32328,122.845589,108.856697,-194.339523,47.0,0.0,47.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,222.957855,1.0,39.0,7.0,6.457224,357.239166,31.378443,-99900.0,0.001511,11.870546,11.870546,-0.031342
107.07151,20210722-100805,20210722,100805,-201.57196,0.0,51.0,2.0,9.0,1.0,152.023178,5.372941,39.0,189.710495,6.927566,6.927566,331.369995,1.0,0.0,0.398316,0.0,-99900.0,5.049796,2.794,2.794,6.927566,5.47698,5.372941,23.260225,122.827431,107.207664,-201.565552,43.0,0.0,43.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,228.244522,1.0,39.0,8.0,1.280118,356.60968,30.717533,-99900.0,0.001817,6.892462,6.892462,-0.030664
107.505783,20210722-101411,20210722,101411,-209.465469,0.0,57.0,3.0,10.0,10.0,152.830994,5.645241,39.0,224.747635,9.023418,9.023418,451.10849,1.0,0.0,0.819462,0.0,-99900.0,3.337413,-25374.6,-25374.6,9.023418,5.871099,5.645241,23.189238,122.831421,107.730499,-209.213425,41.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,235.442719,1.0,39.0,9.0,0.0,358.214844,28.407089,-99900.0,0.000885,7.827515,7.827515,-0.028393
