3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
159.681458,20210722-070513,20210722,070513,-72.959511,0.0,3.0,3.0,1.0,11.0,114.555702,3.529421,48.0,40.188034,6.004654,6.004654,85.112144,1.0,0.0,1.253383,0.0,-99900.0,0.0,0.508,0.508,6.004654,3.928249,4.756942,24.416866,123.353249,159.782104,-72.610062,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,175.559845,1.0,48.0,0.0,0.444017,23.766418,-99900.0,0.0,-99900.0,5.114784,5.114784,-99900.0
156.77861,20210722-071119,20210722,071119,-83.441978,0.0,9.0,3.0,2.0,11.0,118.022881,3.591678,48.0,81.134338,6.105268,6.105268,181.538376,1.0,0.0,0.800445,0.0,-99900.0,4.648458,0.254,0.254,6.105268,3.921395,3.591678,24.322596,123.323914,156.803284,-83.127892,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,177.600952,1.0,48.0,1.0,0.261869,15.478699,29.718582,0.0,-0.007931,5.526277,5.526277,-0.028641
154.572617,20210722-071725,20210722,071725,-92.846214,0.0,15.0,2.0,3.0,7.0,120.99144,3.677547,48.0,95.725014,6.249712,6.249712,206.062836,1.0,0.0,0.775733,0.0,-99900.0,1.283837,0.508,0.508,6.249712,4.004123,3.677547,24.23802,123.301559,154.585815,-92.535088,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,180.313934,1.0,48.0,2.0,0.625264,14.407562,28.049778,0.0,-0.006979,6.435918,6.435918,-0.027168
152.488419,20210722-072331,20210722,072331,-102.605545,0.0,21.0,3.0,4.0,8.0,123.93531,3.791685,48.0,146.317673,6.384238,6.384238,270.672211,1.0,0.0,0.740897,0.0,-99900.0,0.504941,0.762,0.762,6.384238,4.120324,3.791685,24.150253,123.280403,152.507553,-102.39962,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,183.795044,1.0,48.0,3.0,0.930156,13.596466,27.644215,0.0,-0.006499,6.663376,6.663376,-0.026869
150.648865,20210722-072937,20210722,072937,-112.229836,0.0,27.0,3.0,5.0,9.0,126.684944,3.917667,48.0,170.034302,6.646672,6.646672,326.706238,1.0,0.0,0.741521,0.0,-99900.0,0.578403,0.508,0.508,6.646672,4.294545,3.917667,24.0637,123.261696,150.548386,-111.826149,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,187.857971,1.0,48.0,4.0,0.57683,12.887817,27.385021,0.0,-0.006108,6.018434,6.018434,-0.026695
149.394577,20210722-073542,20210722,073542,-123.271484,0.0,33.0,2.0,6.0,2.0,129.5271,4.115899,48.0,113.748535,6.867724,6.867724,167.627686,1.0,0.0,1.327048,0.0,-99900.0,1.623417,1.27,1.27,6.867724,4.702544,4.115899,23.964399,123.248711,149.328217,-123.002731,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,193.686859,1.0,48.0,5.0,2.577383,11.685791,27.726557,0.0,-0.005616,9.027658,9.027658,-0.027152
148.201492,20210722-074148,20210722,074148,-131.682587,0.0,39.0,2.0,7.0,3.0,131.621979,4.264849,48.0,195.96904,7.141153,7.141153,261.334534,1.0,0.0,1.036922,0.0,-99900.0,1.753216,1.524,1.524,7.141153,4.776285,4.264849,23.888758,123.236473,148.059845,-131.208832,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,198.252319,1.0,48.0,6.0,4.199454,9.990295,27.133837,0.0,-0.004707,9.833748,9.833748,-0.026722
146.910706,20210722-074754,20210722,074754,-140.050018,0.0,45.0,3.0,8.0,3.0,133.630112,4.422557,48.0,287.728333,7.388241,7.388241,413.332581,1.0,0.0,0.932409,0.0,-99900.0,1.477544,1.524,1.524,7.388241,4.986323,4.422557,23.813507,123.223289,147.104538,-138.987335,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,202.969864,1.0,48.0,7.0,3.341708,8.912933,26.433403,0.0,-0.004095,9.461535,9.461535,-0.026114
145.848801,20210722-075400,20210722,075400,-151.90596,0.0,51.0,3.0,9.0,2.0,136.16507,4.724461,48.0,236.118301,7.708966,7.708966,364.770813,1.0,0.0,1.125805,0.0,-99900.0,2.339323,1.524,1.524,7.708966,5.322922,4.724461,23.706884,123.212189,145.590927,-152.551529,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,210.587967,1.0,48.0,8.0,3.903877,7.675964,26.670116,0.0,-0.003562,9.929914,9.929914,-0.026431
145.635696,20210722-080006,20210722,080006,-160.147049,0.0,57.0,3.0,10.0,2.0,137.71669,4.922472,48.0,407.859467,8.092932,8.092932,521.225342,1.0,0.0,0.647317,0.0,-99900.0,1.800642,1.524,1.524,8.092932,5.11005,4.922472,23.632771,123.209663,145.49852,-160.064178,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,216.464401,1.0,48.0,9.0,3.439857,6.322845,26.231731,0.0,-0.002889,9.37041,9.37041,-0.026072
