3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-30.812605,20210722-060214,20210722,060214,-1.80205,0.0,3.0,3.0,1.0,11.0,266.653137,0.760961,17.0,7.982463,1.035333,1.035333,15.3266,1.0,0.0,0.112904,0.0,-99900.0,0.0,0.0,0.0,1.035333,0.846709,1.035333,25.056795,121.466087,-30.796244,-1.328122,44.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,30.865255,1.068182,17.0,0.0,0.0,17.291687,-99900.0,0.0,-99900.0,0.768984,0.768984,-99900.0
-33.211601,20210722-060820,20210722,060820,-6.28609,0.0,9.0,2.0,2.0,14.0,259.28241,0.353467,17.0,30.677877,3.904665,3.904665,59.917446,1.0,0.0,1.430689,0.0,-99900.0,0.742335,0.0,0.0,3.904665,1.664202,0.595701,25.016468,121.442329,-32.343506,-4.112263,42.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,33.801262,1.071429,17.0,1.0,0.017039,28.147125,13.8947,0.0,-0.006555,3.076727,3.076727,-0.012252
-35.395962,20210722-061425,20210722,061425,-11.483206,0.0,15.0,3.0,3.0,9.0,252.026093,0.399316,17.0,45.570721,4.276392,4.276392,82.775414,1.0,0.0,1.860104,0.0,-99900.0,0.754577,0.508,0.508,4.276392,2.159688,1.646282,24.96973,121.420708,-33.423069,-13.594973,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,37.21207,1.022727,17.0,2.0,0.408896,25.33551,14.652599,0.0,-0.00627,5.239407,5.239407,-0.013243
-37.344711,20210722-062031,20210722,062031,-15.761638,0.0,21.0,2.0,4.0,4.0,247.117691,0.453728,17.0,65.988396,4.649008,4.649008,109.747299,1.0,0.0,1.347409,0.0,-99900.0,0.665664,1.016,1.016,4.649008,2.316336,1.017352,24.931253,121.401428,-37.556828,-13.950033,45.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,40.534634,1.044444,17.0,3.0,1.561992,24.829041,14.18751,0.0,-0.005958,6.525406,6.525406,-0.012876
-38.767029,20210722-062637,20210722,062637,-21.017662,0.0,27.0,3.0,5.0,6.0,241.535812,0.511434,17.0,60.127956,4.975655,4.975655,91.337479,1.0,0.0,2.110979,0.0,-99900.0,0.932751,0.762,0.762,4.975655,2.728495,4.054735,24.883986,121.38739,-40.122478,-18.378223,42.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,44.0979,1.095238,17.0,4.0,1.32951,22.701752,14.20009,0.0,-0.00548,6.61213,6.61213,-0.0131
-40.302116,20210722-063243,20210722,063243,-26.659718,0.0,33.0,3.0,6.0,7.0,236.515778,0.579151,17.0,65.505127,4.456249,4.456249,134.816208,1.0,0.0,1.805527,0.0,-99900.0,0.969417,0.508,0.508,4.456249,2.608618,0.913344,24.833244,121.372238,-40.574081,-26.974699,43.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,48.32185,1.069767,17.0,5.0,0.638531,20.925751,14.447878,0.0,-0.00516,5.477897,5.477897,-0.013495
-40.334194,20210722-064052,20210722,064052,-32.494595,0.0,41.0,2.0,7.0,18.0,231.144211,0.625044,17.0,59.975857,3.88173,3.88173,122.344284,1.0,0.0,1.251441,0.0,-99900.0,2.605812,0.0,0.0,3.88173,1.678659,1.304907,24.780771,121.372009,-41.579182,-30.781963,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,51.795231,1.0,17.0,6.0,0.064445,15.684998,14.061218,0.0,-0.003801,4.021786,4.021786,-0.013538
-44.809231,20210722-064658,20210722,064658,-37.686321,0.0,47.0,2.0,8.0,17.0,229.93515,0.746711,17.0,21.798819,2.429711,2.429711,56.727203,1.0,0.0,0.732971,0.0,-99900.0,3.092804,0.0,0.0,2.429711,1.307829,0.746711,24.734081,121.327713,-45.768993,-37.815037,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,58.550201,1.0,17.0,7.0,0.0,17.025818,14.155804,0.0,-0.004145,2.175534,2.175534,-0.013535
-42.040504,20210722-065303,20210722,065303,-37.963257,0.0,53.0,3.0,9.0,26.0,227.917755,1.97838,17.0,15.73288,3.301529,3.301529,44.256523,1.0,0.0,0.708378,0.0,-99900.0,6.330891,0.0,0.0,3.301529,2.34949,2.593498,24.73159,121.355171,-41.996315,-37.666084,40.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,56.644619,1.05,17.0,8.0,0.0,13.975067,12.377844,0.0,-0.002989,1.450554,1.450554,-0.012011
-44.174461,20210722-065907,20210722,065907,-41.657467,0.0,59.0,3.0,10.0,26.0,226.680008,0.732777,17.0,15.543943,3.611632,3.611632,61.795982,1.0,0.0,1.315535,0.0,-99900.0,1.24639,0.0,0.0,3.611632,2.119689,2.183479,24.698368,121.334068,-44.786831,-37.664124,36.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.71843,1.138889,17.0,9.0,0.0,14.407898,10.729636,0.0,-0.00267,1.849627,1.849627,-0.010392
