3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
95.182335,20210722-095553,20210722,095553,-65.919426,0.0,3.0,2.0,1.0,21.0,124.704605,1.871228,20.0,17.271524,3.540123,3.540123,41.749321,1.0,0.0,0.932941,0.0,-99900.0,0.0,0.0,0.0,3.540123,2.286207,1.871228,24.480177,122.714783,95.242065,-65.19445,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,115.780167,1.0,20.0,0.0,0.0,24.025635,-99900.0,0.0,-99900.0,2.393862,2.393862,-99900.0
92.974396,20210722-100159,20210722,100159,-74.642326,0.0,9.0,3.0,2.0,9.0,128.758118,1.953201,20.0,37.705074,4.734213,4.734213,67.336281,1.0,0.0,1.396336,0.0,-99900.0,2.236358,0.0,0.0,4.734213,2.523094,1.953201,24.40173,122.692627,93.138565,-73.819778,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,119.229675,1.0,20.0,1.0,0.0,14.204346,24.584747,0.0,-0.006033,4.033588,4.033588,-0.023833
91.241531,20210722-100805,20210722,100805,-83.151443,0.0,15.0,3.0,3.0,7.0,132.343643,2.049407,20.0,42.401382,4.967933,4.967933,71.200722,1.0,0.0,1.580213,0.0,-99900.0,0.520973,0.254,0.254,4.967933,2.849823,2.049407,24.325205,122.675194,91.61187,-81.756889,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,123.447075,1.0,20.0,2.0,0.113683,12.8815,24.148806,0.0,-0.005384,4.990619,4.990619,-0.023541
89.228439,20210722-101411,20210722,101411,-91.683174,0.0,21.0,3.0,4.0,5.0,135.777069,2.156432,20.0,55.422318,5.185209,5.185209,87.913017,1.0,0.0,1.361334,0.0,-99900.0,0.094489,0.508,0.508,5.185209,2.990036,2.156432,24.248478,122.654991,89.107292,-90.605591,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,127.935608,1.0,20.0,3.0,0.368564,12.864227,24.046259,0.0,-0.005354,5.51919,5.51919,-0.023443
87.78302,20210722-102016,20210722,102016,-98.130516,0.0,27.0,3.0,5.0,6.0,138.185333,2.250545,20.0,77.416016,5.472318,5.472318,150.316452,1.0,0.0,1.139069,0.0,-99900.0,2.169717,0.254,0.254,5.472318,2.78827,2.250545,24.190495,122.640488,87.748116,-96.970375,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,131.664185,1.0,20.0,4.0,0.206188,12.824524,22.840246,0.0,-0.00507,5.098571,5.098571,-0.02227
86.825912,20210722-102622,20210722,102622,-104.037468,0.0,33.0,3.0,6.0,4.0,140.152512,2.344302,20.0,62.716988,4.362119,4.362119,93.961754,1.0,0.0,0.876943,0.0,-99900.0,2.417206,0.508,0.508,4.362119,3.011046,3.333289,24.137373,122.630836,86.803795,-102.601456,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,135.508438,1.0,20.0,5.0,0.578088,12.419708,21.563263,0.0,-0.004638,5.761516,5.761516,-0.021059
85.687218,20210722-103228,20210722,103228,-111.918327,0.0,39.0,3.0,7.0,3.0,142.561172,2.505754,20.0,111.998177,5.841272,5.841272,154.264496,1.0,0.0,1.08986,0.0,-99900.0,0.584967,0.762,0.762,5.841272,3.006032,2.505754,24.0665,122.619331,85.650757,-111.342316,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,140.953934,1.0,20.0,6.0,0.848112,11.316498,20.354156,0.0,-0.003994,7.13767,7.13767,-0.019958
84.242363,20210722-103834,20210722,103834,-118.744675,0.0,45.0,3.0,8.0,12.0,144.646194,2.632449,20.0,73.707687,4.742774,4.742774,158.155792,1.0,0.0,0.603087,0.0,-99900.0,0.47874,0.0,0.0,4.742774,3.015053,3.698278,24.005108,122.604843,84.243286,-118.169624,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,145.592148,1.0,20.0,7.0,0.059196,10.78186,19.44812,0.0,-0.003638,3.671538,3.671538,-0.019105
83.309509,20210722-104440,20210722,104440,-126.477196,0.0,51.0,2.0,9.0,16.0,146.62709,2.801491,20.0,85.308586,5.022056,5.022056,251.92868,1.0,0.0,0.541226,0.0,-99900.0,0.840724,0.0,0.0,5.022056,3.067156,2.801491,23.935568,122.59539,83.348595,-126.120468,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,151.449509,1.0,20.0,8.0,0.010903,9.631226,19.303434,0.0,-0.00323,3.505481,3.505481,-0.019031
81.736755,20210722-105045,20210722,105045,-134.451569,0.0,57.0,2.0,10.0,16.0,148.703094,2.962386,20.0,40.374249,4.140813,4.140813,159.701187,1.0,0.0,0.399015,0.0,-99900.0,1.100832,0.0,0.0,4.140813,3.250893,2.962386,23.863852,122.57962,81.591064,-133.875473,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,157.347137,1.0,20.0,9.0,0.0,9.375061,20.242865,0.0,-0.003297,2.898359,2.898359,-0.019972
80.538597,20210722-105651,20210722,105651,-149.427826,1.0,4.0,3.0,11.0,2.0,151.675873,3.33685,20.0,82.561348,5.834383,5.834383,123.052063,1.0,0.0,1.05072,0.0,-99900.0,7.666326,0.762,0.762,5.834383,3.753831,3.33685,23.729168,122.56736,80.428017,-148.99054,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,169.750229,1.0,20.0,10.0,0.811396,8.322723,23.863165,0.0,-0.003454,6.19524,6.19524,-0.023612
79.552666,20210722-110257,20210722,110257,-157.462692,1.0,10.0,2.0,12.0,1.0,153.195999,3.545672,20.0,188.430298,6.180671,6.180671,203.832367,1.0,0.0,0.803045,0.0,-99900.0,0.667818,1.27,1.27,6.180671,3.827862,3.545672,23.656908,122.557396,79.400681,-157.096405,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,176.41748,1.0,20.0,11.0,2.305583,7.535645,25.826223,0.0,-0.003387,8.969422,8.969422,-0.025603
79.432808,20210722-110903,20210722,110903,-167.730911,1.0,16.0,2.0,13.0,2.0,154.658676,3.854584,20.0,505.643494,6.474597,6.474597,609.806885,1.0,0.0,0.449035,0.0,-99900.0,1.435024,1.524,1.524,6.474597,4.044762,3.854584,23.564564,122.555931,79.331818,-167.813889,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,185.588882,1.0,20.0,12.0,4.264894,5.907806,27.710697,0.0,-0.002852,11.197515,11.197515,-0.027564
79.01989,20210722-111508,20210722,111508,-178.455231,1.0,22.0,2.0,14.0,2.0,156.115891,4.208165,20.0,187.679428,6.925656,6.925656,302.799408,1.0,0.0,1.164045,0.0,-99900.0,0.91377,1.27,1.27,6.925656,4.993384,4.208165,23.468119,122.551559,78.35495,-179.851334,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,195.167664,1.0,20.0,13.0,3.125891,4.562164,28.823067,0.0,-0.002293,9.461893,9.461893,-0.028732
78.883873,20210722-112114,20210722,112114,-184.241821,1.0,28.0,3.0,15.0,1.0,156.821259,4.347268,20.0,555.152527,7.117767,7.117767,607.745056,1.0,0.0,0.49653,0.0,-99900.0,4.781209,1.778,1.778,7.117767,4.545518,4.347268,23.416079,122.550056,78.884003,-184.023117,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,50.0,50.0,0.0,0.0,200.418839,1.0,20.0,14.0,4.58687,3.130859,27.091335,0.0,-0.00148,10.620975,10.620975,-0.027051
79.179466,20210722-112719,20210722,112719,-191.970474,1.0,34.0,3.0,16.0,1.0,157.585617,4.578441,20.0,279.072266,7.631495,7.631495,323.5177,1.0,0.0,1.076432,0.0,-99900.0,2.301966,2.032,2.032,7.631495,5.118939,4.578441,23.346573,122.552757,79.095581,-191.075333,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,70.0,70.0,0.0,0.0,207.658493,1.0,20.0,15.0,6.325631,1.737885,23.750896,0.0,-0.00072,11.459716,11.459716,-0.02374
79.403641,20210722-113325,20210722,113325,-199.348648,1.0,40.0,3.0,17.0,1.0,158.281479,4.847884,20.0,253.935318,7.998124,7.998124,273.581146,1.0,0.0,1.090912,0.0,-99900.0,1.398489,2.032,2.032,7.998124,5.169171,4.847884,23.28022,122.554764,79.340675,-199.045792,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,214.580566,1.0,20.0,16.0,5.816227,0.326538,22.50569,0.0,-0.000128,11.408777,11.408777,-0.022505
79.549698,20210722-113930,20210722,113930,-205.787598,1.0,46.0,3.0,18.0,1.0,158.865005,5.077178,20.0,272.624573,8.379331,8.379331,401.916077,1.0,0.0,0.86078,0.0,-99900.0,1.785942,4.064,4.064,8.379331,5.297206,5.077178,23.222313,122.55603,79.621498,-205.607178,45.0,0.0,45.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,220.627945,1.0,20.0,17.0,2.702875,359.553497,20.381269,-99900.0,0.000159,8.932899,8.932899,-0.020381
79.038101,20210722-114537,20210722,114537,-212.813324,1.0,52.0,2.0,19.0,1.0,159.624802,5.316513,20.0,271.824341,6.980443,6.980443,334.071899,1.0,0.0,0.446926,0.0,-99900.0,0.728606,4.572,4.572,6.980443,5.49351,5.316513,23.159128,122.550797,79.039558,-212.610947,45.0,0.0,45.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,50.0,50.0,0.0,0.0,227.016586,1.0,20.0,18.0,3.369811,359.457092,19.049593,-99900.0,0.00018,9.042807,9.042807,-0.019049
79.471703,20210722-115142,20210722,115142,-219.533661,1.0,58.0,3.0,20.0,11.0,160.099243,5.567566,20.0,255.209457,7.268606,7.268606,674.437256,1.0,0.0,0.326026,0.0,-99900.0,0.435032,-25374.6,-25374.6,7.268606,5.719202,5.567566,23.098692,122.554886,79.513947,-219.370026,44.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,233.475433,1.0,20.0,19.0,0.0,359.379364,19.176493,-99900.0,0.000208,7.024993,7.024993,-0.019175
79.292061,20210722-115748,20210722,115748,-225.417694,2.0,4.0,3.0,21.0,14.0,160.619995,5.780947,20.0,163.66481,7.529055,7.529055,310.379364,1.0,0.0,0.536365,0.0,-99900.0,1.162615,-25374.6,-25374.6,7.529055,5.97991,5.780947,23.045774,122.552956,79.334068,-225.193222,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,238.956833,1.0,20.0,20.0,0.0,359.938049,18.340851,-99900.0,2e-05,7.635253,7.635253,-0.018341
