3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-4.79831,20210722-071119,20210722,071119,-1.993426,0.0,3.0,3.0,1.0,14.0,247.440155,0.037029,78.0,21.722992,1.983165,-1.983165,34.587646,-1.0,0.0,0.878179,0.0,-99900.0,0.0,0.0,-0.0,1.983165,0.951985,0.727108,25.055073,121.724365,-3.876797,1.386446,43.0,0.0,47.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,1.0,-1.0,0.0,-0.0,5.195914,1.093023,78.0,0.0,0.0,23.329834,-99900.0,0.0,-99900.0,2.449901,-2.449901,-99900.0
-7.038401,20210722-071725,20210722,071725,-7.702157,0.0,9.0,3.0,2.0,9.0,222.422073,0.063463,78.0,45.678158,3.925987,3.925987,63.018917,1.0,0.0,1.551227,0.0,-99900.0,0.691539,0.508,0.508,3.925987,1.840104,1.176289,25.003733,121.702141,-4.23689,-5.467244,43.0,0.0,47.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,10.43371,1.093023,78.0,1.0,0.351292,21.424896,16.755434,0.0,-0.00612,4.871278,4.871278,-0.015598
-8.861743,20210722-072331,20210722,072331,-13.292793,0.0,15.0,3.0,3.0,4.0,213.690048,0.082298,78.0,64.669685,5.08291,5.08291,91.956444,1.0,0.0,2.028386,0.0,-99900.0,0.433149,1.016,1.016,5.08291,2.300445,0.724473,24.953455,121.684059,-6.255041,-6.259078,45.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,15.975883,1.088889,78.0,2.0,1.651028,19.779388,16.404089,0.0,-0.005551,6.927507,6.927507,-0.015436
-9.879231,20210722-072937,20210722,072937,-17.983541,0.0,21.0,3.0,4.0,4.0,208.782486,0.179096,78.0,106.637299,6.067654,6.067654,154.473022,1.0,0.0,1.730598,0.0,-99900.0,1.395783,0.762,0.762,6.067654,2.255857,1.312158,24.91127,121.673981,-9.641654,-15.307213,46.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,20.518456,1.065217,78.0,3.0,1.288558,17.673401,15.35907,0.0,-0.004663,7.832227,7.832227,-0.014634
-11.899145,20210722-073542,20210722,073542,-24.496103,0.0,27.0,3.0,5.0,8.0,205.908829,2.681837,78.0,57.815636,4.323362,4.323362,88.125214,1.0,0.0,0.340111,0.0,-99900.0,1.213491,0.508,0.508,4.323362,3.11622,2.971663,24.852701,121.653961,-12.792945,-26.61787,44.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,27.233229,1.068182,78.0,4.0,0.62905,17.132538,15.815456,0.0,-0.004659,3.590129,3.590129,-0.015114
-12.67994,20210722-074148,20210722,074148,-25.457724,0.0,33.0,3.0,6.0,13.0,206.477249,0.293838,78.0,132.414734,5.417954,5.417954,192.325516,1.0,0.0,1.503053,0.0,-99900.0,4.662531,0.508,0.508,5.417954,1.930221,0.293838,24.844053,121.646225,-12.044477,-25.155472,50.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,28.440756,1.0,78.0,5.0,0.503756,17.697083,14.135119,0.0,-0.004297,6.920043,6.920043,-0.013466
-13.475873,20210722-074754,20210722,074754,-29.444691,0.0,39.0,3.0,7.0,9.0,204.592392,0.358131,78.0,93.584465,4.709991,4.709991,136.954712,1.0,0.0,2.1912,0.0,-99900.0,1.220664,0.508,0.508,4.709991,1.937733,0.75697,24.808199,121.638344,-13.407104,-30.113516,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,32.381924,1.021277,78.0,6.0,0.666476,16.749664,12.377022,0.0,-0.003567,6.776221,6.776221,-0.011852
-16.928602,20210722-075400,20210722,075400,-36.831547,0.0,45.0,2.0,8.0,8.0,204.684937,0.401841,78.0,82.773933,5.166177,5.166177,153.922668,1.0,0.0,2.575422,0.0,-99900.0,3.729257,0.508,0.508,5.166177,2.451649,0.401841,24.741766,121.604149,-14.466285,-33.260536,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,40.535667,1.0,78.0,7.0,0.432334,18.735413,12.622986,0.0,-0.004054,5.053777,5.053777,-0.011954
-15.771348,20210722-080006,20210722,080006,-40.361099,0.0,51.0,3.0,9.0,9.0,201.34375,0.468491,78.0,54.335011,4.191563,4.191563,82.753952,1.0,0.0,1.175707,0.0,-99900.0,2.773274,0.508,0.508,4.191563,1.768264,0.468491,24.710026,121.615639,-16.31254,-37.744854,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,43.333054,1.0,78.0,8.0,0.361815,16.519958,12.453138,0.0,-0.003541,4.757875,4.757875,-0.011939
-18.3529,20210722-080612,20210722,080612,-45.22007,0.0,57.0,3.0,10.0,22.0,202.090515,0.555012,78.0,59.206493,4.106569,4.106569,125.637611,1.0,0.0,1.38012,0.0,-99900.0,1.375487,0.0,0.0,4.106569,1.625731,1.728738,24.666327,121.59008,-18.861959,-43.165993,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,48.802494,1.0,78.0,9.0,0.021154,16.117096,12.653196,0.0,-0.003513,4.180408,4.180408,-0.012156
