3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
7.870217,20210722-062637,20210722,062637,77.424408,0.0,3.0,3.0,1.0,29.0,5.804185,1.07439,52.0,9.68106,1.609777,1.609777,27.624096,1.0,0.0,0.226467,0.0,-99900.0,0.0,0.0,0.0,1.609777,1.27791,1.609777,25.769295,121.850372,7.824823,77.559052,38.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,77.823387,1.078947,52.0,0.0,0.0,22.196442,-99900.0,0.0,-99900.0,1.098009,1.098009,-99900.0
5.003968,20210722-063243,20210722,063243,73.135773,0.0,9.0,2.0,2.0,16.0,3.914082,0.99298,52.0,11.545656,1.483738,1.483738,24.257008,1.0,0.0,0.193402,0.0,-99900.0,1.689929,0.0,0.0,1.483738,1.132578,1.483738,25.730726,121.821823,5.272849,73.375839,41.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,73.306755,1.04878,52.0,1.0,0.0,33.756226,14.093672,0.0,-0.007831,1.446944,1.446944,-0.011718
1.87933,20210722-064052,20210722,064052,67.710838,0.0,17.0,0.0,3.0,16.0,1.589846,0.893433,52.0,24.83403,1.807656,1.807656,32.778919,1.0,0.0,0.373749,0.0,-99900.0,0.768017,0.0,0.0,1.807656,1.082851,0.893433,25.681938,121.79071,2.122707,67.973389,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,67.736916,1.0,52.0,2.0,0.0,31.574158,13.317911,0.0,-0.006973,2.636305,2.636305,-0.011346
-2.065223,20210722-064658,20210722,064658,61.514183,0.0,23.0,2.0,4.0,26.0,358.077118,0.811845,52.0,20.146271,4.268778,4.268778,64.724724,1.0,0.0,1.61866,0.0,-99900.0,2.473066,0.0,0.0,4.268778,1.880777,0.811845,25.626211,121.75145,-1.153023,63.263931,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,61.54884,1.0,52.0,3.0,0.0,31.742676,15.007689,0.0,-0.007896,2.877764,2.877764,-0.012763
-3.780767,20210722-065303,20210722,065303,58.400356,0.0,29.0,3.0,5.0,24.0,356.295929,0.733656,52.0,10.406424,1.13822,1.13822,30.28738,1.0,0.0,0.156427,0.0,-99900.0,1.935511,0.0,0.0,1.13822,0.84281,0.733656,25.598207,121.734383,-3.747646,58.452583,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,58.52261,1.0,52.0,4.0,0.0,31.435272,14.449709,0.0,-0.007536,1.048086,1.048086,-0.012329
-6.569297,20210722-065907,20210722,065907,54.161015,0.0,32.0,0.0,6.0,37.0,353.08429,0.665544,52.0,4.961442,1.058759,1.058759,24.353447,1.0,0.0,0.185021,0.0,-99900.0,0.252504,0.0,0.0,1.058759,0.812727,0.665544,25.560081,121.70665,-6.494435,53.939163,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,54.557964,1.0,52.0,5.0,0.0,31.572388,14.210134,0.0,-0.00744,0.587137,0.587137,-0.012107
-8.953726,20210722-070513,20210722,070513,50.192558,0.0,3.0,3.0,1.0,24.0,349.885559,0.565038,52.0,7.569869,1.813306,1.813306,31.871986,1.0,0.0,0.69841,0.0,-99900.0,0.573311,0.0,0.0,1.813306,1.189662,1.813306,25.524393,121.682938,-9.800035,46.764999,37.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,50.984921,1.135135,52.0,0.0,0.0,31.414856,13.87349,0.0,-0.007231,1.272346,1.272346,-0.01184
-11.221539,20210722-071119,20210722,071119,50.789787,0.0,9.0,3.0,2.0,25.0,347.541199,0.630434,52.0,9.088935,1.35485,1.35485,30.165876,1.0,0.0,0.327443,0.0,-99900.0,4.945147,0.0,0.0,1.35485,0.863381,0.630434,25.529764,121.660378,-10.921884,50.924126,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,52.014664,1.0,52.0,1.0,0.0,35.920685,11.861377,0.0,-0.006959,1.1509,1.1509,-0.009606
-14.444995,20210722-071725,20210722,071725,50.022221,0.0,15.0,2.0,3.0,23.0,343.892822,0.636074,52.0,8.995618,1.260137,1.260137,19.439215,1.0,0.0,0.280811,0.0,-99900.0,2.830182,0.0,0.0,1.260137,0.776601,0.636074,25.522861,121.628319,-14.29609,50.459793,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,52.066116,1.0,52.0,2.0,0.0,45.797058,9.446697,0.0,-0.006772,1.317336,1.317336,-0.006586
-18.057278,20210722-072331,20210722,072331,44.815796,0.0,21.0,2.0,4.0,20.0,338.054443,0.598925,52.0,16.919704,2.701591,2.701591,37.65847,1.0,0.0,1.033543,0.0,-99900.0,3.016964,0.0,0.0,2.701591,1.376649,0.598925,25.476038,121.592422,-17.226389,46.970146,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,48.316879,1.0,52.0,3.0,0.002118,50.662994,9.826334,0.0,-0.0076,2.656382,2.656382,-0.006229
