3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-28.709757,20210722-081823,20210722,081823,141.806442,0.0,0.0,0.0,0.0,54.0,348.554779,3.63268,86.0,21.302521,4.613703,4.613703,87.675354,1.0,0.0,0.413533,0.0,-99900.0,0.0,0.0,0.0,4.613703,3.727475,3.63268,26.348295,121.485443,-28.680687,141.882248,36.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,144.683502,1.0,86.0,-1.0,0.0,22.668274,-99900.0,0.0,-99900.0,0.738008,0.738008,-99900.0
-34.354137,20210722-082429,20210722,082429,134.079041,0.0,3.0,3.0,1.0,26.0,345.628693,2.451612,86.0,25.994049,3.409458,3.409458,51.745941,1.0,0.0,0.487812,0.0,-99900.0,3.551963,0.0,0.0,3.409458,2.620938,2.451612,26.278801,121.429199,-34.298397,134.140442,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,138.410248,1.0,86.0,0.0,0.0,36.145782,26.145721,0.0,-0.015422,2.655491,2.655491,-0.021113
-35.751663,20210722-083034,20210722,083034,132.599014,0.0,9.0,3.0,2.0,27.0,344.910614,2.464986,86.0,39.993103,4.164382,4.164382,128.095825,1.0,0.0,0.415573,0.0,-99900.0,7.52806,0.0,0.0,4.164382,2.992394,3.351751,26.265491,121.415276,-35.408127,134.369492,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,137.334183,1.025,86.0,1.0,0.027622,37.408051,15.861886,0.0,-0.009636,3.375582,3.375582,-0.0126
-39.07584,20210722-083640,20210722,083640,124.56292,0.0,15.0,3.0,3.0,23.0,342.583221,2.249193,86.0,30.485661,3.139025,3.139025,42.865677,1.0,0.0,0.466827,0.0,-99900.0,3.430645,0.0,0.0,3.139025,2.475896,2.249193,26.193222,121.382225,-39.082653,124.746819,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,130.548233,1.0,86.0,2.0,0.049008,31.411743,17.055845,0.0,-0.008889,3.451408,3.451408,-0.014556
-41.286373,20210722-084246,20210722,084246,118.907593,0.0,21.0,3.0,4.0,16.0,340.852325,3.885242,86.0,48.617126,4.93082,4.93082,120.223129,1.0,0.0,0.376936,0.0,-99900.0,1.093218,0.254,0.254,4.93082,3.932075,3.885242,26.142363,121.36026,-41.247684,118.973907,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,125.871284,1.0,86.0,3.0,0.181009,28.372437,17.191694,0.0,-0.00817,1.21679,1.21679,-0.015127
-45.655476,20210722-084850,20210722,084850,116.13147,0.0,27.0,3.0,5.0,25.0,338.538483,2.0715,86.0,43.762589,2.995218,2.995218,88.133064,1.0,0.0,0.201866,0.0,-99900.0,3.065905,0.0,0.0,2.995218,2.609136,2.995218,26.117395,121.316742,-45.013264,115.200157,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,124.783577,1.0,86.0,4.0,0.036084,30.890198,16.574125,0.0,-0.008509,2.920939,2.920939,-0.014223
-49.740677,20210722-085455,20210722,085455,112.675369,0.0,33.0,3.0,6.0,20.0,336.180939,2.053835,86.0,118.205818,4.915631,4.915631,265.036133,1.0,0.0,0.707029,0.0,-99900.0,1.992644,0.0,0.0,4.915631,2.718295,2.053835,26.086315,121.27607,-49.507492,112.561333,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,123.166046,1.0,86.0,5.0,0.06969,33.880493,15.272985,0.0,-0.008514,4.067081,4.067081,-0.01268
-54.036163,20210722-090102,20210722,090102,109.405701,0.0,39.0,3.0,7.0,8.0,333.714996,2.04509,86.0,212.172958,5.903746,5.903746,345.07605,1.0,0.0,0.748396,0.0,-99900.0,1.812619,0.508,0.508,5.903746,2.53471,2.04509,26.05691,121.233307,-54.235439,109.965675,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,122.022598,1.0,86.0,6.0,0.615675,39.608551,15.672236,0.0,-0.009992,6.335677,6.335677,-0.012074
-57.19342,20210722-090708,20210722,090708,103.573601,0.0,45.0,3.0,8.0,11.0,331.09256,1.956433,86.0,212.18985,5.638838,5.638838,351.357239,1.0,0.0,0.828606,0.0,-99900.0,1.498712,0.508,0.508,5.638838,2.601331,2.767054,26.004461,121.201958,-57.230705,104.310226,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,118.31559,1.022222,86.0,7.0,0.465885,44.151581,14.916382,0.0,-0.01039,6.786539,6.786539,-0.010702
-60.917747,20210722-091314,20210722,091314,99.192947,0.0,51.0,3.0,9.0,13.0,328.44458,1.904635,86.0,284.251282,4.437794,4.437794,464.009338,1.0,0.0,0.533444,0.0,-99900.0,0.470133,0.508,0.508,4.437794,2.50287,3.502177,25.965065,121.164932,-60.841835,99.728462,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,116.40538,1.0,86.0,8.0,0.633107,44.488159,15.2791,0.0,-0.010707,5.99768,5.99768,-0.0109
-64.171417,20210722-091919,20210722,091919,90.701027,0.0,57.0,3.0,10.0,9.0,324.72049,1.753333,86.0,136.737274,5.346996,5.346996,171.289474,1.0,0.0,1.450416,0.0,-99900.0,4.560597,0.762,0.762,5.346996,2.68865,1.753333,25.888695,121.132713,-64.35791,89.66851,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,111.106468,1.0,86.0,9.0,0.903865,36.701538,16.887777,0.0,-0.010093,7.26086,7.26086,-0.01354
-66.995331,20210722-092525,20210722,092525,84.760635,1.0,3.0,2.0,11.0,7.0,321.677032,1.725819,86.0,104.870255,5.179851,5.179851,126.306541,1.0,0.0,1.481812,0.0,-99900.0,1.314093,0.762,0.762,5.179851,2.906149,2.471503,25.835272,121.104729,-67.454826,85.844101,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,108.040459,1.0,86.0,10.0,1.040481,31.043274,18.231451,0.0,-0.009402,7.2944,7.2944,-0.01562
-70.625046,20210722-093131,20210722,093131,79.228333,1.0,10.0,3.0,12.0,8.0,318.285919,1.664928,86.0,123.548859,5.094479,5.094479,160.588455,1.0,0.0,1.409934,0.0,-99900.0,0.264069,0.254,0.254,5.094479,2.554729,1.664928,25.785519,121.068718,-70.604134,79.72628,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,106.136826,1.0,86.0,11.0,0.296621,28.176575,19.12546,0.0,-0.009031,6.309451,6.309451,-0.016859
-74.043434,20210722-093736,20210722,093736,73.296211,1.0,16.0,3.0,13.0,10.0,314.709534,2.355014,86.0,96.220612,4.934476,4.934476,173.659332,1.0,0.0,0.720669,0.0,-99900.0,0.252866,0.254,0.254,4.934476,2.679802,2.355014,25.73217,121.034843,-74.34446,73.696327,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,104.186203,1.0,86.0,12.0,0.180757,28.143585,19.250053,0.0,-0.00908,2.667789,2.667789,-0.016974
