3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
158.267731,20210722-060214,20210722,060214,-55.879818,0.0,9.0,0.0,1.0,18.0,109.446419,3.297798,1.0,60.689751,4.330946,4.330946,145.544571,1.0,0.0,0.309326,0.0,-99900.0,11.436942,0.0,0.0,4.330946,3.350871,3.297798,24.570467,123.340218,158.500031,-55.804592,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,167.842865,1.0,1.0,0.0,0.077528,44.69696,22.568207,0.0,-0.015874,3.870202,3.870202,-0.016042
155.556091,20210722-060820,20210722,060820,-64.452621,0.0,3.0,3.0,1.0,5.0,112.505768,3.301248,1.0,169.058899,7.250076,7.250076,268.381012,1.0,0.0,1.021856,0.0,-99900.0,4.110373,0.762,0.762,7.250076,3.721755,3.301248,24.49337,123.312866,155.37677,-64.284218,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,168.380035,1.0,1.0,0.0,1.083395,43.508057,21.95841,0.0,-0.015117,7.594192,7.594192,-0.015926
152.472122,20210722-061425,20210722,061425,-72.559319,0.0,3.0,3.0,1.0,5.0,115.448845,3.318126,1.0,224.651779,7.184841,7.184841,300.349518,1.0,0.0,1.107541,0.0,-99900.0,3.344392,1.016,1.016,7.184841,3.888688,3.318126,24.420465,123.281876,152.454254,-72.236122,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,168.85675,1.0,1.0,0.0,2.230324,39.725464,21.828577,0.0,-0.013951,8.939228,8.939228,-0.016789
150.186523,20210722-062031,20210722,062031,-80.57431,0.0,15.0,3.0,1.0,3.0,118.213058,3.371633,1.0,295.682678,5.749385,5.749385,290.035767,1.0,0.0,0.63099,0.0,-99900.0,3.384214,1.27,1.27,5.749385,3.750703,3.371633,24.348385,123.258812,150.321747,-80.339088,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,170.435364,1.0,1.0,0.0,2.856225,35.844818,21.121483,0.0,-0.012369,9.373163,9.373163,-0.017121
146.618576,20210722-062637,20210722,062637,-87.811241,1.0,28.0,3.0,1.0,2.0,120.917503,3.375443,1.0,253.273407,7.377041,7.377041,282.713257,1.0,0.0,1.300574,0.0,-99900.0,1.364407,1.524,1.524,7.377041,3.880828,3.375443,24.2833,123.223114,146.599121,-87.1884,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,170.902954,1.0,1.0,0.0,3.367432,29.775116,21.308599,0.0,-0.010582,10.669704,10.669704,-0.018495
144.656921,20210722-063243,20210722,063243,-96.695312,0.0,15.0,3.0,1.0,4.0,123.760292,3.481654,1.0,157.888901,5.915553,5.915553,178.419525,1.0,0.0,0.825169,0.0,-99900.0,2.850456,0.762,0.762,5.915553,3.778528,3.481654,24.203405,123.203239,144.827408,-96.414795,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,173.998871,1.0,1.0,0.0,1.08265,18.998779,23.310766,0.0,-0.007589,6.978526,6.978526,-0.022041
141.24176,20210722-064052,20210722,064052,-109.365379,0.0,15.0,3.0,1.0,5.0,127.750793,3.621986,1.0,222.381607,6.209931,6.209931,348.089508,1.0,0.0,0.567293,0.0,-99900.0,1.915026,0.762,0.762,6.209931,3.866971,3.621986,24.08946,123.168816,141.268814,-108.994148,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,178.633759,1.0,1.0,0.0,1.089304,17.889954,23.873384,0.0,-0.007334,6.564865,6.564865,-0.022719
139.099091,20210722-064658,20210722,064658,-117.450394,0.0,15.0,3.0,1.0,5.0,130.17627,3.73894,1.0,218.984833,6.298141,6.298141,333.214172,1.0,0.0,0.583971,0.0,-99900.0,0.588347,0.762,0.762,6.298141,3.956767,3.73894,24.01675,123.147224,139.213242,-117.342987,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,182.052612,1.0,1.0,0.0,0.870532,16.608154,24.230549,0.0,-0.006926,6.577915,6.577915,-0.02322
137.853485,20210722-065303,20210722,065303,-125.971481,0.0,15.0,3.0,1.0,5.0,132.420975,3.888744,1.0,161.057709,6.536592,6.536592,293.362,1.0,0.0,0.783652,0.0,-99900.0,1.283094,0.762,0.762,6.536592,4.288335,3.888744,23.940119,123.134499,137.825394,-125.881142,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,186.741531,1.0,1.0,0.0,1.017673,14.928802,24.471022,0.0,-0.006304,6.739073,6.739073,-0.023645
136.46991,20210722-065907,20210722,065907,-132.797073,0.0,16.0,3.0,1.0,9.0,134.218216,3.999866,1.0,184.203461,6.858428,6.858428,348.812927,1.0,0.0,0.744026,0.0,-99900.0,2.00072,0.762,0.762,6.858428,4.334778,3.999866,23.878735,123.120491,136.358307,-132.327881,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,190.418228,1.0,1.0,0.0,1.173675,12.913452,23.940441,0.0,-0.00535,6.7528,6.7528,-0.023335
