3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-4.45831,20210722-074754,20210722,074754,9.77227,0.0,3.0,3.0,1.0,18.0,335.476624,0.255028,69.0,3.213567,0.327115,0.327115,4.112841,1.0,0.0,0.039353,0.0,-99900.0,0.0,0.0,0.0,0.327115,0.27091,0.327115,25.160885,121.727722,-4.362732,9.990191,45.0,0.0,49.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,10.74122,1.088889,69.0,0.0,0.0,23.845825,-99900.0,0.0,-99900.0,0.322588,0.322588,-99900.0
-6.114319,20210722-075400,20210722,075400,2.67858,0.0,9.0,3.0,2.0,16.0,293.657562,0.072372,69.0,20.663164,1.971302,-1.971302,43.731232,-1.0,0.0,0.469305,0.0,-99900.0,1.693543,0.0,-0.0,1.971302,0.736804,0.204432,25.09709,121.711288,-5.533597,5.549286,48.0,0.0,48.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,1.0,-1.0,0.0,-0.0,6.675304,1.0,69.0,1.0,0.0,13.140259,19.902742,0.0,-0.004525,2.400918,-2.400918,-0.019382
-7.451836,20210722-080006,20210722,080006,-4.354973,0.0,15.0,3.0,3.0,22.0,239.697571,0.078784,69.0,17.263359,2.975028,2.975028,46.91116,1.0,0.0,1.376392,0.0,-99900.0,0.324113,0.0,0.0,2.975028,1.110975,0.657742,25.033834,121.698029,-8.371792,1.424224,44.0,0.0,44.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,8.631086,1.0,69.0,2.0,0.0,11.963867,19.727982,0.0,-0.00409,2.072285,2.072285,-0.019299
-9.077157,20210722-080612,20210722,080612,-9.392357,0.0,21.0,3.0,4.0,26.0,224.022598,0.104048,69.0,13.499938,2.297799,2.297799,44.256283,1.0,0.0,1.038642,0.0,-99900.0,2.030293,0.0,0.0,2.297799,1.073517,0.104048,24.988533,121.681908,-8.968086,-6.404991,43.0,0.0,43.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,13.06182,1.0,69.0,3.0,0.0,13.249878,18.112589,0.0,-0.004151,1.774862,1.774862,-0.01763
-9.892826,20210722-081217,20210722,081217,-15.482208,0.0,27.0,3.0,5.0,15.0,212.57811,0.158916,69.0,18.56345,3.860227,3.860227,61.805161,1.0,0.0,1.58871,0.0,-99900.0,0.78014,0.0,0.0,3.860227,1.671543,0.782031,24.933765,121.673836,-8.904954,-13.590829,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,18.37299,1.045455,69.0,4.0,0.017693,12.463989,17.520891,0.0,-0.003781,3.142632,3.142632,-0.017108
-11.277486,20210722-081823,20210722,081823,-21.487448,0.0,33.0,3.0,6.0,18.0,207.692673,0.218756,69.0,35.228233,4.171973,4.171973,85.839462,1.0,0.0,1.329694,0.0,-99900.0,0.256272,0.0,0.0,4.171973,1.6324,0.793035,24.879759,121.660118,-11.19636,-18.471804,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,24.267099,1.0,69.0,5.0,0.028791,12.300446,17.254456,0.0,-0.003676,4.368656,4.368656,-0.016858
-12.370328,20210722-082429,20210722,082429,-27.78343,0.0,39.0,3.0,7.0,11.0,204.000961,0.314428,69.0,36.925877,4.211055,4.211055,80.326324,1.0,0.0,1.737804,0.0,-99900.0,0.282133,0.254,0.254,4.211055,1.965526,1.000404,24.823139,121.649307,-12.520891,-26.759369,43.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,30.412893,1.069767,69.0,6.0,0.114779,11.733093,16.738955,0.0,-0.003404,4.877174,4.877174,-0.016389
-13.600515,20210722-083034,20210722,083034,-33.629086,0.0,45.0,2.0,8.0,12.0,202.020111,0.361123,69.0,43.088406,5.331866,5.331866,86.15284,1.0,0.0,2.644411,0.0,-99900.0,0.13695,0.254,0.254,5.331866,2.287661,0.361123,24.770567,121.637131,-13.236325,-30.439823,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,36.275188,1.0,69.0,7.0,0.289494,11.442169,16.547447,0.0,-0.003283,5.581061,5.581061,-0.016219
-14.968623,20210722-083640,20210722,083640,-41.108196,0.0,51.0,2.0,9.0,12.0,200.008331,0.51803,69.0,53.223324,5.008303,5.008303,103.140923,1.0,0.0,2.061484,0.0,-99900.0,1.552087,0.508,0.508,5.008303,2.34059,1.903431,24.703306,121.623604,-17.317528,-41.086308,43.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,43.748638,1.069767,69.0,8.0,0.502438,10.758881,17.444798,0.0,-0.003257,5.836078,5.836078,-0.017138
-14.226482,20210722-084246,20210722,084246,-47.450096,0.0,57.0,3.0,10.0,8.0,196.69017,1.204334,69.0,42.455898,4.614521,4.614521,76.09272,1.0,0.0,1.35925,0.0,-99900.0,1.935273,0.508,0.508,4.614521,2.640815,1.695799,24.646273,121.630989,-11.041363,-45.497147,35.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,49.5369,1.342857,69.0,9.0,0.804319,8.602692,17.741064,0.0,-0.002654,4.363051,4.363051,-0.017541
-15.124625,20210722-084850,20210722,084850,-54.554802,1.0,3.0,3.0,11.0,12.0,195.495743,1.98139,69.0,63.756134,4.240473,4.240473,107.033264,1.0,0.0,0.923979,0.0,-99900.0,0.722801,0.254,0.254,4.240473,2.481545,2.558832,24.582378,121.622131,-15.434252,-54.341347,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,56.612549,1.045455,69.0,10.0,0.141462,6.441681,18.236959,0.0,-0.002046,2.99914,2.99914,-0.018122
