3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
118.355614,20210722-084246,20210722,084246,-106.830772,0.0,3.0,3.0,1.0,34.0,132.069901,3.034484,59.0,47.288826,4.179343,4.179343,159.314362,1.0,0.0,0.337356,0.0,-99900.0,0.0,0.0,0.0,4.179343,3.277725,3.034484,24.112253,122.942589,118.392914,-106.501282,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,159.439224,1.0,59.0,0.0,0.021245,22.34613,-99900.0,0.0,-99900.0,3.371392,3.371392,-99900.0
117.368256,20210722-084850,20210722,084850,-115.419975,0.0,9.0,3.0,2.0,8.0,134.520172,3.191407,59.0,72.58654,5.528149,5.528149,120.023727,1.0,0.0,0.922878,0.0,-99900.0,3.094119,0.508,0.508,5.528149,3.522442,3.191407,24.035009,122.932465,117.417809,-115.245934,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,164.611908,1.0,59.0,1.0,0.448468,6.557556,23.75181,0.0,-0.002712,5.809441,5.809441,-0.023596
116.89135,20210722-085455,20210722,085455,-123.223236,0.0,15.0,3.0,3.0,9.0,136.510239,3.348087,59.0,66.294617,4.567008,4.567008,99.264679,1.0,0.0,0.512804,0.0,-99900.0,0.958388,0.254,0.254,4.567008,3.571414,3.348087,23.964832,122.927429,116.833054,-123.04837,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,169.845673,1.0,59.0,2.0,0.294964,5.103729,22.575197,0.0,-0.002008,4.786475,4.786475,-0.022486
115.243103,20210722-090102,20210722,090102,-131.327881,0.0,21.0,3.0,4.0,12.0,138.732025,3.492051,59.0,81.995476,6.039304,6.039304,175.130737,1.0,0.0,0.915,0.0,-99900.0,0.923086,0.254,0.254,6.039304,3.903653,3.492051,23.891945,122.910805,115.208374,-130.818405,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,174.722595,1.0,59.0,3.0,0.259553,6.886169,22.415323,0.0,-0.002688,5.017601,5.017601,-0.022254
114.481354,20210722-090708,20210722,090708,-138.953033,0.0,27.0,2.0,5.0,8.0,140.51506,3.662188,59.0,204.967621,6.300793,6.300793,354.941345,1.0,0.0,0.660569,0.0,-99900.0,0.565056,0.762,0.762,6.300793,4.015324,3.662188,23.823372,122.902977,114.368835,-138.589081,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,180.038681,1.0,59.0,4.0,0.843217,7.023987,22.088747,0.0,-0.002701,6.556255,6.556255,-0.021923
113.990089,20210722-091314,20210722,091314,-147.218979,0.0,33.0,3.0,6.0,1.0,142.249435,3.867243,59.0,300.693054,6.534753,6.534753,373.914612,1.0,0.0,0.618514,0.0,-99900.0,0.553159,1.778,1.778,6.534753,4.184894,3.867243,23.749033,122.897789,114.000145,-146.977234,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,186.191208,1.0,59.0,5.0,4.440422,6.532959,22.066643,0.0,-0.002511,11.020267,11.020267,-0.021923
113.347603,20210722-091919,20210722,091919,-154.856354,0.0,39.0,3.0,7.0,3.0,143.797272,4.047536,59.0,239.692291,6.85099,6.85099,283.880646,1.0,0.0,0.781556,0.0,-99900.0,0.456061,1.778,1.778,6.85099,4.521643,5.440828,23.680349,122.891136,113.174057,-154.399536,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,191.906662,1.0,59.0,6.0,4.564301,6.098236,21.734118,0.0,-0.002309,9.756158,9.756158,-0.021611
113.76635,20210722-092525,20210722,092525,-162.983627,0.0,45.0,3.0,8.0,1.0,145.083725,4.291483,59.0,446.680634,7.156799,7.156799,411.056763,1.0,0.0,0.704444,0.0,-99900.0,1.282399,2.286,2.286,7.156799,4.559143,4.291483,23.60726,122.894951,113.768707,-162.790512,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,198.762283,1.0,59.0,7.0,8.768574,4.49115,21.746607,0.0,-0.001703,13.561789,13.561789,-0.02168
112.896523,20210722-093131,20210722,093131,-168.639847,0.0,51.0,3.0,9.0,2.0,146.199188,4.433722,59.0,826.98114,7.514051,7.514051,1109.997314,1.0,0.0,0.400028,0.0,-99900.0,2.291898,2.032,2.032,7.514051,4.550426,4.433722,23.556391,122.886139,112.776634,-168.427643,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,50.0,50.0,0.0,0.0,202.940933,1.0,59.0,8.0,5.955168,3.121216,20.833012,0.0,-0.001134,11.767104,11.767104,-0.020802
113.782043,20210722-093736,20210722,093736,-171.950378,0.0,57.0,2.0,10.0,1.0,146.50647,4.534347,59.0,136.029968,6.067644,6.067644,131.821686,1.0,0.0,0.717508,0.0,-99900.0,4.47509,1.778,1.778,6.067644,4.953167,4.534347,23.526619,122.894753,113.664505,-171.270813,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,50.0,50.0,0.0,0.0,206.187515,1.0,59.0,9.0,5.368089,1.534607,18.55641,0.0,-0.000497,10.394453,10.394453,-0.01855
110.056732,20210722-094342,20210722,094342,-176.699219,1.0,3.0,2.0,11.0,2.0,148.083038,4.640611,59.0,508.037994,7.41073,7.41073,645.904297,1.0,0.0,0.484423,0.0,-99900.0,4.088887,2.032,2.032,7.41073,4.819274,4.640611,23.483912,122.857803,110.289314,-176.991974,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,208.170837,1.0,59.0,10.0,5.892181,5.377716,16.038473,0.0,-0.001503,11.616123,11.616123,-0.015968
108.395363,20210722-094948,20210722,094948,-182.542191,1.0,10.0,3.0,12.0,1.0,149.297394,4.770941,59.0,380.515411,7.806098,7.806098,694.211426,1.0,0.0,0.595816,0.0,-99900.0,1.111222,1.524,1.524,7.806098,5.075911,4.770941,23.431364,122.841194,108.396652,-182.380234,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,212.299805,1.0,59.0,11.0,3.71608,10.835999,14.546774,0.0,-0.002735,10.004962,10.004962,-0.014287
