3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
162.245102,20210722-103834,20210722,103834,4.205601,0.0,3.0,3.0,1.0,7.0,88.514946,3.128908,94.0,32.762989,4.234777,4.234777,79.213409,1.0,0.0,0.581947,0.0,-99900.0,0.0,0.254,0.254,4.234777,3.324997,3.128908,25.110826,123.383156,162.371933,4.61003,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,162.299606,1.0,94.0,0.0,0.109803,20.784637,-99900.0,0.0,-99900.0,4.086053,4.086053,-99900.0
157.913544,20210722-104440,20210722,104440,-3.862325,0.0,6.0,0.0,2.0,28.0,91.400871,2.995243,94.0,23.962177,4.107376,4.107376,99.158798,1.0,0.0,0.448861,0.0,-99900.0,2.720455,0.0,0.0,4.107376,3.215909,2.995243,25.038271,123.339676,157.861435,-3.791111,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,157.96077,1.0,94.0,1.0,0.0,28.230743,25.019419,0.0,-0.011835,1.920505,1.920505,-0.022043
154.789841,20210722-105045,20210722,105045,-11.851921,0.0,0.0,0.0,1.0,29.0,94.37825,2.917733,94.0,22.425056,4.002382,4.002382,106.681702,1.0,0.0,0.441581,0.0,-99900.0,1.197305,0.0,0.0,4.002382,3.187884,2.917733,24.966419,123.30822,154.81424,-11.457214,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,155.24292,1.0,94.0,0.0,0.0,24.906281,24.218994,0.0,-0.010199,1.973938,1.973938,-0.021967
150.34111,20210722-105651,20210722,105651,-18.781811,0.0,0.0,0.0,1.0,27.0,97.120728,2.800733,94.0,34.664509,5.023381,5.023381,230.122055,1.0,0.0,0.530138,0.0,-99900.0,1.32064,0.0,0.0,5.023381,3.043706,2.800733,24.904097,123.263687,150.06604,-18.040369,36.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,151.50975,1.0,94.0,0.0,0.0,26.779938,23.576674,0.0,-0.010623,1.919562,1.919562,-0.021048
143.92395,20210722-110257,20210722,110257,-22.409418,0.0,3.0,3.0,1.0,17.0,98.849846,2.646888,94.0,33.218628,3.666195,3.666195,114.176399,1.0,0.0,0.341779,0.0,-99900.0,4.796886,0.0,0.0,3.666195,2.802863,2.646888,24.871471,123.199829,143.944107,-22.209702,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,145.658112,1.0,94.0,0.0,0.0,32.977417,22.213549,0.0,-0.012091,2.356906,2.356906,-0.018635
139.656937,20210722-110903,20210722,110903,-30.099401,0.0,9.0,3.0,1.0,7.0,102.162331,2.569093,94.0,61.922634,4.575199,4.575199,106.452637,1.0,0.0,0.750825,0.0,-99900.0,0.884001,0.0,0.0,4.575199,2.861292,2.569093,24.802315,123.157104,139.688324,-29.705772,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,142.863693,1.0,94.0,0.0,0.071031,34.246307,22.120514,0.0,-0.012448,4.860469,4.860469,-0.018285
135.745682,20210722-111508,20210722,111508,-37.207069,0.0,45.0,3.0,1.0,4.0,105.327728,2.509748,94.0,98.369476,4.511,4.511,125.696846,1.0,0.0,0.653703,0.0,-99900.0,0.766715,0.254,0.254,4.511,2.78653,2.509748,24.738394,123.117966,135.732651,-36.762211,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,140.752457,1.0,94.0,0.0,0.323989,35.854034,21.696108,0.0,-0.012708,5.603619,5.603619,-0.017585
131.904434,20210722-112114,20210722,112114,-46.047504,0.0,9.0,3.0,1.0,5.0,109.243706,2.480198,94.0,88.015015,5.701739,5.701739,157.743546,1.0,0.0,1.056069,0.0,-99900.0,2.537068,0.254,0.254,5.701739,2.903507,2.480198,24.65889,123.07946,131.966415,-45.297852,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,139.710953,1.0,94.0,0.0,0.11009,34.782379,22.248844,0.0,-0.012692,4.988244,4.988244,-0.018274
128.52562,20210722-112719,20210722,112719,-53.713421,1.0,4.0,3.0,1.0,7.0,112.680763,2.466241,94.0,107.926254,4.482625,4.482625,232.25885,1.0,0.0,0.540404,0.0,-99900.0,1.60131,0.0,0.0,4.482625,2.802906,2.466241,24.589949,123.045616,128.444351,-53.141129,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,139.298111,1.0,94.0,0.0,0.048082,30.536621,22.925968,0.0,-0.011648,4.144088,4.144088,-0.019746
126.498322,20210722-113325,20210722,113325,-66.737549,0.0,33.0,3.0,1.0,7.0,117.814804,2.627482,94.0,72.736824,4.543484,4.543484,248.056976,1.0,0.0,0.871511,0.0,-99900.0,6.2133,0.0,0.0,4.543484,3.361294,2.627482,24.47282,123.024933,127.263878,-69.372757,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,143.023514,1.0,94.0,0.0,0.057943,22.426666,25.479334,0.0,-0.00972,4.221153,4.221153,-0.023552
