3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
95.543182,20210722-094948,20210722,094948,-149.305191,0.0,3.0,3.0,1.0,7.0,147.383713,4.818432,11.0,56.989109,6.102364,6.102364,104.404022,1.0,0.0,0.57871,0.0,-99900.0,0.0,0.508,0.508,6.102364,4.938599,4.818432,23.73027,122.715538,95.516197,-149.207458,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,177.258408,1.0,11.0,0.0,0.47065,26.725739,-99900.0,0.0,-99900.0,1.783865,1.783865,-99900.0
95.954277,20210722-095553,20210722,095553,-157.068283,0.0,9.0,3.0,2.0,4.0,148.578568,3.796265,11.0,202.575012,7.885152,7.885152,307.105347,1.0,0.0,1.045154,0.0,-99900.0,3.577784,0.762,0.762,7.885152,4.11698,3.796265,23.660456,122.719337,95.799835,-156.902252,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,184.058868,1.0,11.0,1.0,1.252048,356.968719,21.298538,0.0,0.001126,7.984247,7.984247,-0.021269
97.46769,20210722-100159,20210722,100159,-165.68338,0.0,15.0,3.0,3.0,4.0,149.532333,4.080013,11.0,249.072601,6.864593,6.864593,430.955597,1.0,0.0,0.69518,0.0,-99900.0,1.379397,1.016,1.016,6.864593,4.441347,4.080013,23.582979,122.733978,97.435509,-165.905609,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,192.226257,1.0,11.0,2.0,1.578512,353.296661,22.559946,0.0,0.002633,7.847766,7.847766,-0.022406
97.685158,20210722-100805,20210722,100805,-174.447845,0.0,21.0,3.0,4.0,4.0,150.752243,4.322707,11.0,235.203217,7.268089,7.268089,480.473694,1.0,0.0,0.679101,0.0,-99900.0,0.935467,0.762,0.762,7.268089,4.672049,4.322707,23.504158,122.735832,97.588875,-174.012314,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,199.936096,1.0,11.0,3.0,1.013366,354.603271,23.084194,0.0,0.002171,7.12547,7.12547,-0.022982
90.686165,20210722-101411,20210722,101411,-183.829987,0.0,27.0,2.0,5.0,3.0,153.741806,4.504899,11.0,108.687531,5.994764,5.994764,208.876923,1.0,0.0,0.494187,0.0,-99900.0,7.853845,0.508,0.508,5.994764,4.773767,4.504899,23.419783,122.666473,90.511955,-183.627319,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,204.981567,1.0,11.0,4.0,0.731394,5.279907,23.728491,0.0,-0.002184,6.10104,6.10104,-0.023628
91.240524,20210722-102016,20210722,102016,-192.892929,0.0,33.0,3.0,6.0,2.0,154.684967,4.807812,11.0,210.675751,7.921154,7.921154,345.637756,1.0,0.0,0.862565,0.0,-99900.0,1.420805,1.016,1.016,7.921154,5.111279,4.807812,23.338278,122.671654,91.143661,-192.709824,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,213.383499,1.0,11.0,5.0,1.712328,6.891876,24.158142,0.0,-0.002899,7.886278,7.886278,-0.023984
91.967239,20210722-102622,20210722,102622,-200.722443,0.0,39.0,2.0,7.0,1.0,155.383286,5.078563,11.0,274.966309,8.343332,8.343332,479.88858,1.0,0.0,0.76214,0.0,-99900.0,2.023731,4.064,4.064,8.343332,5.312257,5.078563,23.267864,122.678574,91.923782,-200.450195,45.0,0.0,45.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,220.7883,1.0,11.0,6.0,2.74894,8.390106,24.420177,-99900.0,-0.003563,8.870063,8.870063,-0.024159
92.366249,20210722-103228,20210722,103228,-209.085495,0.0,45.0,3.0,8.0,1.0,156.165558,5.380356,11.0,175.059204,7.012462,7.012462,281.175201,1.0,0.0,0.482918,0.0,-99900.0,1.769238,2.794,2.794,7.012462,5.545825,5.380356,23.192654,122.682236,92.344765,-209.004578,43.0,0.0,43.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,228.578796,1.0,11.0,7.0,1.308453,7.863159,24.044197,-99900.0,-0.003289,6.907112,6.907112,-0.023818
94.522911,20210722-103834,20210722,103834,-216.289398,0.0,51.0,2.0,9.0,8.0,156.393311,5.670702,11.0,153.383743,7.356262,7.356262,263.63504,1.0,0.0,0.520175,0.0,-99900.0,3.685701,-25374.6,-25374.6,7.356262,5.818512,5.670702,23.127869,122.703255,94.542526,-216.201797,41.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,236.041702,1.0,11.0,8.0,0.0,1.963562,22.884846,-99900.0,-0.000784,8.145926,8.145926,-0.022871
94.686333,20210722-104440,20210722,104440,-224.39447,0.0,54.0,0.0,10.0,27.0,157.121643,5.965544,11.0,124.929367,7.745008,7.745008,514.529785,1.0,0.0,0.408895,0.0,-99900.0,0.523031,-25374.6,-25374.6,7.745008,6.153357,5.965544,23.054977,122.704605,94.623451,-224.226303,39.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,243.55365,1.0,11.0,9.0,0.0,353.864075,22.100161,-99900.0,0.002362,3.931907,3.931907,-0.021974
