3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
180.919342,20210722-085455,20210722,085455,-123.054779,0.0,0.0,0.0,2.0,40.0,124.221825,5.009929,5.0,53.465317,6.595163,6.595163,301.757294,1.0,0.0,0.415587,0.0,-99900.0,0.0,0.0,0.0,6.595163,5.15804,5.009929,23.966351,123.560326,180.912155,-122.845497,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,218.801941,1.0,5.0,1.0,0.0,21.6922,-99900.0,0.0,-99900.0,3.410846,3.410846,-99900.0
179.272873,20210722-090102,20210722,090102,-131.939499,0.0,3.0,3.0,1.0,37.0,126.351662,5.151002,5.0,100.097168,6.751901,6.751901,339.740204,1.0,0.0,0.415744,0.0,-99900.0,2.987887,0.0,0.0,6.751901,5.351838,5.151002,23.886448,123.543495,179.255249,-131.736389,40.0,0.0,40.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,222.591095,1.0,5.0,0.0,0.0,10.498657,24.621109,-99900.0,-0.004486,4.54972,4.54972,-0.024209
177.775421,20210722-090708,20210722,090708,-140.381638,0.0,9.0,3.0,2.0,27.0,128.296341,5.303585,5.0,133.539413,6.896883,6.896883,498.738373,1.0,0.0,0.355287,0.0,-99900.0,0.442594,0.0,0.0,6.896883,5.488033,5.303585,23.810526,123.528168,177.820953,-140.273544,40.0,0.0,40.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,226.519547,1.0,5.0,1.0,0.0,10.284393,24.024494,-99900.0,-0.004289,4.592664,4.592664,-0.023639
175.227249,20210722-091314,20210722,091314,-146.944122,0.0,15.0,3.0,3.0,6.0,129.982605,5.390621,5.0,155.52623,6.938209,6.938209,431.562012,1.0,0.0,0.342828,0.0,-99900.0,2.306925,1.27,1.27,6.938209,5.50096,5.390621,23.751509,123.502586,175.3358,-146.935745,41.0,0.0,41.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,228.68573,1.0,5.0,2.0,0.291789,13.05246,22.450899,-99900.0,-0.00507,5.50076,5.50076,-0.021871
173.254456,20210722-091919,20210722,091919,-155.939316,0.0,21.0,3.0,4.0,25.0,131.988785,5.557995,5.0,298.225983,7.188126,7.188126,756.035828,1.0,0.0,0.292152,0.0,-99900.0,1.019666,-25374.6,-25374.6,7.188126,5.727003,5.557995,23.670612,123.482559,173.324158,-155.852097,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,233.096924,1.0,5.0,3.0,0.0,13.487946,22.695501,-99900.0,-0.005294,8.397192,8.397192,-0.02207
172.164459,20210722-092525,20210722,092525,-164.724838,0.0,27.0,3.0,5.0,24.0,133.734619,5.754256,5.0,131.634811,7.495686,7.495686,243.782684,1.0,0.0,0.572235,0.0,-99900.0,1.104307,-25374.6,-25374.6,7.495686,5.947603,5.754256,23.591602,123.471268,172.049179,-164.572205,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,238.274796,1.0,5.0,4.0,0.0,12.646423,22.95978,-99900.0,-0.005027,6.545721,6.545721,-0.022403
169.244797,20210722-093131,20210722,093131,-173.060394,0.0,33.0,3.0,6.0,23.0,135.638321,5.909182,5.0,357.818298,7.653435,7.653435,979.53717,1.0,0.0,0.284351,0.0,-99900.0,1.088442,-25374.6,-25374.6,7.653435,6.04212,5.909182,23.51664,123.441956,169.228561,-172.951859,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,242.061356,1.0,5.0,5.0,0.0,13.479858,23.105705,-99900.0,-0.005386,6.420609,6.420609,-0.022469
166.577179,20210722-093736,20210722,093736,-180.652512,0.0,39.0,3.0,7.0,17.0,137.320953,6.056984,5.0,157.599319,7.816816,7.816816,321.418671,1.0,0.0,0.532495,0.0,-99900.0,0.929222,-25374.6,-25374.6,7.816816,6.23349,6.056984,23.44836,123.415192,166.558167,-180.540878,44.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,245.730118,1.0,5.0,6.0,0.0,14.578094,23.293354,-99900.0,-0.005863,7.586246,7.586246,-0.022543
167.020432,20210722-094342,20210722,094342,-188.049957,0.0,45.0,3.0,8.0,17.0,138.38913,6.29364,5.0,270.872009,8.147358,8.147358,524.311829,1.0,0.0,0.405051,0.0,-99900.0,2.726119,-25374.6,-25374.6,8.147358,6.385311,6.29364,23.381834,123.419136,167.014999,-187.92041,43.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,251.51265,1.0,5.0,7.0,0.0,12.525574,23.054314,-99900.0,-0.005,6.989368,6.989368,-0.022506
165.682907,20210722-094948,20210722,094948,-193.858948,0.0,51.0,3.0,9.0,19.0,139.480591,6.423037,5.0,84.598579,8.333183,8.333183,225.638306,1.0,0.0,0.80321,0.0,-99900.0,2.477489,-25374.6,-25374.6,8.333183,6.764139,6.423037,23.329594,123.405609,165.454865,-193.413315,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,255.013962,1.0,5.0,8.0,0.0,11.828979,21.323496,-99900.0,-0.004371,6.244369,6.244369,-0.020871
164.560013,20210722-095553,20210722,095553,-197.680603,0.0,57.0,2.0,10.0,18.0,140.223846,6.532372,5.0,514.211426,8.398647,8.398647,1570.044434,1.0,0.0,0.249813,0.0,-99900.0,3.825443,-25374.6,-25374.6,8.398647,6.629626,6.532372,23.295223,123.394325,164.529648,-197.607574,39.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,257.211243,1.0,5.0,9.0,0.0,11.626099,18.71447,-99900.0,-0.003771,6.047813,6.047813,-0.018331
164.671875,20210722-100159,20210722,100159,-203.889389,1.0,4.0,3.0,11.0,13.0,141.073486,6.741463,5.0,456.224518,8.592155,8.592155,1260.546265,1.0,0.0,0.270817,0.0,-99900.0,1.573802,-25374.6,-25374.6,8.592155,6.813169,6.741463,23.239388,123.395073,164.671936,-203.868042,44.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,262.083405,1.0,5.0,10.0,0.0,8.157074,16.659861,-99900.0,-0.002364,7.169231,7.169231,-0.016491
