3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
22.755087,20210722-070513,20210722,070513,40.96389,0.0,3.0,3.0,1.0,34.0,29.051725,2.109272,53.0,16.939774,2.624863,2.624863,48.752773,1.0,0.0,0.215538,0.0,-99900.0,0.0,0.0,0.0,2.624863,2.160268,2.109272,25.441397,121.998276,22.866035,41.010826,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,46.85973,1.0,53.0,0.0,0.0,23.766418,-99900.0,0.0,-99900.0,0.683372,0.683372,-99900.0
19.91218,20210722-071119,20210722,071119,36.150928,0.0,9.0,3.0,2.0,15.0,28.846209,0.778764,53.0,31.879452,2.910329,2.910329,48.007336,1.0,0.0,0.865413,0.0,-99900.0,1.084912,0.0,0.0,2.910329,1.469551,1.806051,25.398113,121.969971,20.439987,36.941711,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,41.272079,1.0,53.0,1.0,0.017315,30.569366,15.272919,0.0,-0.007768,2.91574,2.91574,-0.01315
16.670465,20210722-071725,20210722,071725,29.537245,0.0,15.0,3.0,3.0,5.0,29.439791,3.098644,53.0,49.260387,4.756993,4.756993,64.897682,1.0,0.0,0.837355,0.0,-99900.0,1.844343,0.762,0.762,4.756993,3.418164,3.098644,25.338634,121.937698,16.75848,29.598591,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,33.916859,1.0,53.0,2.0,1.358002,28.035034,17.685364,0.0,-0.008312,3.394272,3.394272,-0.01561
9.260968,20210722-072331,20210722,072331,26.329306,0.0,21.0,2.0,4.0,6.0,19.378571,0.518316,53.0,101.536087,4.46123,4.46123,132.965759,1.0,0.0,2.172333,0.0,-99900.0,5.034806,0.762,0.762,4.46123,2.21102,0.518316,25.309786,121.864044,9.250142,27.931713,50.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,27.910534,1.0,53.0,3.0,1.077845,40.876984,18.254574,0.0,-0.011946,5.733576,5.733576,-0.013803
7.513206,20210722-072937,20210722,072937,20.112064,0.0,27.0,2.0,5.0,7.0,20.483988,0.55543,53.0,89.674706,4.730886,4.730886,102.426193,1.0,0.0,2.237208,0.0,-99900.0,2.871785,0.508,0.508,4.730886,1.701661,0.708234,25.253872,121.846657,7.753117,21.625343,49.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,21.469593,1.020408,53.0,4.0,0.659397,38.601929,18.014036,0.0,-0.011239,7.101274,7.101274,-0.014078
5.363286,20210722-073542,20210722,073542,14.032391,0.0,33.0,2.0,6.0,3.0,20.917189,0.184058,53.0,65.338081,4.264769,-4.264769,70.346565,-1.0,0.0,2.060487,0.0,-99900.0,2.167379,1.016,-1.016,4.264769,1.782173,1.356566,25.199196,121.825279,6.395153,17.399529,48.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,1.0,-1.0,0.0,-0.0,15.022411,1.020833,53.0,5.0,1.656792,35.277679,17.791042,0.0,-0.010275,9.385583,-9.385583,-0.014524
3.440751,20210722-074148,20210722,074148,7.938747,0.0,39.0,2.0,7.0,18.0,23.432449,0.122667,53.0,41.893959,2.264732,-2.264732,41.084915,-1.0,0.0,0.944416,0.0,-99900.0,1.99595,0.0,-0.0,2.264732,1.109616,1.354248,25.144394,121.806175,4.598245,11.980685,49.0,0.0,51.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,1.0,-1.0,0.0,-0.0,8.65231,1.040816,53.0,6.0,0.0,31.345123,17.72431,0.0,-0.00922,6.209472,-6.209472,-0.015137
1.260924,20210722-074754,20210722,074754,2.876109,0.0,45.0,3.0,8.0,17.0,23.673216,0.057459,53.0,15.718447,0.836294,-0.836294,18.870258,-1.0,0.0,0.314483,0.0,-99900.0,1.286659,0.0,-0.0,0.836294,0.407967,0.260017,25.098866,121.784523,2.553375,5.748758,51.0,0.0,51.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,1.0,-1.0,0.0,-0.0,3.140372,1.0,53.0,7.0,0.0,26.420044,16.970848,0.0,-0.007551,2.354187,-2.354187,-0.015198
-0.698105,20210722-075400,20210722,075400,-2.650394,0.0,51.0,3.0,9.0,14.0,194.756729,0.041525,53.0,15.566836,1.249914,-1.249914,26.919785,-1.0,0.0,0.589244,0.0,-99900.0,0.805503,0.0,-0.0,1.249914,0.557616,0.15913,25.049164,121.765076,4.450405,-1.167932,48.0,0.0,49.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,1.0,-1.0,0.0,-0.0,2.740792,1.020833,53.0,8.0,0.0,19.171722,16.762987,0.0,-0.005505,1.915752,-1.915752,-0.015833
-1.465303,20210722-080006,20210722,080006,-7.592606,0.0,57.0,3.0,10.0,17.0,190.92366,0.04242,53.0,20.857668,2.293051,2.293051,53.675369,1.0,0.0,0.753004,0.0,-99900.0,1.511218,0.0,0.0,2.293051,0.948069,0.734513,25.004719,121.757462,-0.548545,-4.664886,45.0,0.0,47.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,7.732708,1.044444,53.0,9.0,0.0,18.624115,15.957163,0.0,-0.005096,2.577595,2.577595,-0.015122
