3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-81.823135,20210722-094948,20210722,094948,70.982361,0.0,3.0,3.0,1.0,12.0,310.942078,1.701323,12.0,130.00972,4.247221,4.247221,376.240051,1.0,0.0,0.411677,0.0,-99900.0,0.0,0.0,0.0,4.247221,2.073883,1.701323,25.711361,120.957458,-81.75576,70.725616,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,108.321381,1.0,12.0,0.0,0.0,26.725739,-99900.0,0.0,-99900.0,3.596276,3.596276,-99900.0
-85.699875,20210722-095553,20210722,095553,63.133522,0.0,9.0,3.0,2.0,14.0,306.37851,1.662302,12.0,39.224976,3.173931,3.173931,80.076347,1.0,0.0,0.743524,0.0,-99900.0,2.393385,0.0,0.0,3.173931,2.063083,1.662302,25.640776,120.919121,-86.177345,62.368954,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,106.443932,1.0,12.0,1.0,0.0,26.285919,23.983688,0.0,-0.010621,3.448732,3.448732,-0.021504
-90.162231,20210722-100159,20210722,100159,54.513069,0.0,15.0,2.0,3.0,15.0,301.157745,1.641247,12.0,50.714226,4.031101,4.031101,123.388046,1.0,0.0,0.680352,0.0,-99900.0,0.945142,0.0,0.0,4.031101,2.058389,1.641247,25.56325,120.874992,-90.085281,54.795364,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,105.360817,1.0,12.0,2.0,0.0,26.855255,25.25392,0.0,-0.011408,3.363042,3.363042,-0.02253
-92.146446,20210722-100805,20210722,100805,45.490162,0.0,21.0,3.0,4.0,13.0,296.274445,1.584236,12.0,19.625393,3.89917,3.89917,56.074745,1.0,0.0,1.158272,0.0,-99900.0,2.324795,0.0,0.0,3.89917,2.36793,3.014964,25.482105,120.85556,-92.196609,45.646675,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,102.763428,1.0,12.0,3.0,0.014869,22.604218,25.206432,0.0,-0.009688,3.063268,3.063268,-0.02327
-94.316338,20210722-101411,20210722,101411,40.425484,0.0,27.0,3.0,5.0,16.0,293.200897,1.578883,12.0,19.276028,2.292392,2.292392,48.352917,1.0,0.0,0.284897,0.0,-99900.0,3.716339,0.0,0.0,2.292392,1.719789,1.578883,25.436558,120.83416,-94.297752,40.520264,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,102.614769,1.0,12.0,4.0,0.0,21.756561,23.181108,0.0,-0.008592,1.94317,1.94317,-0.02153
-96.542412,20210722-102016,20210722,102016,34.678013,0.0,30.0,2.0,6.0,17.0,289.758453,1.579754,12.0,14.832951,2.281528,2.281528,43.375687,1.0,0.0,0.293797,0.0,-99900.0,2.298776,0.0,0.0,2.281528,1.70569,1.579754,25.384871,120.812225,-96.592964,34.811943,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,102.581688,1.0,12.0,5.0,0.0,21.410767,21.706835,0.0,-0.007924,1.49282,1.49282,-0.020209
-99.087059,20210722-102622,20210722,102622,28.359663,0.0,0.0,0.0,6.0,19.0,285.971802,1.595207,12.0,13.947784,3.013503,3.013503,61.280914,1.0,0.0,0.469731,0.0,-99900.0,1.135194,0.0,0.0,3.013503,2.133631,3.013503,25.328047,120.787155,-99.131363,29.311693,36.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,103.06559,1.083333,12.0,5.0,0.0,20.309418,19.860437,0.0,-0.006893,1.558884,1.558884,-0.018626
-101.954514,20210722-103228,20210722,103228,22.452431,0.0,0.0,0.0,1.0,26.0,282.419617,1.618804,12.0,20.530022,3.947379,3.947379,106.746422,1.0,0.0,0.789461,0.0,-99900.0,0.972826,0.0,0.0,3.947379,2.24709,3.082569,25.274923,120.758881,-101.824707,23.211412,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,104.397484,1.0,12.0,0.0,0.0,20.664062,18.154472,0.0,-0.006406,2.195127,2.195127,-0.016987
-105.119263,20210722-103834,20210722,103834,17.11133,0.0,3.0,3.0,1.0,19.0,279.245728,1.659442,12.0,21.446144,4.108953,4.108953,107.596756,1.0,0.0,0.886266,0.0,-99900.0,1.19986,0.0,0.0,4.108953,2.387761,2.403332,25.226889,120.727638,-104.735489,17.885372,38.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,106.502853,1.026316,12.0,0.0,0.0,24.078125,17.2938,0.0,-0.007056,2.42347,2.42347,-0.015789
-108.036491,20210722-104440,20210722,104440,12.189786,0.0,0.0,0.0,1.0,31.0,276.437683,1.708228,12.0,12.284806,3.253254,3.253254,74.919815,1.0,0.0,0.749447,0.0,-99900.0,0.920345,0.0,0.0,3.253254,2.132166,3.253254,25.182629,120.698845,-107.672226,12.588582,36.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,108.722008,1.027778,12.0,0.0,0.0,25.944305,17.350637,0.0,-0.007591,1.544441,1.544441,-0.015602
