3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
15.177742,20210722-065907,20210722,065907,67.746284,0.0,0.0,0.0,2.0,36.0,12.62788,1.41002,43.0,6.7635,1.864143,1.864143,25.539753,1.0,0.0,0.196437,0.0,-99900.0,0.0,0.0,0.0,1.864143,1.53397,1.864143,25.682257,121.92308,15.204852,68.026627,38.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.425667,1.026316,43.0,1.0,0.0,20.936676,-99900.0,0.0,-99900.0,0.562758,0.562758,-99900.0
12.163033,20210722-070513,20210722,070513,63.773579,0.0,3.0,3.0,1.0,20.0,10.79787,0.873625,43.0,19.598475,2.873883,2.873883,49.894733,1.0,0.0,1.01215,0.0,-99900.0,2.087088,0.0,0.0,2.873883,1.594196,2.258681,25.64653,121.893051,12.975954,65.601997,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,64.923096,1.02381,43.0,0.0,0.0,37.193237,13.625902,0.0,-0.008237,2.756061,2.756061,-0.010854
9.077428,20210722-071119,20210722,071119,58.431797,0.0,9.0,4.0,2.0,22.0,8.83034,1.178756,43.0,30.631432,3.326327,3.326327,63.50293,1.0,0.0,0.845605,0.0,-99900.0,1.370902,0.0,0.0,3.326327,1.725383,2.057531,25.59849,121.862328,9.533467,59.359501,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,59.132687,1.0,43.0,1.0,0.0,33.221863,15.210878,0.0,-0.008334,2.179284,2.179284,-0.012725
6.524345,20210722-071725,20210722,071725,53.504368,0.0,15.0,3.0,3.0,12.0,6.952331,0.691026,43.0,44.337872,4.845648,4.845648,102.241577,1.0,0.0,1.431116,0.0,-99900.0,0.56576,0.254,0.254,4.845648,2.39075,3.045573,25.554176,121.836906,7.067765,55.485226,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,53.900692,1.022727,43.0,2.0,0.215155,31.143311,15.344761,0.0,-0.007936,5.326479,5.326479,-0.013133
4.720432,20210722-072331,20210722,072331,50.280582,0.0,21.0,3.0,4.0,10.0,5.363298,0.641112,43.0,73.426628,5.248697,5.248697,122.261566,1.0,0.0,2.119067,0.0,-99900.0,1.928024,0.508,0.508,5.248697,2.057648,2.250082,25.525185,121.818962,4.922616,52.539764,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,50.501678,1.021739,43.0,3.0,0.582654,30.432312,14.32324,0.0,-0.007255,6.917146,6.917146,-0.01235
2.634631,20210722-072937,20210722,072937,45.69038,0.0,27.0,3.0,5.0,13.0,3.300168,0.58112,43.0,80.716972,4.759402,4.759402,118.371964,1.0,0.0,1.454691,0.0,-99900.0,0.573834,0.254,0.254,4.759402,2.045016,2.024902,25.483904,121.798203,2.726233,48.777241,45.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,45.766277,1.044444,43.0,4.0,0.341706,29.364197,13.945148,0.0,-0.006838,6.515261,6.515261,-0.012153
1.037395,20210722-073542,20210722,073542,39.812031,0.0,33.0,3.0,6.0,13.0,1.492633,1.369548,43.0,44.621994,4.45437,4.45437,64.393631,1.0,0.0,1.503252,0.0,-99900.0,1.699396,0.254,0.254,4.45437,2.502395,2.30323,25.431038,121.782318,0.824007,40.246811,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,39.825542,1.0,43.0,5.0,0.294062,25.456451,13.947023,0.0,-0.005995,4.163272,4.163272,-0.012593
-1.825692,20210722-074148,20210722,074148,36.298943,0.0,39.0,2.0,7.0,12.0,357.120697,0.673343,43.0,76.610062,3.989098,3.989098,107.539627,1.0,0.0,1.31697,0.0,-99900.0,1.283984,0.508,0.508,3.989098,1.889974,2.582728,25.399445,121.753853,-1.904191,37.115982,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,36.344826,1.022222,43.0,6.0,0.520015,25.050049,13.479053,0.0,-0.005707,5.164502,5.164502,-0.012211
-3.973041,20210722-074754,20210722,074754,31.883694,0.0,45.0,3.0,8.0,19.0,352.896973,0.390515,43.0,66.966034,4.177937,4.177937,133.981537,1.0,0.0,1.370839,0.0,-99900.0,0.079664,0.0,0.0,4.177937,1.80459,1.09552,25.359737,121.732506,-4.302068,35.161415,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,32.13028,1.022222,43.0,7.0,0.034125,25.305695,13.473434,0.0,-0.005759,4.824862,4.824862,-0.012181
-6.62979,20210722-075400,20210722,075400,26.72061,0.0,51.0,2.0,9.0,18.0,346.06546,0.308577,43.0,47.884621,4.025639,4.025639,141.358124,1.0,0.0,0.984482,0.0,-99900.0,0.893485,0.0,0.0,4.025639,1.665398,1.554875,25.313305,121.706116,-5.604338,28.53162,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,27.530802,1.02381,43.0,8.0,0.067038,26.02002,14.145051,0.0,-0.006205,4.049183,4.049183,-0.012711
