3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-50.499599,20210722-060820,20210722,060820,33.333813,0.0,3.0,3.0,1.0,19.0,303.428162,0.7668,28.0,11.160168,1.604258,1.604258,20.223373,1.0,0.0,0.455293,0.0,-99900.0,0.0,0.0,0.0,1.604258,1.070598,1.18875,25.37278,121.269989,-50.285015,33.796154,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.509109,1.023256,28.0,0.0,0.0,22.918762,-99900.0,0.0,-99900.0,1.849128,1.849128,-99900.0
-52.072025,20210722-061425,20210722,061425,29.13323,0.0,9.0,0.0,2.0,18.0,299.226257,0.752927,28.0,10.352148,1.57826,1.57826,23.503691,1.0,0.0,0.38251,0.0,-99900.0,1.42718,0.0,0.0,1.57826,0.932548,0.752927,25.335003,121.254433,-51.996758,29.429869,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,59.667755,1.0,28.0,1.0,0.0,20.522644,12.288337,0.0,-0.004308,1.678746,1.678746,-0.011508
-55.774837,20210722-062031,20210722,062031,23.645071,0.0,15.0,2.0,3.0,20.0,292.974091,0.766989,28.0,26.004128,2.121657,2.121657,46.686401,1.0,0.0,0.520983,0.0,-99900.0,2.47963,0.0,0.0,2.121657,1.24214,1.615404,25.285646,121.217743,-55.414341,24.523333,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.57988,1.023256,28.0,2.0,0.0,28.569977,15.092646,0.0,-0.007218,2.488627,2.488627,-0.013255
-58.299953,20210722-062637,20210722,062637,18.667515,0.0,21.0,2.0,4.0,16.0,287.755127,0.779708,28.0,34.209469,3.494353,3.494353,63.982742,1.0,0.0,1.040169,0.0,-99900.0,0.171869,0.0,0.0,3.494353,1.428492,0.779708,25.240883,121.192757,-58.195145,19.460352,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,61.215691,1.0,28.0,3.0,0.0,28.710571,15.429497,0.0,-0.007412,3.398876,3.398876,-0.013533
-61.444004,20210722-063243,20210722,063243,13.377534,0.0,27.0,3.0,5.0,17.0,282.282898,0.812812,28.0,27.71203,3.587696,3.587696,68.041077,1.0,0.0,1.021603,0.0,-99900.0,0.547325,0.0,0.0,3.587696,1.580893,1.248007,25.19331,121.161636,-61.677395,14.379882,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,62.883419,1.0,28.0,4.0,0.0,29.167114,15.772251,0.0,-0.007687,2.701768,2.701768,-0.013772
-65.473846,20210722-064052,20210722,064052,6.392079,0.0,35.0,3.0,6.0,20.0,275.576202,0.852636,28.0,33.299488,3.847941,3.847941,101.376114,1.0,0.0,0.849848,0.0,-99900.0,0.369245,0.0,0.0,3.847941,1.374571,0.852636,25.130487,121.121773,-65.301315,6.866712,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,65.785133,1.0,28.0,5.0,0.0,29.455444,16.009819,0.0,-0.007873,1.939483,1.939483,-0.01394
-67.305115,20210722-064658,20210722,064658,0.746906,0.0,41.0,3.0,7.0,19.0,270.636017,0.873819,28.0,25.019466,2.445935,2.445935,77.64653,1.0,0.0,0.549565,0.0,-99900.0,1.182247,0.0,0.0,2.445935,1.348856,0.873819,25.07972,121.103722,-66.873917,1.170473,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,67.309258,1.0,28.0,6.0,0.0,28.560455,16.425314,0.0,-0.007853,2.109809,2.109809,-0.014427
-69.695381,20210722-065303,20210722,065303,-4.778577,0.0,47.0,2.0,8.0,16.0,266.077942,0.926004,28.0,18.035938,1.414555,1.414555,30.909224,1.0,0.0,0.235905,0.0,-99900.0,0.542255,0.0,0.0,1.414555,1.092628,1.414555,25.030027,121.080132,-69.721451,-4.236158,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.859009,1.022222,28.0,7.0,0.0,26.422791,16.281258,0.0,-0.007245,2.213993,2.213993,-0.01458
-71.949463,20210722-065907,20210722,065907,-10.471969,0.0,53.0,2.0,9.0,16.0,261.719208,0.97331,28.0,19.623026,2.020257,2.020257,32.896027,1.0,0.0,0.475394,0.0,-99900.0,0.543922,0.0,0.0,2.020257,1.210777,0.97331,24.978827,121.057907,-71.747215,-10.310364,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,72.707542,1.0,28.0,8.0,0.0,24.82019,16.448296,0.0,-0.006905,2.512445,2.512445,-0.014929
-74.86795,20210722-070513,20210722,070513,-15.904964,0.0,59.0,3.0,10.0,21.0,258.006622,1.047744,28.0,22.336607,2.796913,2.796913,51.448788,1.0,0.0,0.741369,0.0,-99900.0,0.392652,0.0,0.0,2.796913,1.499564,2.124346,24.929966,121.029083,-74.977806,-15.342204,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,76.538734,1.0,28.0,9.0,0.0,23.762756,16.503086,0.0,-0.00665,2.494134,2.494134,-0.015104
