3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-20.464277,20210722-074148,20210722,074148,-9.355557,0.0,3.0,3.0,1.0,37.0,245.432037,0.225702,50.0,3.225112,0.554389,0.554389,10.564316,1.0,0.0,0.130952,0.0,-99900.0,0.0,0.0,0.0,0.554389,0.363795,0.386998,24.988865,121.568886,-20.276043,-9.041486,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,22.501402,1.0,50.0,0.0,0.0,25.815613,-99900.0,0.0,-99900.0,0.410859,0.410859,-99900.0
-22.652174,20210722-074754,20210722,074754,-12.583888,0.0,9.0,3.0,2.0,26.0,240.94693,0.249461,50.0,8.313388,1.439025,1.439025,28.830845,1.0,0.0,0.363001,0.0,-99900.0,2.67461,0.0,0.0,1.439025,0.732598,0.694806,24.959831,121.547195,-21.571566,-11.022939,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,25.912838,1.0,50.0,1.0,0.0,34.12619,10.655414,0.0,-0.005978,0.991606,0.991606,-0.008821
-25.115997,20210722-075400,20210722,075400,-19.397696,0.0,15.0,2.0,3.0,20.0,232.320511,0.350177,50.0,14.239463,2.95237,2.95237,48.832916,1.0,0.0,1.393144,0.0,-99900.0,3.596071,0.0,0.0,2.95237,1.606761,1.379266,24.898554,121.522804,-26.916088,-17.945024,40.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,31.734585,1.075,50.0,2.0,0.0,24.854492,15.119133,0.0,-0.006355,2.039961,2.039961,-0.013719
-26.261904,20210722-080006,20210722,080006,-24.593534,0.0,21.0,3.0,4.0,11.0,226.879303,1.182669,50.0,37.150871,4.293719,4.293719,83.043068,1.0,0.0,1.524097,0.0,-99900.0,1.192825,0.254,0.254,4.293719,2.108433,3.415408,24.851826,121.51149,-26.168753,-23.402735,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,35.979572,1.0,50.0,3.0,0.145845,20.707733,15.343045,0.0,-0.005425,3.151797,3.151797,-0.014352
-27.745853,20210722-080612,20210722,080612,-30.154757,0.0,27.0,3.0,5.0,19.0,222.61795,1.385724,50.0,60.304726,4.885957,4.885957,107.597137,1.0,0.0,1.231971,0.0,-99900.0,0.588953,0.0,0.0,4.885957,2.338649,2.301057,24.801813,121.496819,-27.622137,-29.886797,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,40.977333,1.045455,50.0,4.0,0.05977,18.72641,15.465715,0.0,-0.004965,3.540983,3.540983,-0.014647
-29.294436,20210722-081217,20210722,081217,-34.657166,0.0,33.0,3.0,6.0,8.0,220.20694,0.51383,50.0,62.04821,5.257211,5.257211,108.294037,1.0,0.0,1.854967,0.0,-99900.0,0.884005,0.762,0.762,5.257211,2.6892,2.023549,24.761322,121.481514,-29.171774,-33.335117,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,45.379326,1.045455,50.0,5.0,0.861545,18.184753,15.159157,0.0,-0.004731,6.500634,6.500634,-0.014402
-30.932615,20210722-081823,20210722,081823,-39.448242,0.0,39.0,3.0,7.0,7.0,218.10144,0.544412,50.0,68.455284,4.708345,4.708345,93.579224,1.0,0.0,1.626983,0.0,-99900.0,0.489057,0.762,0.762,4.708345,2.488315,2.92786,24.718235,121.465317,-30.418144,-35.025852,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,50.129738,1.0,50.0,6.0,0.877176,16.620636,15.135189,0.0,-0.004329,6.604137,6.604137,-0.014503
-33.07373,20210722-082429,20210722,082429,-44.983242,0.0,45.0,3.0,8.0,6.0,216.325348,1.942419,50.0,99.508263,5.269481,5.269481,148.752167,1.0,0.0,1.061288,0.0,-99900.0,0.601133,0.762,0.762,5.269481,2.612247,1.942419,24.668457,121.44416,-33.134953,-44.502106,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,55.833359,1.0,50.0,7.0,1.027745,17.365326,14.487031,0.0,-0.004324,4.29066,4.29066,-0.013827
-35.410019,20210722-083034,20210722,083034,-50.620422,0.0,51.0,3.0,9.0,14.0,214.973907,2.179314,50.0,90.499939,4.629963,4.629963,128.666153,1.0,0.0,0.753106,0.0,-99900.0,0.96088,0.254,0.254,4.629963,2.532624,2.179314,24.617762,121.421066,-35.324944,-50.412327,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,61.77618,1.0,50.0,8.0,0.164268,19.451477,14.86843,0.0,-0.004951,3.056099,3.056099,-0.01402
-37.741859,20210722-083640,20210722,083640,-56.265644,0.0,57.0,3.0,10.0,15.0,213.853256,2.422177,50.0,65.142723,3.982126,3.982126,108.012741,1.0,0.0,0.569824,0.0,-99900.0,0.730904,0.254,0.254,3.982126,2.736175,2.422177,24.566994,121.398033,-37.893635,-56.053436,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,67.751534,1.0,50.0,9.0,0.102512,20.957886,15.39529,0.0,-0.005507,2.120269,2.120269,-0.014377
