3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-23.646717,20210722-083640,20210722,083640,-24.658834,0.0,3.0,3.0,1.0,30.0,223.800003,0.362128,36.0,8.443951,1.976822,1.976822,34.465256,1.0,0.0,0.847106,0.0,-99900.0,0.0,0.0,0.0,1.976822,1.081324,1.156037,24.851238,121.53743,-23.480526,-23.570496,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,34.16468,1.025,36.0,0.0,0.0,23.880829,-99900.0,0.0,-99900.0,1.221549,1.221549,-99900.0
-25.42684,20210722-084246,20210722,084246,-29.591686,0.0,9.0,3.0,2.0,33.0,220.671356,0.681875,36.0,9.284792,1.73941,1.73941,32.334312,1.0,0.0,0.372219,0.0,-99900.0,1.305355,0.0,0.0,1.73941,1.188887,1.73941,24.806877,121.519814,-24.818644,-28.218445,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,39.015282,1.0,36.0,1.0,0.0,19.843018,14.328642,0.0,-0.004864,1.139024,1.139024,-0.013478
-27.452806,20210722-084850,20210722,084850,-34.328251,0.0,15.0,3.0,3.0,26.0,218.650162,1.473069,36.0,19.936249,3.329007,3.329007,73.907188,1.0,0.0,0.73109,0.0,-99900.0,0.306591,0.0,0.0,3.329007,1.849974,1.473069,24.76428,121.499771,-27.319162,-33.293312,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,43.955494,1.0,36.0,2.0,0.0,21.484161,14.235048,0.0,-0.005213,1.22103,1.22103,-0.013246
-29.32766,20210722-085455,20210722,085455,-39.662212,0.0,21.0,3.0,4.0,25.0,216.480881,0.523726,36.0,22.784821,3.749477,3.749477,73.681427,1.0,0.0,1.041107,0.0,-99900.0,0.499969,0.0,0.0,3.749477,2.102177,1.714252,24.716311,121.481232,-29.510046,-33.944641,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,49.327503,1.025,36.0,3.0,0.0,20.972229,14.600203,0.0,-0.005226,2.526454,2.526454,-0.013633
-31.02545,20210722-090102,20210722,090102,-44.894123,0.0,27.0,3.0,5.0,32.0,214.647934,1.916964,36.0,33.319305,3.979681,3.979681,92.876617,1.0,0.0,0.683576,0.0,-99900.0,0.317279,0.0,0.0,3.979681,2.158224,1.916964,24.66926,121.464462,-30.887604,-45.293587,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,54.571613,1.0,36.0,4.0,0.0,20.261627,14.748354,0.0,-0.005107,1.466444,1.466444,-0.013836
-32.785378,20210722-090708,20210722,090708,-48.47036,0.0,33.0,3.0,6.0,15.0,214.074783,2.060856,36.0,40.509277,4.316103,4.316103,107.76712,1.0,0.0,1.058569,0.0,-99900.0,1.491662,0.254,0.254,4.316103,2.504394,2.652421,24.637096,121.44706,-32.611317,-48.60918,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,58.517151,1.0,36.0,5.0,0.114123,20.703674,14.230601,0.0,-0.005031,2.458642,2.458642,-0.013312
-34.499222,20210722-091314,20210722,091314,-53.217854,0.0,39.0,3.0,7.0,16.0,212.954239,2.230193,36.0,40.035713,4.766798,4.766798,75.05732,1.0,0.0,1.295581,0.0,-99900.0,0.178248,0.254,0.254,4.766798,2.809132,2.230193,24.594402,121.43013,-34.382244,-52.606464,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,63.42189,1.0,36.0,6.0,0.2391,20.823975,13.855985,0.0,-0.004926,2.563335,2.563335,-0.012951
-35.78603,20210722-091919,20210722,091919,-59.855961,0.0,45.0,3.0,8.0,16.0,210.874252,2.493106,36.0,42.793785,4.169727,4.169727,77.293961,1.0,0.0,0.850202,0.0,-99900.0,1.978203,0.254,0.254,4.169727,2.839512,3.25128,24.534704,121.417465,-35.596542,-59.599121,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.737907,1.0,36.0,7.0,0.116241,18.928528,14.18655,0.0,-0.004602,2.021625,2.021625,-0.013419
-37.759884,20210722-092525,20210722,092525,-66.500648,0.0,51.0,3.0,9.0,14.0,209.588791,2.769824,36.0,36.454849,3.643549,3.643549,80.531578,1.0,0.0,0.35571,0.0,-99900.0,1.757203,0.254,0.254,3.643549,2.936243,3.643549,24.474947,121.397995,-37.753349,-66.182465,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,76.473167,1.0,36.0,8.0,0.215782,17.557007,15.053945,0.0,-0.004541,1.591684,1.591684,-0.014353
-42.139851,20210722-093131,20210722,093131,-67.929459,0.0,54.0,0.0,10.0,34.0,211.813629,2.917587,36.0,25.869829,3.787816,3.787816,108.42131,1.0,0.0,0.219277,0.0,-99900.0,4.691714,0.0,0.0,3.787816,3.159569,3.787816,24.462097,121.354637,-42.38195,-67.558235,37.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,79.938591,1.027027,36.0,9.0,0.0,22.200623,14.841275,0.0,-0.005608,0.809687,0.809687,-0.013741
