3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
171.414551,20210722-064052,20210722,064052,-119.17939,0.0,4.0,4.0,1.0,32.0,124.809433,4.643267,77.0,56.124943,6.137258,6.137258,172.345078,1.0,0.0,0.566703,0.0,-99900.0,0.0,0.0,0.0,6.137258,4.916003,4.643267,24.001202,123.466614,171.587418,-118.65332,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,208.774216,1.0,77.0,0.0,0.0,23.253479,-99900.0,0.0,-99900.0,4.314711,4.314711,-99900.0
170.247955,20210722-064658,20210722,064658,-128.37648,0.0,7.0,0.0,2.0,39.0,127.018036,4.807177,77.0,85.004356,6.322312,6.322312,325.595673,1.0,0.0,0.386232,0.0,-99900.0,3.194047,0.0,0.0,6.322312,4.967813,4.807177,23.918491,123.454529,170.282623,-128.221024,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,213.224976,1.0,77.0,1.0,0.0,7.229004,25.330061,0.0,-0.003187,3.746256,3.746256,-0.025129
169.061127,20210722-065303,20210722,065303,-139.248688,0.0,3.0,2.0,1.0,12.0,129.476578,5.021086,77.0,171.926117,6.5697,6.5697,458.9198,1.0,0.0,0.330583,0.0,-99900.0,1.700387,0.254,0.254,6.5697,5.178615,5.021086,23.820715,123.442146,169.090118,-139.141342,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,219.024796,1.0,77.0,0.0,0.2405,6.688477,27.641607,0.0,-0.003219,5.165521,5.165521,-0.027453
167.199448,20210722-065907,20210722,065907,-152.59317,0.0,9.0,2.0,2.0,1.0,132.384567,5.293461,77.0,180.516541,8.533918,8.533918,184.827209,1.0,0.0,1.29274,0.0,-99900.0,3.421663,5.588,5.588,8.533918,5.559343,5.293461,23.700705,123.422974,167.108612,-152.483948,46.0,0.0,46.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,226.363281,1.0,77.0,1.0,5.016723,7.095795,30.673771,-99900.0,-0.003789,10.741928,10.741928,-0.030439
167.691406,20210722-070513,20210722,070513,-161.698578,0.0,15.0,3.0,3.0,14.0,133.957367,5.5482,77.0,364.163269,8.886037,8.886037,466.782288,1.0,0.0,0.813945,0.0,-99900.0,2.769805,-25374.6,-25374.6,8.886037,5.78439,5.5482,23.618818,123.427299,167.645264,-161.582886,44.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,232.952438,1.0,77.0,2.0,0.0,5.486206,30.060635,-99900.0,-0.002874,12.656713,12.656713,-0.029923
167.95256,20210722-071119,20210722,071119,-171.722397,0.0,21.0,3.0,4.0,17.0,135.635544,5.833714,77.0,390.236603,9.246466,9.246466,571.105469,1.0,0.0,0.763115,0.0,-99900.0,1.607857,-25374.6,-25374.6,9.246466,6.030993,5.833714,23.528671,123.429283,167.923004,-171.589203,37.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,240.201263,1.0,77.0,3.0,0.0,4.081665,29.487272,-99900.0,-0.002099,11.179738,11.179738,-0.029412
166.034592,20210722-071725,20210722,071725,-180.613235,0.0,27.0,3.0,5.0,25.0,137.407898,6.030555,77.0,302.374268,7.857156,7.857156,587.540039,1.0,0.0,0.404251,0.0,-99900.0,2.198718,-25374.6,-25374.6,7.857156,6.292451,6.030555,23.448715,123.409843,165.850723,-180.306366,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,245.333694,1.0,77.0,4.0,0.0,3.717834,28.81069,-99900.0,-0.001868,6.956577,6.956577,-0.02875
165.947418,20210722-072331,20210722,072331,-188.101807,0.0,33.0,3.0,6.0,21.0,138.580246,6.264875,77.0,461.983063,8.079538,8.079538,686.539185,1.0,0.0,0.372579,0.0,-99900.0,3.092047,-25374.6,-25374.6,8.079538,6.434375,6.264875,23.381369,123.408554,165.896027,-187.980927,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,250.840256,1.0,77.0,5.0,0.0,3.180115,26.472399,-99900.0,-0.001469,9.052586,9.052586,-0.026432
165.135376,20210722-072937,20210722,072937,-198.005661,0.0,39.0,3.0,7.0,21.0,140.171799,6.555441,77.0,451.430786,10.361023,10.361023,678.181702,1.0,0.0,0.821476,0.0,-99900.0,0.358079,-25374.6,-25374.6,10.361023,6.749857,6.555441,23.292301,123.399979,165.030319,-197.903351,42.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,257.829285,1.0,77.0,6.0,0.0,3.172791,24.640682,-99900.0,-0.001364,11.156341,11.156341,-0.024603
165.949203,20210722-073542,20210722,073542,-208.065536,0.0,45.0,2.0,8.0,26.0,141.424454,6.909762,77.0,308.342743,10.795385,10.795385,547.446716,1.0,0.0,0.964564,0.0,-99900.0,1.698924,-25374.6,-25374.6,10.795385,7.098461,6.909762,23.20183,123.407417,165.806122,-207.979004,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,-99900.0,266.139832,1.0,77.0,7.0,0.0,3.104004,24.883804,-99900.0,-0.001347,9.975834,9.975834,-0.024847
