3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-45.175259,20210722-064052,20210722,064052,-3.949366,0.0,0.0,0.0,1.0,36.0,265.003937,0.52097,83.0,6.397971,2.05892,2.05892,30.250818,1.0,0.0,0.846613,0.0,-99900.0,0.0,0.0,0.0,2.05892,1.111703,2.05892,25.037483,121.323532,-44.691505,-2.957161,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,45.347561,1.0,83.0,0.0,0.0,23.253479,-99900.0,0.0,-99900.0,1.121867,1.121867,-99900.0
-47.479004,20210722-064658,20210722,064658,-8.698268,0.0,3.0,3.0,1.0,25.0,259.618622,0.565539,83.0,12.101747,2.202052,2.202052,41.643021,1.0,0.0,0.759823,0.0,-99900.0,1.421097,0.0,0.0,2.202052,1.162877,1.684291,24.994776,121.300743,-47.195992,-7.665116,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,48.269199,1.025,83.0,0.0,0.0,25.87854,14.42132,0.0,-0.006294,1.60217,1.60217,-0.012975
-50.071037,20210722-065303,20210722,065303,-13.479182,0.0,41.0,3.0,1.0,17.0,254.933334,0.616548,83.0,23.243149,2.947352,2.947352,52.880764,1.0,0.0,1.110466,0.0,-99900.0,0.297993,0.0,0.0,2.947352,1.497678,1.827446,24.95178,121.275101,-49.706337,-12.201119,43.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,51.853615,1.046512,83.0,0.0,0.0,27.19046,14.656266,0.0,-0.006697,2.973589,2.973589,-0.013037
-53.314232,20210722-065907,20210722,065907,-17.78392,0.0,3.0,3.0,1.0,18.0,251.553207,0.679559,83.0,38.790367,3.165497,3.165497,66.146645,1.0,0.0,1.182886,0.0,-99900.0,0.918056,0.0,0.0,3.165497,1.431992,1.504398,24.913067,121.242996,-52.697941,-16.477633,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,56.202091,1.0,83.0,0.0,0.0,30.262299,14.681705,0.0,-0.007399,3.478059,3.478059,-0.012681
-56.114029,20210722-070513,20210722,070513,-22.896074,0.0,15.0,3.0,1.0,16.0,247.803436,0.759137,83.0,57.224182,3.5117,3.5117,108.797409,1.0,0.0,0.929946,0.0,-99900.0,0.47977,0.0,0.0,3.5117,1.616654,1.189099,24.867092,121.215324,-56.110291,-21.599268,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.6054,1.0,83.0,0.0,0.005691,30.53476,14.939425,0.0,-0.00759,3.809628,3.809628,-0.012868
-58.531765,20210722-071119,20210722,071119,-27.886026,0.0,59.0,3.0,1.0,16.0,244.52594,0.824489,83.0,61.433678,4.955296,4.955296,118.168762,1.0,0.0,1.309919,0.0,-99900.0,0.456515,0.0,0.0,4.955296,1.831744,0.824489,24.822218,121.191444,-58.279556,-26.493835,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,64.835159,1.0,83.0,0.0,0.016941,29.935608,15.036769,0.0,-0.007504,4.667915,4.667915,-0.013031
-59.244385,20210722-071725,20210722,071725,-31.918812,0.0,21.0,2.0,1.0,18.0,241.686035,0.865783,83.0,108.663498,4.04587,4.04587,281.879211,1.0,0.0,0.611317,0.0,-99900.0,2.162982,0.0,0.0,4.04587,1.885491,1.809038,24.78595,121.184464,-59.08107,-30.352184,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,67.295677,1.047619,83.0,0.0,0.052508,27.881958,14.546243,0.0,-0.006803,3.671062,3.671062,-0.012858
-60.806778,20210722-072331,20210722,072331,-36.550545,0.0,21.0,2.0,1.0,15.0,238.990494,0.924793,83.0,101.522453,4.455435,4.455435,201.031982,1.0,0.0,1.080471,0.0,-99900.0,0.930309,0.254,0.254,4.455435,1.939478,1.945197,24.744295,121.169067,-60.593372,-34.611553,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,70.946503,1.0,83.0,0.0,0.097717,24.414185,13.963568,0.0,-0.005772,4.429194,4.429194,-0.012715
-62.153393,20210722-072937,20210722,072937,-41.825512,0.0,3.0,3.0,1.0,23.0,236.062103,1.002895,83.0,82.268661,4.47205,4.47205,162.93187,1.0,0.0,0.933302,0.0,-99900.0,0.986108,0.0,0.0,4.47205,1.913763,1.545443,24.696857,121.15583,-62.308651,-40.11784,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,74.916069,1.0,83.0,0.0,0.0522,19.649261,13.693927,0.0,-0.004605,4.355851,4.355851,-0.012897
-64.622993,20210722-073542,20210722,073542,-47.253128,0.0,39.0,3.0,1.0,28.0,233.825562,1.089139,83.0,75.077248,3.918643,3.918643,180.175003,1.0,0.0,0.585484,0.0,-99900.0,1.068308,0.0,0.0,3.918643,2.123299,2.948476,24.648045,121.131477,-64.432861,-45.248039,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,80.05616,1.0,83.0,0.0,0.033905,18.094666,13.821593,0.0,-0.004293,3.439044,3.439044,-0.013138
