3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-10.011647,20210722-072331,20210722,072331,131.119904,0.0,3.0,3.0,1.0,34.0,355.633667,2.302512,2.0,38.422703,5.184453,5.184453,105.74147,1.0,0.0,1.500504,0.0,-99900.0,0.0,0.0,0.0,5.184453,3.149441,2.302512,26.25219,121.672112,-10.648585,132.363297,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,131.501572,1.0,2.0,0.0,0.0,23.695679,-99900.0,0.0,-99900.0,3.653421,3.653421,-99900.0
-13.460946,20210722-072937,20210722,072937,125.969559,0.0,9.0,3.0,2.0,32.0,353.900604,2.217493,2.0,60.131084,5.002462,5.002462,144.685989,1.0,0.0,1.240661,0.0,-99900.0,1.355101,0.0,0.0,5.002462,2.869426,2.217493,26.205872,121.637726,-15.14347,128.599106,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,126.686729,1.0,2.0,1.0,0.0,33.811096,16.936337,0.0,-0.009424,3.822778,3.822778,-0.014072
-15.634815,20210722-073542,20210722,073542,119.043388,0.0,15.0,3.0,3.0,36.0,352.517792,2.011754,2.0,60.741764,4.638936,4.638936,202.129593,1.0,0.0,1.011203,0.0,-99900.0,2.192369,0.0,0.0,4.638936,2.817661,2.011754,26.143583,121.616081,-15.767131,120.225235,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,120.065712,1.0,2.0,2.0,0.0,24.971741,18.222956,0.0,-0.007693,3.336519,3.336519,-0.016519
-16.880501,20210722-074148,20210722,074148,110.935234,0.0,21.0,3.0,4.0,31.0,351.347961,1.818547,2.0,40.730762,4.3454,4.3454,97.090462,1.0,0.0,0.631056,0.0,-99900.0,2.591726,0.0,0.0,4.3454,2.739715,3.321313,26.070665,121.603706,-16.544109,111.965897,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,112.212196,1.025,2.0,3.0,0.033035,18.654236,19.480671,0.0,-0.006231,3.277936,3.277936,-0.018457
-19.370726,20210722-074754,20210722,074754,105.350555,0.0,27.0,2.0,5.0,16.0,349.581451,1.696151,2.0,72.691261,5.160626,5.160626,148.424576,1.0,0.0,1.033162,0.0,-99900.0,1.189313,0.254,0.254,5.160626,2.624294,3.15129,26.020441,121.578918,-19.11064,106.168571,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,107.116592,1.0,2.0,4.0,0.156002,18.393707,19.184265,0.0,-0.006053,5.239167,5.239167,-0.018204
-22.096987,20210722-075400,20210722,075400,100.936844,0.0,33.0,4.0,6.0,17.0,347.651703,1.598211,2.0,43.900093,3.012525,3.012525,59.391773,1.0,0.0,0.66183,0.0,-99900.0,2.30626,0.0,0.0,3.012525,1.990473,3.012525,25.980747,121.551781,-21.705715,101.208344,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,103.327255,1.0,2.0,5.0,0.081252,19.772797,18.334236,0.0,-0.006202,3.821309,3.821309,-0.017253
-25.241488,20210722-080006,20210722,080006,95.123543,0.0,39.0,3.0,7.0,10.0,345.138824,1.496158,2.0,67.097305,5.839354,5.839354,112.1008,1.0,0.0,1.698468,0.0,-99900.0,1.008001,0.254,0.254,5.839354,2.462116,2.847532,25.928467,121.5205,-24.760378,95.687698,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,98.41555,1.0,2.0,6.0,0.346016,20.669434,17.872646,0.0,-0.006309,6.190723,6.190723,-0.016722
-28.662832,20210722-080612,20210722,080612,90.932259,0.0,45.0,3.0,8.0,10.0,342.504639,1.427114,2.0,95.374344,4.547859,4.547859,135.575546,1.0,0.0,0.983865,0.0,-99900.0,2.226805,0.254,0.254,4.547859,2.252158,2.751855,25.890774,121.486458,-28.039057,91.399452,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,95.342712,1.0,2.0,7.0,0.349049,25.784882,16.680696,0.0,-0.007256,5.703281,5.703281,-0.01502
-32.301937,20210722-081217,20210722,081217,85.494751,0.0,51.0,3.0,9.0,21.0,339.302307,1.320031,2.0,56.830067,5.252392,5.252392,113.312309,1.0,0.0,1.338333,0.0,-99900.0,0.991675,0.0,0.0,5.252392,2.566778,2.629445,25.841873,121.450264,-31.888214,84.64669,41.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,91.393478,1.073171,2.0,8.0,0.0,31.525208,16.149191,0.0,-0.008444,4.529319,4.529319,-0.013766
-34.706608,20210722-081823,20210722,081823,81.146156,0.0,57.0,2.0,10.0,16.0,336.843414,1.279733,2.0,117.084488,3.992667,3.992667,194.787033,1.0,0.0,0.71686,0.0,-99900.0,0.972626,0.0,0.0,3.992667,2.02952,1.279733,25.802765,121.426369,-34.124435,81.625999,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,88.256714,1.0,2.0,9.0,0.059867,32.838898,15.947889,0.0,-0.008648,4.804664,4.804664,-0.013399
-37.097626,20210722-082429,20210722,082429,69.094315,1.0,4.0,3.0,11.0,21.0,331.768127,2.165086,2.0,41.700733,4.63704,4.63704,84.323936,1.0,0.0,0.997239,0.0,-99900.0,7.189476,0.0,0.0,4.63704,2.881546,2.878871,25.69438,121.402725,-36.911884,68.74334,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,78.423584,1.0,2.0,10.0,0.088069,27.389343,18.175894,0.0,-0.008362,2.671551,2.671551,-0.016138
-39.601398,20210722-083034,20210722,083034,64.418709,1.0,10.0,2.0,12.0,17.0,328.418945,1.0911,2.0,52.508194,4.411271,4.411271,104.164116,1.0,0.0,1.214155,0.0,-99900.0,1.332857,0.254,0.254,4.411271,2.449707,1.537213,25.652332,121.377869,-38.979397,68.526627,41.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,75.617729,1.121951,2.0,11.0,0.118249,24.010162,19.1101,0.0,-0.007776,4.289608,4.289608,-0.017457
-41.824665,20210722-083640,20210722,083640,56.412567,1.0,16.0,2.0,13.0,6.0,323.446594,0.944692,2.0,107.847702,5.162621,5.162621,135.013123,1.0,0.0,1.070779,0.0,-99900.0,1.732794,0.762,0.762,5.162621,2.085304,1.420275,25.580332,121.355865,-41.332096,57.602032,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,70.225922,1.021277,2.0,12.0,1.38916,19.974213,20.610397,0.0,-0.00704,8.073201,8.073201,-0.019371
-44.072472,20210722-084246,20210722,084246,49.646015,1.0,22.0,2.0,14.0,5.0,318.403534,0.889299,2.0,100.641052,6.066175,6.066175,109.356354,1.0,0.0,2.440403,0.0,-99900.0,0.461115,0.762,0.762,6.066175,2.467052,0.889299,25.519478,121.333611,-44.318359,51.271374,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,66.386063,1.0,2.0,13.0,0.930346,17.766998,21.1742,0.0,-0.006461,8.769842,8.769842,-0.020164
-45.774326,20210722-084850,20210722,084850,43.278416,1.0,28.0,2.0,15.0,3.0,313.394684,0.828557,2.0,108.012993,5.73908,5.73908,144.040924,1.0,0.0,2.602166,0.0,-99900.0,1.1695,1.016,1.016,5.73908,2.736652,2.280385,25.462214,121.316795,-46.245304,44.61401,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,62.994526,1.0,2.0,14.0,1.549757,17.064148,20.909616,0.0,-0.006136,8.242183,8.242183,-0.019989
-47.747238,20210722-085455,20210722,085455,38.117775,1.0,34.0,3.0,16.0,5.0,308.601318,0.78773,2.0,142.103333,5.608771,5.608771,230.68811,1.0,0.0,1.229847,0.0,-99900.0,2.151967,0.762,0.762,5.608771,2.284095,0.78773,25.415802,121.297264,-47.137711,40.031754,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,61.096348,1.0,2.0,15.0,0.90142,18.203613,18.533783,0.0,-0.00579,7.058282,7.058282,-0.017606
-51.158581,20210722-090102,20210722,090102,32.161263,1.0,40.0,2.0,17.0,4.0,302.156006,0.774964,2.0,112.655457,5.60681,5.60681,127.507347,1.0,0.0,2.511957,0.0,-99900.0,1.382021,1.016,1.016,5.60681,2.423711,2.762564,25.362234,121.263458,-50.942112,33.696232,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,60.428036,1.0,2.0,16.0,1.579046,19.145996,18.419952,0.0,-0.006041,8.837177,8.837177,-0.017401
-53.466328,20210722-090708,20210722,090708,27.494915,1.0,46.0,3.0,18.0,6.0,297.214508,0.757608,2.0,126.5131,6.872076,6.872076,215.31749,1.0,0.0,2.099992,0.0,-99900.0,1.705184,0.762,0.762,6.872076,1.977837,1.193384,25.320269,121.240608,-52.484871,29.139412,45.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.1217,1.066667,2.0,17.0,0.829211,21.940765,17.039326,0.0,-0.006367,7.432004,7.432004,-0.015805
-58.549252,20210722-091314,20210722,091314,23.31341,1.0,52.0,3.0,19.0,21.0,291.711853,0.80817,2.0,90.749237,5.53777,5.53777,138.110565,1.0,0.0,1.346741,0.0,-99900.0,3.185533,0.0,0.0,5.53777,1.769651,0.80817,25.282663,121.190178,-58.198612,24.272161,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,63.020077,1.0,2.0,18.0,0.021365,28.130768,16.384315,0.0,-0.007725,5.826573,5.826573,-0.014449
-61.415543,20210722-091919,20210722,091919,18.728294,1.0,58.0,3.0,20.0,22.0,286.958923,0.82801,2.0,73.867439,4.670102,4.670102,169.808029,1.0,0.0,1.089861,0.0,-99900.0,0.690312,0.0,0.0,4.670102,1.82812,0.82801,25.241428,121.161797,-61.181763,19.53742,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,64.207619,1.0,2.0,19.0,0.059605,33.310852,16.053728,0.0,-0.008816,4.446147,4.446147,-0.013416
-66.038727,20210722-092525,20210722,092525,14.932903,2.0,4.0,3.0,21.0,22.0,282.741821,0.905734,2.0,27.44438,4.918735,4.918735,79.188515,1.0,0.0,1.962041,0.0,-99900.0,1.786875,0.0,0.0,4.918735,2.14331,0.905734,25.207296,121.115959,-66.718842,16.403425,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,67.706017,1.0,2.0,20.0,0.0,38.436707,15.990522,0.0,-0.009941,3.358359,3.358359,-0.012525
-69.506851,20210722-093131,20210722,093131,10.683522,2.0,11.0,3.0,22.0,24.0,278.738434,0.94177,2.0,24.063812,2.504399,2.504399,76.819901,1.0,0.0,0.534061,0.0,-99900.0,0.375603,0.0,0.0,2.504399,1.39561,0.94177,25.169081,121.081612,-69.892532,10.875246,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,70.323112,1.0,2.0,21.0,0.0,41.482361,15.605809,0.0,-0.010337,1.97651,1.97651,-0.011691
-73.073654,20210722-093736,20210722,093736,5.494748,2.0,17.0,2.0,23.0,26.0,274.300446,1.008825,2.0,12.130999,2.465971,2.465971,48.988899,1.0,0.0,0.655306,0.0,-99900.0,0.944271,0.0,0.0,2.465971,1.308414,1.008825,25.122417,121.046318,-74.28186,4.688784,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,73.279953,1.0,2.0,22.0,0.0,41.781921,15.895526,0.0,-0.010591,1.467446,1.467446,-0.011853
