3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
157.424805,20210722-100805,20210722,100805,-2.618211,0.0,0.0,0.0,1.0,22.0,90.952614,2.983309,46.0,21.315655,4.054375,4.054375,92.039398,1.0,0.0,0.404825,0.0,-99900.0,0.0,0.0,0.0,4.054375,3.052606,2.983309,25.049459,123.334892,157.478088,-2.507126,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,157.446579,1.0,46.0,0.0,0.0,18.134216,-99900.0,0.0,-99900.0,2.279837,2.279837,-99900.0
153.56958,20210722-101411,20210722,101411,-11.108974,0.0,0.0,0.0,1.0,27.0,94.13726,2.884195,46.0,21.062481,3.936973,3.936973,111.504997,1.0,0.0,0.431194,0.0,-99900.0,2.709828,0.0,0.0,3.936973,3.0488,3.936973,24.973099,123.29615,153.694794,-10.783511,35.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,153.970856,1.028571,46.0,0.0,0.0,24.42038,25.477987,0.0,-0.010533,1.597697,1.597697,-0.023199
149.166702,20210722-102016,20210722,102016,-16.402586,0.0,27.0,3.0,1.0,16.0,96.274887,2.772045,46.0,42.44582,3.801681,3.801681,135.72879,1.0,0.0,0.325238,0.0,-99900.0,3.222605,0.0,0.0,3.801681,2.897698,2.772045,24.925493,123.252167,149.263,-16.126356,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,150.065826,1.0,46.0,0.0,0.0,30.921997,21.983446,0.0,-0.011297,2.504433,2.504433,-0.018859
144.030792,20210722-102622,20210722,102622,-21.356047,2.0,50.0,0.0,1.0,24.0,98.433807,2.64579,46.0,26.613266,3.662301,3.662301,97.963028,1.0,0.0,0.376801,0.0,-99900.0,2.19108,0.0,0.0,3.662301,2.802977,2.64579,24.880945,123.200943,144.086487,-20.992565,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,145.605453,1.0,46.0,0.0,0.0,35.936737,20.778984,0.0,-0.012195,1.960052,1.960052,-0.016824
139.623062,20210722-103228,20210722,103228,-28.423092,0.0,3.0,3.0,1.0,14.0,101.506248,2.560905,46.0,31.288269,4.558959,4.558959,100.472076,1.0,0.0,0.91677,0.0,-99900.0,0.911153,0.0,0.0,4.558959,2.949646,2.560905,24.81739,123.156853,139.81514,-27.589729,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,142.48674,1.0,46.0,0.0,0.0,36.121185,20.940113,0.0,-0.012344,3.56327,3.56327,-0.016915
135.90181,20210722-103834,20210722,103834,-35.766777,0.0,9.0,3.0,1.0,9.0,104.74456,2.509364,46.0,47.92585,4.447705,4.447705,91.505424,1.0,0.0,0.89568,0.0,-99900.0,1.401354,0.0,0.0,4.447705,2.854944,2.509364,24.751347,123.119583,136.14032,-35.165535,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,140.529587,1.0,46.0,0.0,0.049397,34.773926,21.172365,0.0,-0.012075,4.262055,4.262055,-0.017391
132.400818,20210722-104440,20210722,104440,-44.563385,0.0,21.0,3.0,1.0,6.0,108.601921,2.481659,46.0,62.344772,4.456161,4.456161,89.43602,1.0,0.0,0.746292,0.0,-99900.0,2.599185,0.508,0.508,4.456161,2.865304,3.466783,24.672237,123.08445,132.463257,-43.996712,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,139.699219,1.022727,46.0,0.0,0.435245,32.842987,21.60569,0.0,-0.011718,5.15312,5.15312,-0.018152
130.014816,20210722-105045,20210722,105045,-52.870483,0.0,27.0,3.0,1.0,11.0,112.128838,2.498638,46.0,48.688522,4.49014,4.49014,98.075523,1.0,0.0,0.921338,0.0,-99900.0,2.530449,0.0,0.0,4.49014,2.96954,2.498638,24.59753,123.06041,130.218811,-51.981373,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,140.353622,1.0,46.0,0.0,0.056605,27.394562,22.807474,0.0,-0.010494,4.668066,4.668066,-0.02025
127.120056,20210722-105651,20210722,105651,-61.339661,0.0,9.0,3.0,1.0,12.0,115.758583,2.515586,46.0,45.268887,4.551497,4.551497,129.90863,1.0,0.0,0.727678,0.0,-99900.0,1.419107,0.0,0.0,4.551497,2.958775,3.517992,24.521364,123.031334,127.268547,-60.319309,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,141.145538,1.025,46.0,0.0,0.042998,22.509216,23.84889,0.0,-0.00913,3.24682,3.24682,-0.022032
124.805267,20210722-110257,20210722,110257,-72.108543,1.0,13.0,0.0,1.0,20.0,120.017685,2.601236,46.0,20.127186,4.630517,4.630517,79.846008,1.0,0.0,1.015346,0.0,-99900.0,2.89349,0.0,0.0,4.630517,3.072676,2.601236,24.424519,123.007927,125.035965,-71.404442,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,144.138809,1.0,46.0,0.0,0.0,18.718262,25.029387,0.0,-0.008032,2.521947,2.521947,-0.023706
121.962593,20210722-110903,20210722,110903,-81.242668,0.0,0.0,0.0,1.0,33.0,123.668396,2.669585,46.0,15.137221,3.706011,3.706011,113.583649,1.0,0.0,0.346331,0.0,-99900.0,0.468094,0.0,0.0,3.706011,2.869074,2.669585,24.342373,122.979378,122.027077,-81.007195,34.0,0.0,34.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,146.544342,1.0,46.0,0.0,0.0,16.671356,25.969606,0.0,-0.00745,1.230582,1.230582,-0.024878
116.016762,20210722-111508,20210722,111508,-78.734436,0.0,42.0,3.0,1.0,16.0,124.162369,2.497064,46.0,21.091984,3.488245,3.488245,95.177063,1.0,0.0,0.338537,0.0,-99900.0,12.029477,0.0,0.0,3.488245,2.652169,2.497064,24.364929,122.920616,116.0728,-78.547485,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,140.210556,1.0,46.0,0.0,0.0,22.112152,22.495367,0.0,-0.008468,2.178215,2.178215,-0.020841
