3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
143.763947,20210722-060820,20210722,060820,-47.116238,0.0,0.0,0.0,1.0,36.0,108.145447,2.761261,38.0,8.956492,4.055846,4.055846,62.272808,1.0,0.0,0.634637,0.0,-99900.0,0.0,0.0,0.0,4.055846,3.046087,2.761261,24.649279,123.196953,142.173264,-47.026623,34.0,0.0,34.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,151.287842,1.0,38.0,0.0,0.0,22.918762,-99900.0,0.0,-99900.0,1.212969,1.212969,-99900.0
139.414719,20210722-061425,20210722,061425,-55.827545,0.0,0.0,0.0,1.0,31.0,111.82299,2.773822,38.0,22.619022,3.81987,3.81987,59.66283,1.0,0.0,0.512116,0.0,-99900.0,3.87444,0.0,0.0,3.81987,3.013933,2.773822,24.570936,123.153412,139.575485,-55.471684,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,150.177155,1.0,38.0,0.0,0.0,26.531219,26.675789,0.0,-0.011916,2.455767,2.455767,-0.023867
136.744339,20210722-062031,20210722,062031,-64.840294,0.0,9.0,3.0,1.0,8.0,115.368713,2.806399,38.0,53.199635,4.921355,4.921355,127.375229,1.0,0.0,0.872358,0.0,-99900.0,1.7134,0.254,0.254,4.921355,3.149433,3.860476,24.489883,123.126511,136.894135,-64.54245,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,151.338287,1.0,38.0,0.0,0.32292,21.603729,26.078396,0.0,-0.009602,4.935531,4.935531,-0.024246
134.00293,20210722-062637,20210722,062637,-73.700005,0.0,9.0,3.0,1.0,10.0,118.80999,2.8457,38.0,82.542847,5.019215,5.019215,151.496994,1.0,0.0,0.60778,0.0,-99900.0,0.772948,0.508,0.508,5.019215,3.276528,3.931185,24.410206,123.09893,133.891586,-73.476814,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,152.932922,1.02381,38.0,0.0,0.45888,19.796356,25.796976,0.0,-0.008737,4.889797,4.889797,-0.024272
132.086151,20210722-063243,20210722,063243,-82.513229,0.0,27.0,3.0,1.0,6.0,121.992424,2.929683,38.0,135.372253,5.101284,5.101284,181.913483,1.0,0.0,0.646489,0.0,-99900.0,1.282852,0.508,0.508,5.101284,3.270109,4.033493,24.330946,123.079536,132.15654,-82.231171,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,155.740768,1.0,38.0,0.0,0.765632,17.97406,25.482738,0.0,-0.007864,6.056881,6.056881,-0.024239
130.178986,20210722-064052,20210722,064052,-94.659348,0.0,33.0,2.0,1.0,3.0,126.022392,3.080629,38.0,118.373833,5.419363,5.419363,130.771378,1.0,0.0,1.106596,0.0,-99900.0,1.960209,1.016,1.016,5.419363,3.744285,3.080629,24.221714,123.060089,130.741699,-93.63179,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,160.95639,1.0,38.0,0.0,2.046455,15.710052,25.289812,0.0,-0.006848,8.026808,8.026808,-0.024345
127.969666,20210722-064658,20210722,064658,-106.27951,0.0,41.0,2.0,1.0,1.0,129.709503,3.23647,38.0,131.943954,7.124683,7.124683,159.849213,1.0,0.0,1.219441,0.0,-99900.0,2.726083,1.27,1.27,7.124683,3.908136,4.415183,24.117212,123.037704,128.129913,-105.570251,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,166.347733,1.0,38.0,0.0,2.958105,12.605713,26.053154,0.0,-0.005686,9.134197,9.134197,-0.025425
126.0215,20210722-065303,20210722,065303,-114.348679,0.0,10.0,4.0,1.0,6.0,132.219482,3.354602,38.0,159.245117,5.829021,5.829021,224.688461,1.0,0.0,0.658189,0.0,-99900.0,1.217666,0.762,0.762,5.829021,3.603882,3.354602,24.044643,123.018074,126.044624,-113.910355,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,170.167679,1.0,38.0,0.0,0.981215,11.603271,26.231424,0.0,-0.005276,6.848535,6.848535,-0.025695
121.909019,20210722-065907,20210722,065907,-117.994179,0.0,21.0,3.0,1.0,4.0,134.064804,3.314426,38.0,184.764954,5.721891,5.721891,301.425201,1.0,0.0,0.749936,0.0,-99900.0,6.11405,1.016,1.016,5.721891,3.863537,3.314426,24.011858,122.977249,121.639099,-116.71978,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,169.65976,1.0,38.0,0.0,1.885222,13.698578,24.623028,0.0,-0.005831,8.024734,8.024734,-0.023923
120.764015,20210722-070513,20210722,070513,-126.681435,0.0,3.0,2.0,1.0,6.0,136.369598,3.508894,38.0,107.439209,5.989479,5.989479,173.783661,1.0,0.0,0.83939,0.0,-99900.0,0.99153,0.762,0.762,5.989479,3.80973,3.508894,23.933733,122.965561,120.705742,-126.50692,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,175.020386,1.0,38.0,0.0,0.950716,15.438171,23.238531,0.0,-0.006186,6.383115,6.383115,-0.0224
111.2901,20210722-071119,20210722,071119,-127.537941,0.0,15.0,2.0,1.0,29.0,138.891602,3.332103,38.0,33.387211,4.538855,4.538855,91.200607,1.0,0.0,0.508184,0.0,-99900.0,10.290049,0.0,0.0,4.538855,3.525793,3.332103,23.926029,122.871895,111.427261,-127.273102,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,169.267288,1.0,38.0,0.0,0.039199,27.666809,20.247087,0.0,-0.009401,3.502695,3.502695,-0.017932
109.568253,20210722-071725,20210722,071725,-137.795853,0.0,0.0,0.0,1.0,36.0,141.50972,3.541296,38.0,24.191872,4.801893,4.801893,96.40773,1.0,0.0,0.520206,0.0,-99900.0,4.075089,0.0,0.0,4.801893,3.785681,3.541296,23.833778,122.854485,109.369415,-137.7435,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,176.048004,1.0,38.0,0.0,0.0,33.716583,19.349731,0.0,-0.010741,2.605675,2.605675,-0.016095
