3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
4.823445,20210722-102016,20210722,102016,42.507988,0.0,3.0,2.0,1.0,12.0,6.473732,0.501483,60.0,3.292616,1.054773,1.054773,14.094912,1.0,0.0,0.304833,0.0,-99900.0,0.0,0.0,0.0,1.054773,0.701134,0.786077,25.455284,121.819969,5.101658,43.139977,37.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,42.780773,1.135135,60.0,0.0,0.0,18.850891,-99900.0,0.0,-99900.0,0.715867,0.715867,-99900.0
1.752612,20210722-102622,20210722,102622,37.025696,0.0,9.0,2.0,2.0,10.0,2.710068,0.41966,60.0,4.421475,0.904886,0.904886,12.184027,1.0,0.0,0.270312,0.0,-99900.0,1.220815,0.0,0.0,0.904886,0.595387,0.904886,25.405979,121.789429,1.996061,37.535599,41.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,37.06715,1.04878,60.0,1.0,0.0,29.254791,17.168596,0.0,-0.00839,0.892311,0.892311,-0.014979
-2.048978,20210722-103228,20210722,103228,29.628908,0.0,15.0,3.0,3.0,6.0,356.044037,0.351294,60.0,28.567848,4.014366,4.014366,57.543774,1.0,0.0,1.639999,0.0,-99900.0,2.049265,0.508,0.508,4.014366,2.202498,3.288348,25.339458,121.75164,-1.103794,32.417221,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,29.699671,1.022727,60.0,2.0,0.60039,28.084869,19.942446,0.0,-0.009388,5.108735,5.108735,-0.017594
-5.167029,20210722-103834,20210722,103834,24.100479,0.0,21.0,3.0,4.0,6.0,347.899261,0.285561,60.0,32.622543,4.028789,4.028789,58.76931,1.0,0.0,1.736918,0.0,-99900.0,0.965012,0.254,0.254,4.028789,1.930201,1.747574,25.289742,121.720657,-3.550919,26.984726,45.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,24.648149,1.088889,60.0,3.0,0.167965,28.339691,19.438848,0.0,-0.009228,6.091319,6.091319,-0.017109
-8.169564,20210722-104440,20210722,104440,19.278711,0.0,27.0,3.0,5.0,8.0,337.034729,0.234285,60.0,26.629375,3.376993,3.376993,48.748093,1.0,0.0,1.744753,0.0,-99900.0,1.488117,0.0,0.0,3.376993,1.465201,0.701876,25.246378,121.690834,-6.582308,21.972298,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,20.938253,1.021277,60.0,4.0,0.016723,28.991638,18.549479,0.0,-0.008991,5.08216,5.08216,-0.016225
-10.694177,20210722-105045,20210722,105045,14.814873,0.0,33.0,3.0,6.0,9.0,324.1763,0.19154,60.0,17.671932,2.4576,2.4576,36.921997,1.0,0.0,0.956637,0.0,-99900.0,1.643056,0.0,0.0,2.4576,1.039032,0.19154,25.206234,121.665764,-9.431117,16.732206,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,18.27145,1.0,60.0,5.0,0.0,29.253357,17.654978,0.0,-0.008627,3.13129,3.13129,-0.015403
-11.514481,20210722-105651,20210722,105651,8.010497,0.0,39.0,3.0,7.0,4.0,304.82605,0.124941,60.0,34.357975,2.733367,2.733367,65.966095,1.0,0.0,0.875714,0.0,-99900.0,2.612378,0.0,0.0,2.733367,1.227039,0.7563,25.145041,121.657646,-8.403308,9.98603,46.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,14.026808,1.065217,60.0,6.0,0.008676,26.116364,16.906927,0.0,-0.007442,5.95884,5.95884,-0.015181
-11.910771,20210722-110257,20210722,110257,1.112151,0.0,45.0,3.0,8.0,4.0,275.334656,0.113873,60.0,42.720779,3.604605,3.604605,61.426712,1.0,0.0,1.919969,0.0,-99900.0,2.686865,0.254,0.254,3.604605,1.60349,1.486413,25.083002,121.65374,-10.884254,5.010087,46.0,0.0,50.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,11.962581,1.086957,60.0,7.0,0.141735,19.943909,16.23172,0.0,-0.005537,6.770467,6.770467,-0.015258
-12.556284,20210722-110903,20210722,110903,-4.84061,0.0,51.0,3.0,9.0,3.0,248.917969,0.107625,60.0,39.886162,3.938317,3.938317,52.238804,1.0,0.0,2.101662,0.0,-99900.0,1.429155,0.254,0.254,3.938317,1.701505,0.957736,25.029469,121.647354,-11.323892,-1.043985,47.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,13.457034,1.06383,60.0,8.0,0.318172,13.374908,16.541037,0.0,-0.003826,7.241501,7.241501,-0.016092
-14.723541,20210722-111508,20210722,111508,-8.990885,0.0,57.0,3.0,10.0,7.0,238.590088,0.147343,60.0,31.987272,3.112206,3.112206,57.772743,1.0,0.0,1.542518,0.0,-99900.0,1.887906,0.0,0.0,3.112206,1.433439,0.147343,24.992144,121.625862,-13.689823,-6.543456,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,17.251629,1.0,60.0,9.0,0.05387,10.591125,16.469652,0.0,-0.003027,4.449578,4.449578,-0.016189
