3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
96.281731,20210722-094342,20210722,094342,-66.458145,0.0,0.0,0.0,1.0,37.0,124.614952,1.90587,9.0,8.937931,2.738387,2.738387,38.695061,1.0,0.0,0.420663,0.0,-99900.0,0.0,0.0,0.0,2.738387,2.088449,2.738387,24.475332,122.725655,96.367165,-66.128281,36.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,116.990845,1.0,9.0,0.0,0.0,26.724121,-99900.0,0.0,-99900.0,1.229687,1.229687,-99900.0
93.793442,20210722-094948,20210722,094948,-74.896675,0.0,3.0,3.0,1.0,17.0,128.608032,1.971495,9.0,26.204773,3.699584,3.699584,57.028931,1.0,0.0,0.859874,0.0,-99900.0,2.811918,0.0,0.0,3.699584,2.379096,2.842361,24.399443,122.700729,93.740723,-74.277473,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,120.028008,1.0,9.0,0.0,0.008529,16.429321,24.037388,0.0,-0.006799,3.002988,3.002988,-0.023056
91.552063,20210722-095553,20210722,095553,-84.705002,2.0,29.0,3.0,1.0,11.0,132.77504,2.072965,9.0,44.928009,5.049627,5.049627,92.111267,1.0,0.0,1.592357,0.0,-99900.0,1.413455,0.254,0.254,5.049627,2.995634,3.877517,24.311234,122.678215,91.402298,-83.411766,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,124.72657,1.0,9.0,0.0,0.192901,14.532318,25.785509,0.0,-0.00647,4.394099,4.394099,-0.024961
90.220741,20210722-100159,20210722,100159,-92.529312,0.0,3.0,2.0,1.0,17.0,135.723419,2.192272,9.0,40.0882,4.102018,4.102018,90.438599,1.0,0.0,0.922751,0.0,-99900.0,1.671622,0.0,0.0,4.102018,2.742257,2.192272,24.240868,122.664787,90.058014,-91.657204,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,129.234116,1.0,9.0,0.0,0.0,13.063599,24.715076,0.0,-0.005586,3.064147,3.064147,-0.024075
88.93737,20210722-100805,20210722,100805,-99.3797,2.0,41.0,3.0,1.0,10.0,138.173523,2.277106,9.0,42.717598,5.506842,5.506842,118.319443,1.0,0.0,1.687954,0.0,-99900.0,2.10379,0.0,0.0,5.506842,3.115362,2.277106,24.179262,122.651871,88.777359,-97.42865,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,133.364838,1.0,9.0,0.0,0.029286,12.3396,23.365475,0.0,-0.004993,3.897355,3.897355,-0.022826
87.348343,20210722-101411,20210722,101411,-105.328743,0.0,3.0,3.0,1.0,9.0,140.331009,2.382114,9.0,55.554146,4.465926,4.465926,117.590065,1.0,0.0,0.800414,0.0,-99900.0,2.416958,0.0,0.0,4.465926,2.840786,2.382114,24.125761,122.635963,86.938499,-104.368843,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,136.83522,1.0,9.0,0.0,0.0,12.393188,22.042892,0.0,-0.004731,3.94961,3.94961,-0.021529
86.134613,20210722-102016,20210722,102016,-112.980331,0.0,9.0,2.0,1.0,13.0,142.678268,2.532359,9.0,90.259659,4.628339,4.628339,226.650848,1.0,0.0,0.610883,0.0,-99900.0,0.553057,0.0,0.0,4.628339,2.961482,2.532359,24.056948,122.623726,86.001457,-112.314682,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,142.069443,1.0,9.0,0.0,0.0,11.386597,20.651331,0.0,-0.004077,3.668525,3.668525,-0.020245
84.882095,20210722-102622,20210722,102622,-120.446594,0.0,27.0,3.0,1.0,6.0,144.826233,2.680734,9.0,93.857941,4.828687,4.828687,154.957977,1.0,0.0,0.751883,0.0,-99900.0,0.246325,0.254,0.254,4.828687,3.045123,2.680734,23.989801,122.611115,84.94001,-119.81572,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,147.35112,1.0,9.0,0.0,0.333593,10.860382,19.56691,0.0,-0.003687,5.642007,5.642007,-0.019216
83.466179,20210722-103228,20210722,103228,-128.50647,0.0,33.0,3.0,1.0,4.0,146.995544,2.843682,9.0,105.043831,5.129725,5.129725,161.409714,1.0,0.0,0.689442,0.0,-99900.0,1.028813,0.508,0.508,5.129725,3.171444,2.843682,23.917318,122.596878,83.361382,-127.886986,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,153.233536,1.0,9.0,0.0,0.679695,10.650421,19.930641,0.0,-0.003684,6.260925,6.260925,-0.019587
83.057846,20210722-103834,20210722,103834,-136.627472,0.0,15.0,2.0,1.0,2.0,148.703629,3.0392,9.0,153.052948,5.411834,5.411834,271.456604,1.0,0.0,0.524525,0.0,-99900.0,1.337792,0.508,0.508,5.411834,3.455716,4.194949,23.844284,122.592606,82.977928,-136.1073,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,159.892685,1.0,9.0,0.0,0.806542,9.127869,20.826143,0.0,-0.003304,6.152901,6.152901,-0.020562
