3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
170.447266,20210722-074148,20210722,074148,11.32871,0.0,0.0,0.0,1.0,50.0,86.19725,3.386822,56.0,23.617046,4.547683,4.547683,139.395477,1.0,0.0,0.376083,0.0,-99900.0,0.0,0.0,0.0,4.547683,3.53843,3.386822,25.174887,123.46505,170.549408,11.483741,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,170.823334,1.0,56.0,0.0,0.0,25.815613,-99900.0,0.0,-99900.0,2.191568,2.191568,-99900.0
164.809692,20210722-074754,20210722,074754,4.33705,0.0,0.0,0.0,1.0,57.0,88.492371,3.2047,56.0,31.371862,4.317643,4.317643,181.658127,1.0,0.0,0.300017,0.0,-99900.0,3.241856,0.0,0.0,4.317643,3.311302,3.2047,25.112009,123.40863,164.90741,4.430884,36.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,164.866745,1.0,56.0,0.0,0.0,38.880219,24.539392,0.0,-0.015403,1.828766,1.828766,-0.019103
160.460388,20210722-075400,20210722,075400,-3.114537,0.0,18.0,3.0,1.0,41.0,91.111755,3.071445,56.0,22.411242,4.188555,4.188555,137.640213,1.0,0.0,0.529561,0.0,-99900.0,1.367917,0.0,0.0,4.188555,3.190926,4.188555,25.044996,123.365005,160.473099,-2.979159,35.0,0.0,35.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,160.490616,1.0,56.0,0.0,0.0,34.66217,23.988733,0.0,-0.013643,1.634764,1.634764,-0.019731
154.275162,20210722-080006,20210722,080006,-11.51658,0.0,0.0,0.0,1.0,36.0,94.268974,2.899508,56.0,34.153915,4.013476,4.013476,219.778656,1.0,0.0,0.268775,0.0,-99900.0,1.677424,0.0,0.0,4.013476,3.013475,2.899508,24.969435,123.303131,154.17453,-11.533194,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,154.704422,1.0,56.0,0.0,0.0,34.826904,25.291824,0.0,-0.014444,1.826616,1.826616,-0.020762
148.966248,20210722-080612,20210722,080612,-21.565443,0.0,6.0,0.0,1.0,40.0,98.237099,2.786806,56.0,58.007904,4.877143,4.877143,199.837418,1.0,0.0,0.589536,0.0,-99900.0,2.450229,0.0,0.0,4.877143,3.148255,2.786806,24.879063,123.249893,149.158295,-21.179062,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,150.519135,1.0,56.0,0.0,0.0,33.235168,26.668787,0.0,-0.014617,2.81971,2.81971,-0.022307
145.165802,20210722-081217,20210722,081217,-29.134521,0.0,39.0,3.0,1.0,9.0,101.34816,2.743936,56.0,78.458786,6.097541,6.097541,158.689621,1.0,0.0,0.75718,0.0,-99900.0,1.63801,0.508,0.508,6.097541,3.673178,3.714436,24.810991,123.211792,146.218933,-29.335352,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,148.060562,1.047619,56.0,0.0,0.717206,31.985565,26.55603,0.0,-0.014067,5.358391,5.358391,-0.022524
139.961594,20210722-081823,20210722,081823,-31.568035,0.0,21.0,3.0,1.0,6.0,102.710014,2.59692,56.0,115.829948,5.778338,5.778338,142.564453,1.0,0.0,1.591815,0.0,-99900.0,5.810658,0.762,0.762,5.778338,3.377558,2.59692,24.789106,123.160057,140.375961,-31.334209,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,143.477493,1.0,56.0,0.0,1.050713,33.244781,24.997093,0.0,-0.013704,8.098789,8.098789,-0.020906
136.02774,20210722-082429,20210722,082429,-37.594673,0.0,27.0,2.0,1.0,3.0,105.449226,2.515995,56.0,248.871567,5.732116,5.732116,199.541916,1.0,0.0,1.048983,0.0,-99900.0,1.952088,1.27,1.27,5.732116,3.230925,2.515995,24.734907,123.120743,136.104706,-36.269577,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,141.127274,1.0,56.0,0.0,3.077838,35.12323,22.934088,0.0,-0.013195,10.173798,10.173798,-0.018758
132.869888,20210722-083034,20210722,083034,-45.177399,1.0,10.0,3.0,1.0,1.0,108.778412,2.489604,56.0,269.753571,7.191454,7.191454,204.392197,1.0,0.0,1.539959,0.0,-99900.0,1.814256,2.032,2.032,7.191454,3.477805,2.489604,24.666716,123.089073,132.753372,-44.061863,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,140.340317,1.0,56.0,0.0,6.569022,34.616852,20.777655,0.0,-0.011803,12.994775,12.994775,-0.017099
130.877747,20210722-083640,20210722,083640,-54.129581,1.0,10.0,3.0,1.0,1.0,112.469185,2.536938,56.0,599.745178,7.231955,7.231955,413.939606,1.0,0.0,0.982545,0.0,-99900.0,3.560329,2.54,2.54,7.231955,3.187129,3.533029,24.586206,123.068901,131.086899,-53.618301,50.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,141.629791,1.02,56.0,0.0,9.48741,31.173462,19.816208,0.0,-0.010257,15.087309,15.087309,-0.016955
127.954567,20210722-084246,20210722,084246,-62.242836,1.0,10.0,3.0,1.0,1.0,115.940102,2.549086,56.0,515.521179,9.13908,9.13908,440.14801,1.0,0.0,1.481615,0.0,-99900.0,2.080941,2.032,2.032,9.13908,3.388187,3.558618,24.513243,123.039566,128.076782,-61.498608,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,142.290344,1.0,56.0,0.0,6.454464,25.811005,20.896158,0.0,-0.009098,13.756162,13.756162,-0.018811
124.407921,20210722-084850,20210722,084850,-69.035484,1.0,10.0,3.0,1.0,1.0,119.026146,2.547573,56.0,585.406494,7.502051,7.502051,536.401001,1.0,0.0,0.956644,0.0,-99900.0,0.24117,1.778,1.778,7.502051,3.250298,2.547573,24.452154,123.004128,124.496262,-68.34169,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,142.278702,1.0,56.0,0.0,4.486112,21.044952,22.635241,0.0,-0.008128,12.305961,12.305961,-0.021125
120.942024,20210722-085455,20210722,085455,-76.253654,1.0,10.0,3.0,1.0,1.0,122.231041,2.565774,56.0,597.701172,5.644284,5.644284,410.661163,1.0,0.0,0.598525,0.0,-99900.0,0.701236,1.778,1.778,5.644284,3.02741,3.61218,24.387239,122.96949,120.850128,-75.866455,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,142.974106,1.0,56.0,0.0,5.494475,20.805664,22.843817,0.0,-0.008114,12.13299,12.13299,-0.021354
119.034485,20210722-090102,20210722,090102,-84.782059,0.0,15.0,2.0,1.0,3.0,125.459991,2.651792,56.0,503.960541,7.707145,7.707145,559.807495,1.0,0.0,1.062097,0.0,-99900.0,1.274238,1.27,1.27,7.707145,3.349822,2.651792,24.310543,122.950241,119.014809,-84.263809,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,146.141052,1.0,56.0,0.0,2.623402,20.708252,22.670212,0.0,-0.008016,10.498327,10.498327,-0.021206
115.315727,20210722-090708,20210722,090708,-97.20536,1.0,40.0,2.0,1.0,5.0,130.128891,3.842856,56.0,785.13562,7.80894,7.80894,1253.804321,1.0,0.0,0.459704,0.0,-99900.0,4.72765,1.016,1.016,7.80894,3.959152,3.842856,24.198816,122.912918,115.209007,-97.26796,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,150.819748,1.0,56.0,0.0,1.791241,20.415466,24.208176,0.0,-0.008444,3.746258,3.746258,-0.022688
112.153847,20210722-091314,20210722,091314,-102.925652,0.0,27.0,2.0,1.0,11.0,132.542877,3.881272,56.0,637.746582,6.518569,6.518569,1103.084106,1.0,0.0,0.340805,0.0,-99900.0,2.584356,0.762,0.762,6.518569,4.041194,3.881272,24.147373,122.881409,112.130608,-102.42028,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,152.224091,1.0,56.0,0.0,1.427036,20.046661,24.653988,0.0,-0.008451,2.926734,2.926734,-0.02316
