3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
172.778595,20210722-064658,20210722,064658,-7.783876,0.0,0.0,0.0,1.0,44.0,92.579285,3.451602,11.0,26.725231,4.645971,4.645971,91.360794,1.0,0.0,0.545152,0.0,-99900.0,0.0,0.0,0.0,4.645971,3.684186,4.645971,25.003004,123.487,172.855057,-7.618517,36.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,172.953842,1.027778,11.0,0.0,0.0,19.359497,-99900.0,0.0,-99900.0,2.131111,2.131111,-99900.0
168.154617,20210722-065303,20210722,065303,-16.048569,0.0,0.0,0.0,1.0,35.0,95.45153,3.337625,11.0,32.866951,4.469539,4.469539,110.702133,1.0,0.0,0.522113,0.0,-99900.0,3.06807,0.0,0.0,4.469539,3.691415,3.337625,24.928679,123.440598,168.517609,-16.649822,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,168.918716,1.0,11.0,0.0,0.0,29.226379,25.945854,0.0,-0.012668,2.8129,2.8129,-0.022643
164.039429,20210722-065907,20210722,065907,-18.733788,0.0,3.0,2.0,1.0,10.0,96.514893,3.216226,11.0,82.540932,5.487739,5.487739,129.830261,1.0,0.0,0.971031,0.0,-99900.0,5.57889,0.762,0.762,5.487739,3.662773,4.338983,24.90453,123.399605,164.34169,-18.225746,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,165.105682,1.0,11.0,0.0,0.892662,38.587708,19.220634,0.0,-0.011988,6.309154,6.309154,-0.015024
160.499664,20210722-070513,20210722,070513,-27.287947,0.0,21.0,3.0,1.0,4.0,99.648849,3.145412,11.0,134.681396,6.761409,6.761409,192.894699,1.0,0.0,1.267493,0.0,-99900.0,3.170884,0.762,0.762,6.761409,3.715353,3.145412,24.827599,123.363983,160.757935,-26.885092,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,162.802872,1.0,11.0,0.0,1.322679,33.784332,20.181581,0.0,-0.011222,7.457519,7.457519,-0.016774
157.127884,20210722-071119,20210722,071119,-35.563877,0.0,3.0,3.0,1.0,4.0,102.753044,3.088668,11.0,118.56282,5.345919,5.345919,128.487549,1.0,0.0,0.973874,0.0,-99900.0,2.259848,1.016,1.016,5.345919,3.589671,3.088668,24.753172,123.33007,157.20871,-35.116032,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,161.102325,1.0,11.0,0.0,1.464423,30.244995,21.176264,0.0,-0.010666,8.375671,8.375671,-0.018294
153.842133,20210722-071725,20210722,071725,-42.760502,0.0,9.0,2.0,1.0,6.0,105.533051,3.046302,11.0,160.863419,6.650877,6.650877,215.476395,1.0,0.0,1.154059,0.0,-99900.0,0.795767,0.762,0.762,6.650877,3.527129,3.046302,24.688452,123.297089,154.011673,-42.047043,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,159.67424,1.0,11.0,0.0,0.821624,28.480621,21.528532,0.0,-0.010266,6.961255,6.961255,-0.018923
151.495483,20210722-072331,20210722,072331,-52.29097,0.0,15.0,4.0,1.0,14.0,109.042633,3.092884,11.0,84.534164,5.203953,5.203953,143.081055,1.0,0.0,0.579712,0.0,-99900.0,2.962127,0.508,0.508,5.203953,3.584246,4.137005,24.602741,123.273308,152.186264,-53.225105,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,160.266113,1.02381,11.0,0.0,0.394768,24.142883,22.396275,0.0,-0.00916,4.887292,4.887292,-0.020437
148.825912,20210722-072937,20210722,072937,-54.116695,0.0,9.0,3.0,1.0,5.0,109.982231,3.011931,11.0,228.594452,5.185617,5.185617,319.009979,1.0,0.0,0.669575,0.0,-99900.0,5.695418,0.762,0.762,5.185617,3.240241,4.096461,24.586323,123.246758,149.109238,-53.680191,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,158.359619,1.0,11.0,0.0,1.04258,22.317566,21.865889,0.0,-0.008303,6.808125,6.808125,-0.020228
145.458115,20210722-073542,20210722,073542,-60.503593,0.0,21.0,3.0,1.0,4.0,112.584702,2.982108,11.0,179.693344,5.205311,5.205311,174.394318,1.0,0.0,0.75158,0.0,-99900.0,1.051788,1.016,1.016,5.205311,3.411196,2.982108,24.528885,123.213051,145.44426,-60.321007,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,157.539673,1.0,11.0,0.0,1.592034,23.894348,19.754374,0.0,-0.008002,8.376087,8.376087,-0.018061
143.52121,20210722-074148,20210722,074148,-65.671562,0.0,58.0,3.0,1.0,2.0,114.587326,2.991389,11.0,297.023468,6.586352,6.586352,235.841934,1.0,0.0,1.45094,0.0,-99900.0,1.750453,1.778,1.778,6.586352,3.459553,4.095983,24.482407,123.193596,143.599792,-65.360863,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,157.832474,1.0,11.0,0.0,4.722699,24.99585,17.719519,0.0,-0.007487,11.112179,11.112179,-0.01606
