3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-44.622952,20210722-081823,20210722,081823,40.730064,0.0,0.0,0.0,1.0,39.0,312.388702,0.790392,67.0,8.580525,2.04227,2.04227,36.225552,1.0,0.0,0.610451,0.0,-99900.0,0.0,0.0,0.0,2.04227,1.289512,2.04227,25.439295,121.328285,-46.316563,41.218285,37.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.416439,1.054054,67.0,0.0,0.0,22.668274,-99900.0,0.0,-99900.0,1.23048,1.23048,-99900.0
-48.75882,20210722-082429,20210722,082429,35.665585,0.0,3.0,3.0,1.0,18.0,306.184448,0.767187,67.0,13.859066,1.606192,1.606192,32.147369,1.0,0.0,0.350567,0.0,-99900.0,1.980903,0.0,0.0,1.606192,1.011387,0.767187,25.393749,121.287247,-48.763813,35.995575,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.410732,1.0,67.0,0.0,0.0,39.236511,17.865288,0.0,-0.0113,1.827516,1.827516,-0.013837
-51.980141,20210722-083034,20210722,083034,31.126329,0.0,9.0,3.0,2.0,20.0,300.913818,0.769115,67.0,25.744797,1.62332,1.62332,41.136078,1.0,0.0,0.286509,0.0,-99900.0,1.037978,0.0,0.0,1.62332,0.952137,0.769115,25.352926,121.25531,-51.924744,31.488251,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.58699,1.0,67.0,1.0,0.0,37.455719,16.550449,0.0,-0.010065,2.575987,2.575987,-0.013138
-54.351479,20210722-083640,20210722,083640,24.066118,0.0,15.0,3.0,3.0,17.0,293.883301,0.747486,67.0,32.296371,3.398736,3.398736,52.705704,1.0,0.0,1.458238,0.0,-99900.0,2.606262,0.0,0.0,3.398736,1.644591,0.747486,25.289433,121.23188,-53.643108,25.549809,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,59.441242,1.0,67.0,2.0,0.032611,30.721527,17.350965,0.0,-0.008864,4.180059,4.180059,-0.014916
-57.329296,20210722-084246,20210722,084246,18.843283,0.0,21.0,3.0,4.0,21.0,288.195068,0.761566,67.0,38.718929,4.323071,4.323071,76.250664,1.0,0.0,1.584849,0.0,-99900.0,0.356174,0.0,0.0,4.323071,1.765001,1.190476,25.242462,121.2024,-56.823856,20.090431,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.346645,1.0,67.0,3.0,0.004975,29.24527,17.353947,0.0,-0.008478,4.252949,4.252949,-0.015142
-60.686066,20210722-084850,20210722,084850,14.22574,0.0,27.0,3.0,5.0,21.0,283.192993,0.778212,67.0,39.337185,3.695512,3.695512,71.823479,1.0,0.0,1.119649,0.0,-99900.0,0.934201,0.0,0.0,3.695512,1.731474,0.778212,25.200937,121.169144,-59.403725,15.019449,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,62.331135,1.0,67.0,4.0,0.042737,29.698364,17.103895,0.0,-0.008474,4.005248,4.005248,-0.014857
-63.954113,20210722-085455,20210722,085455,10.232439,0.0,33.0,3.0,6.0,13.0,279.090271,0.824196,67.0,38.99382,4.822507,4.822507,77.388336,1.0,0.0,2.092812,0.0,-99900.0,1.440267,0.254,0.254,4.822507,2.094835,1.312633,25.165024,121.136772,-62.926441,11.682866,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,64.767517,1.023256,67.0,5.0,0.167384,29.848206,16.513231,0.0,-0.008219,4.796517,4.796517,-0.014323
-66.566994,20210722-090102,20210722,090102,6.948837,0.0,39.0,3.0,7.0,17.0,275.959625,0.872857,67.0,56.13858,4.938739,4.938739,125.300682,1.0,0.0,1.528292,0.0,-99900.0,2.013646,0.0,0.0,4.938739,2.042841,1.343157,25.135494,121.110901,-66.308098,8.326911,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,66.928696,1.0,67.0,6.0,0.016936,32.181488,15.429044,0.0,-0.008218,4.561241,4.561241,-0.013059
-69.191612,20210722-090708,20210722,090708,2.705416,0.0,45.0,2.0,8.0,10.0,272.239349,0.912276,67.0,70.427605,5.162256,5.162256,106.98188,1.0,0.0,1.663429,0.0,-99900.0,0.658802,0.508,0.508,5.162256,2.215997,0.912276,25.097332,121.084946,-68.940781,4.320953,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.244484,1.0,67.0,7.0,0.478209,35.680664,14.095342,0.0,-0.008221,7.307413,7.307413,-0.011449
-74.225594,20210722-091314,20210722,091314,-3.485566,0.0,51.0,3.0,9.0,14.0,267.311646,1.12538,67.0,37.880333,5.398677,5.398677,101.635834,1.0,0.0,1.587063,0.0,-99900.0,2.846495,0.508,0.508,5.398677,3.170808,4.256943,25.041656,121.035126,-80.600044,-2.363043,38.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,74.307388,1.131579,67.0,8.0,0.505532,36.990784,14.620523,0.0,-0.008797,3.918014,3.918014,-0.011678
-81.056801,20210722-091919,20210722,091919,-5.177066,0.0,57.0,3.0,10.0,28.0,266.345734,1.1351,67.0,10.764629,1.708396,1.708396,24.353718,1.0,0.0,0.269094,0.0,-99900.0,4.44031,0.0,0.0,1.708396,1.31583,1.708396,25.026445,120.967354,-80.993217,-4.885854,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,81.221962,1.0,67.0,9.0,0.0,43.527893,15.336036,0.0,-0.010562,1.505188,1.505188,-0.011119
-83.364555,20210722-092525,20210722,092525,-10.49421,1.0,3.0,3.0,11.0,27.0,262.825378,1.774814,67.0,12.366807,2.383176,2.383176,31.567703,1.0,0.0,0.315092,0.0,-99900.0,1.995869,0.0,0.0,2.383176,1.871738,1.774814,24.978626,120.944611,-83.269569,-10.391745,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,84.022484,1.0,67.0,10.0,0.0,44.869385,16.107937,0.0,-0.011364,0.741428,0.741428,-0.011416
-86.762421,20210722-093131,20210722,093131,-17.288927,1.0,10.0,2.0,12.0,29.0,258.730652,3.283413,67.0,19.306229,4.232874,4.232874,52.186234,1.0,0.0,0.512827,0.0,-99900.0,2.725001,0.0,0.0,4.232874,3.432417,3.283413,24.917521,120.911102,-86.705559,-17.208307,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,88.468216,1.0,67.0,11.0,0.0,42.772675,17.292013,0.0,-0.011743,1.016166,1.016166,-0.012693
