3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-62.41782,20210722-105045,20210722,105045,-9.096954,0.0,3.0,2.0,1.0,17.0,261.70816,0.815334,16.0,10.300837,1.196103,1.196103,48.580452,1.0,0.0,0.105136,0.0,-99900.0,0.0,0.0,0.0,1.196103,0.873461,0.815334,24.991192,121.152473,-62.781849,-9.39105,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,63.077244,1.0,16.0,0.0,0.0,22.615082,-99900.0,0.0,-99900.0,0.936188,0.936188,-99900.0
-64.630646,20210722-105651,20210722,105651,-11.917229,0.0,9.0,2.0,2.0,14.0,259.552826,0.842799,16.0,15.49894,2.391812,2.391812,36.562691,1.0,0.0,0.849847,0.0,-99900.0,3.248817,0.0,0.0,2.391812,1.302923,1.794372,24.965828,121.130577,-64.102013,-11.295947,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,65.720169,1.0,16.0,1.0,0.0,38.118225,9.794371,0.0,-0.006046,1.883094,1.883094,-0.007706
-70.662979,20210722-110257,20210722,110257,-15.349927,0.0,12.0,0.0,3.0,19.0,257.744446,0.995598,16.0,9.857803,2.518478,2.518478,35.153034,1.0,0.0,0.732508,0.0,-99900.0,3.868317,0.0,0.0,2.518478,1.550542,1.924687,24.934958,121.070801,-72.422264,-13.708557,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,72.310974,1.0,16.0,2.0,0.0,52.823975,14.136646,0.0,-0.011264,1.599441,1.599441,-0.008542
-76.666992,20210722-110903,20210722,110903,-19.51227,0.0,0.0,0.0,2.0,31.0,255.721222,1.649274,16.0,7.429425,2.19546,2.19546,43.238144,1.0,0.0,0.220144,0.0,-99900.0,2.147757,0.0,0.0,2.19546,1.729934,1.649274,24.897526,121.01133,-76.709869,-19.457121,35.0,0.0,35.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,79.111038,1.0,16.0,1.0,0.0,54.590149,16.352579,0.0,-0.013328,0.377223,0.377223,-0.009475
-79.303452,20210722-111508,20210722,111508,-23.264597,0.0,3.0,2.0,1.0,13.0,253.650574,1.156555,16.0,12.323258,2.356075,2.356075,41.449898,1.0,0.0,0.534662,0.0,-99900.0,2.247499,0.0,0.0,2.356075,1.470305,1.156555,24.863779,120.985283,-79.007202,-22.870119,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,82.6455,1.0,16.0,0.0,0.0,51.891785,15.915454,0.0,-0.012523,1.554659,1.554659,-0.009822
-83.119736,20210722-112114,20210722,112114,-28.113106,0.0,9.0,3.0,2.0,12.0,251.313477,1.260492,16.0,22.150951,3.276454,3.276454,66.61013,1.0,0.0,0.800361,0.0,-99900.0,1.469686,0.0,0.0,3.276454,1.874132,2.495785,24.820177,120.947571,-83.185646,-27.190184,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,87.7453,1.025,16.0,1.0,0.0,49.039062,15.881611,0.0,-0.011993,2.461193,2.461193,-0.010411
-86.714493,20210722-112719,20210722,112719,-33.042042,0.0,15.0,2.0,3.0,13.0,249.141205,1.359689,16.0,31.407351,3.505935,3.505935,89.629074,1.0,0.0,0.773174,0.0,-99900.0,1.373699,0.0,0.0,3.505935,1.874508,1.359689,24.775848,120.912071,-86.525963,-32.363838,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,92.79644,1.0,16.0,2.0,0.0,45.532654,16.473619,0.0,-0.011756,2.450366,2.450366,-0.01154
-93.007523,20210722-113325,20210722,113325,-38.412228,0.0,21.0,2.0,4.0,10.0,247.55957,1.538251,16.0,59.170918,3.738028,3.738028,175.158173,1.0,0.0,0.505403,0.0,-99900.0,2.296862,0.0,0.0,3.738028,1.846487,1.538251,24.727554,120.849846,-93.320992,-38.053799,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,100.627525,1.0,16.0,3.0,0.0,42.18573,16.95677,0.0,-0.011387,2.78585,2.78585,-0.012564
-96.174065,20210722-113930,20210722,113930,-44.015736,0.0,27.0,0.0,5.0,20.0,245.408234,1.641949,16.0,49.785713,4.260124,4.260124,175.57222,1.0,0.0,0.615686,0.0,-99900.0,1.419453,0.0,0.0,4.260124,2.001066,1.641949,24.67716,120.818642,-96.115379,-43.431934,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,105.767838,1.0,16.0,4.0,0.0,39.446045,17.503391,0.0,-0.011121,2.434737,2.434737,-0.013517
-98.319786,20210722-114537,20210722,114537,-49.156765,0.0,30.0,0.0,6.0,21.0,243.436676,1.743601,16.0,44.306927,4.184074,4.184074,202.664154,1.0,0.0,0.579625,0.0,-99900.0,1.94401,0.0,0.0,4.184074,2.201452,1.743601,24.630926,120.797554,-98.476692,-48.903614,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,109.923462,1.0,16.0,5.0,0.0,37.591614,17.998955,0.0,-0.01098,2.044375,2.044375,-0.014262
-99.764305,20210722-115142,20210722,115142,-55.334396,0.0,0.0,0.0,1.0,28.0,240.985291,2.63951,16.0,31.298687,3.399858,3.399858,226.48941,1.0,0.0,0.225691,0.0,-99900.0,2.741257,0.0,0.0,3.399858,2.726942,3.399858,24.575371,120.783455,-99.889442,-55.341602,36.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,114.082481,1.0,16.0,0.0,0.0,32.526245,17.611597,0.0,-0.00947,0.661988,0.661988,-0.014849
